Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,14.52,4
2022-04-25 11:00:00,143.68,17
2022-04-25 12:00:00,365.32,42
2022-04-25 13:00:00,330.6,41
2022-04-25 14:00:00,293.5,33
2022-04-25 15:00:00,281.92,36
2022-04-25 16:00:00,388.72,46
2022-04-25 17:00:00,472.59,52
2022-04-25 18:00:00,388.94,41
2022-04-25 19:00:00,506.53,39
2022-04-25 20:00:00,330.25,34
2022-04-25 21:00:00,84.18,13
2022-04-25 22:00:00,12.46,1
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,49.43,5
2022-04-26 11:00:00,87.35,12
2022-04-26 12:00:00,473.48,53
2022-04-26 13:00:00,399.4,51
2022-04-26 14:00:00,226.7,29
2022-04-26 15:00:00,232.02,31
2022-04-26 16:00:00,363.24,43
2022-04-26 17:00:00,516.83,57
2022-04-26 18:00:00,545.62,52
2022-04-26 19:00:00,645.8,61
2022-04-26 20:00:00,438.74,41
2022-04-26 21:00:00,167.38,22
2022-04-26 22:00:00,104.88,12
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,110.52,14
2022-04-27 11:00:00,107.96,16
2022-04-27 12:00:00,443.38,40
2022-04-27 13:00:00,266.1,39
2022-04-27 14:00:00,231.8,32
2022-04-27 15:00:00,225.07,34
2022-04-27 16:00:00,390.55,58
2022-04-27 17:00:00,504.19,62
2022-04-27 18:00:00,818.95,69
2022-04-27 19:00:00,571.4,52
2022-04-27 20:00:00,494.45,53
2022-04-27 21:00:00,232.03,21
2022-04-27 22:00:00,62.84,7
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,27.81,4
2022-04-28 11:00:00,181.24,23
2022-04-28 12:00:00,252.81,36
2022-04-28 13:00:00,340.24,37
2022-04-28 14:00:00,251.91,26
2022-04-28 15:00:00,279.81,30
2022-04-28 16:00:00,434.51,45
2022-04-28 17:00:00,695.18,71
2022-04-28 18:00:00,659.5,59
2022-04-28 19:00:00,781.05,78
2022-04-28 20:00:00,550.92,55
2022-04-28 21:00:00,524.48,52
2022-04-28 22:00:00,134.7,12
2022-04-28 23:00:00,0,1
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,41.12,3
2022-04-29 11:00:00,191.58,24
2022-04-29 12:00:00,379.94,47
2022-04-29 13:00:00,536.71,60
2022-04-29 14:00:00,273.95,35
2022-04-29 15:00:00,493.15,59
2022-04-29 16:00:00,543.56,60
2022-04-29 17:00:00,513.48,58
2022-04-29 18:00:00,917.15,86
2022-04-29 19:00:00,905.31,81
2022-04-29 20:00:00,926.08,83
2022-04-29 21:00:00,442.88,42
2022-04-29 22:00:00,109.02,11
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,54.17,7
2022-04-30 11:00:00,392.03,35
2022-04-30 12:00:00,751.68,68
2022-04-30 13:00:00,793.69,75
2022-04-30 14:00:00,657.42,64
2022-04-30 15:00:00,675.99,75
2022-04-30 16:00:00,525.06,49
2022-04-30 17:00:00,533.38,48
2022-04-30 18:00:00,658.87,63
2022-04-30 19:00:00,639.2,50
2022-04-30 20:00:00,645.63,49
2022-04-30 21:00:00,400.97,37
2022-04-30 22:00:00,140.15,14
2022-04-30 23:00:00,20.81,1
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,52.47,5
2022-05-01 11:00:00,281.25,23
2022-05-01 12:00:00,545.93,49
2022-05-01 13:00:00,722.03,62
2022-05-01 14:00:00,654.02,64
2022-05-01 15:00:00,828.09,74
2022-05-01 16:00:00,681.82,60
2022-05-01 17:00:00,509.1,57
