Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,132.36,18
2022-04-25 11:00:00,198.73,32
2022-04-25 12:00:00,300.34,48
2022-04-25 13:00:00,521.39,88
2022-04-25 14:00:00,273.03,50
2022-04-25 15:00:00,251.79,40
2022-04-25 16:00:00,113.49,26
2022-04-25 17:00:00,170.93,28
2022-04-25 18:00:00,266.74,38
2022-04-25 19:00:00,425.98,53
2022-04-25 20:00:00,421.71,56
2022-04-25 21:00:00,261.13,37
2022-04-25 22:00:00,172.81,24
2022-04-25 23:00:00,31.1,12
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,235.6,31
2022-04-26 11:00:00,316.3,44
2022-04-26 12:00:00,447.29,59
2022-04-26 13:00:00,575.49,106
2022-04-26 14:00:00,292.31,50
2022-04-26 15:00:00,337.62,57
2022-04-26 16:00:00,255.41,43
2022-04-26 17:00:00,268.77,53
2022-04-26 18:00:00,317.92,52
2022-04-26 19:00:00,334.44,44
2022-04-26 20:00:00,534.15,69
2022-04-26 21:00:00,221.21,30
2022-04-26 22:00:00,186.51,27
2022-04-26 23:00:00,45.15,11
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,1
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,224.2,28
2022-04-27 11:00:00,335.21,42
2022-04-27 12:00:00,505.54,70
2022-04-27 13:00:00,523.82,86
2022-04-27 14:00:00,297.55,56
2022-04-27 15:00:00,278.07,41
2022-04-27 16:00:00,272.09,37
2022-04-27 17:00:00,277.86,45
2022-04-27 18:00:00,276.35,46
2022-04-27 19:00:00,610.52,70
2022-04-27 20:00:00,512.43,74
2022-04-27 21:00:00,294.97,41
2022-04-27 22:00:00,211.49,29
2022-04-27 23:00:00,114.24,19
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,168.46,30
2022-04-28 11:00:00,166,19
2022-04-28 12:00:00,481.33,66
2022-04-28 13:00:00,635.29,90
2022-04-28 14:00:00,313.63,45
2022-04-28 15:00:00,228.39,39
2022-04-28 16:00:00,200.96,37
2022-04-28 17:00:00,204.9,35
2022-04-28 18:00:00,254.11,46
2022-04-28 19:00:00,392.6,52
2022-04-28 20:00:00,441.06,51
2022-04-28 21:00:00,337.73,43
2022-04-28 22:00:00,228.98,31
2022-04-28 23:00:00,99.79,21
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,25.54,2
2022-04-29 10:00:00,271.26,32
2022-04-29 11:00:00,462.5,46
2022-04-29 12:00:00,571.8,75
2022-04-29 13:00:00,780.18,90
2022-04-29 14:00:00,334.33,51
2022-04-29 15:00:00,376.21,59
2022-04-29 16:00:00,430.17,51
2022-04-29 17:00:00,281.22,45
2022-04-29 18:00:00,307.61,39
2022-04-29 19:00:00,414.53,56
2022-04-29 20:00:00,464.98,68
2022-04-29 21:00:00,523.29,56
2022-04-29 22:00:00,192.86,30
2022-04-29 23:00:00,-5.03,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,157.22,16
2022-04-30 11:00:00,252.06,30
2022-04-30 12:00:00,495.11,50
2022-04-30 13:00:00,559.18,73
2022-04-30 14:00:00,319.54,50
2022-04-30 15:00:00,376.06,55
2022-04-30 16:00:00,230.67,34
2022-04-30 17:00:00,336.71,46
2022-04-30 18:00:00,283.75,45
2022-04-30 19:00:00,420.67,51
2022-04-30 20:00:00,869.32,73
2022-04-30 21:00:00,434.51,49
2022-04-30 22:00:00,261.81,28
2022-04-30 23:00:00,102.81,13
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,128.44,16
2022-05-01 11:00:00,200.49,19
2022-05-01 12:00:00,312.17,37
2022-05-01 13:00:00,379.26,38
2022-05-01 14:00:00,447.78,46
2022-05-01 15:00:00,337.59,40
2022-05-01 16:00:00,387.76,44
2022-05-01 17:00:00,348.23,41
