Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,14.14,2
2022-04-25 8:00:00,24.82,5
2022-04-25 9:00:00,33.92,8
2022-04-25 10:00:00,197.33,24
2022-04-25 11:00:00,327.24,41
2022-04-25 12:00:00,590.1,72
2022-04-25 13:00:00,470.71,56
2022-04-25 14:00:00,361.18,46
2022-04-25 15:00:00,368.02,46
2022-04-25 16:00:00,341.59,38
2022-04-25 17:00:00,546.88,53
2022-04-25 18:00:00,703.15,65
2022-04-25 19:00:00,481.15,48
2022-04-25 20:00:00,562.19,53
2022-04-25 21:00:00,292.22,29
2022-04-25 22:00:00,276.14,33
2022-04-25 23:00:00,190.02,24
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,38.3,5
2022-04-26 8:00:00,49.73,10
2022-04-26 9:00:00,103.76,15
2022-04-26 10:00:00,164.74,23
2022-04-26 11:00:00,290.31,40
2022-04-26 12:00:00,405.06,50
2022-04-26 13:00:00,403.95,55
2022-04-26 14:00:00,352.14,45
2022-04-26 15:00:00,287.32,39
2022-04-26 16:00:00,276.65,36
2022-04-26 17:00:00,422.1,50
2022-04-26 18:00:00,470.45,54
2022-04-26 19:00:00,577.1,57
2022-04-26 20:00:00,389.9,43
2022-04-26 21:00:00,372.57,37
2022-04-26 22:00:00,368.48,47
2022-04-26 23:00:00,150.47,19
2022-04-27 0:00:00,85.08,14
2022-04-27 1:00:00,0.33,1
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,17.03,3
2022-04-27 8:00:00,42.51,8
2022-04-27 9:00:00,27.07,4
2022-04-27 10:00:00,232.37,29
2022-04-27 11:00:00,313.55,43
2022-04-27 12:00:00,527.32,68
2022-04-27 13:00:00,614.77,75
2022-04-27 14:00:00,301.94,44
2022-04-27 15:00:00,342.23,48
2022-04-27 16:00:00,312.74,50
2022-04-27 17:00:00,554.13,60
2022-04-27 18:00:00,785.42,76
2022-04-27 19:00:00,625.2,68
2022-04-27 20:00:00,608.89,60
2022-04-27 21:00:00,290.76,39
2022-04-27 22:00:00,279.37,37
2022-04-27 23:00:00,199.51,26
2022-04-28 0:00:00,191.06,23
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,14.36,3
2022-04-28 8:00:00,14.6,2
2022-04-28 9:00:00,62.14,9
2022-04-28 10:00:00,196.8,30
2022-04-28 11:00:00,259.9,35
2022-04-28 12:00:00,541.22,65
2022-04-28 13:00:00,544.61,65
2022-04-28 14:00:00,381.03,53
2022-04-28 15:00:00,313.19,45
2022-04-28 16:00:00,285.73,41
2022-04-28 17:00:00,474.28,52
2022-04-28 18:00:00,648.86,63
2022-04-28 19:00:00,837.08,86
2022-04-28 20:00:00,666.29,67
2022-04-28 21:00:00,522.48,50
2022-04-28 22:00:00,385.07,38
2022-04-28 23:00:00,257.66,30
2022-04-29 0:00:00,288.43,34
2022-04-29 1:00:00,39.43,8
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,2
2022-04-29 7:00:00,39.47,6
2022-04-29 8:00:00,23.4,5
2022-04-29 9:00:00,126.15,14
2022-04-29 10:00:00,347.82,46
