Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,25.25,6
2022-04-25 11:00:00,58.3,12
2022-04-25 12:00:00,275.93,32
2022-04-25 13:00:00,271.03,29
2022-04-25 14:00:00,224.46,28
2022-04-25 15:00:00,277.65,28
2022-04-25 16:00:00,222.81,28
2022-04-25 17:00:00,293.36,26
2022-04-25 18:00:00,538.33,50
2022-04-25 19:00:00,444.19,39
2022-04-25 20:00:00,315.66,27
2022-04-25 21:00:00,173.21,15
2022-04-25 22:00:00,95.16,7
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,16.48,4
2022-04-26 11:00:00,154.23,20
2022-04-26 12:00:00,239.96,34
2022-04-26 13:00:00,328.97,46
2022-04-26 14:00:00,124.95,16
2022-04-26 15:00:00,266.97,35
2022-04-26 16:00:00,329.17,38
2022-04-26 17:00:00,490.26,44
2022-04-26 18:00:00,688.52,65
2022-04-26 19:00:00,599.37,52
2022-04-26 20:00:00,446.27,45
2022-04-26 21:00:00,210.02,26
2022-04-26 22:00:00,42.74,8
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,8.54,3
2022-04-27 11:00:00,101.89,18
2022-04-27 12:00:00,289.38,41
2022-04-27 13:00:00,153.62,23
2022-04-27 14:00:00,175.17,20
2022-04-27 15:00:00,254.25,26
2022-04-27 16:00:00,320.38,37
2022-04-27 17:00:00,348.02,44
2022-04-27 18:00:00,498.56,43
2022-04-27 19:00:00,523.32,51
2022-04-27 20:00:00,329.63,38
2022-04-27 21:00:00,274.02,27
2022-04-27 22:00:00,95.52,11
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,18.73,2
2022-04-28 11:00:00,118.12,14
2022-04-28 12:00:00,255.28,29
2022-04-28 13:00:00,336.84,43
2022-04-28 14:00:00,173.15,21
2022-04-28 15:00:00,348.98,41
2022-04-28 16:00:00,335.94,34
2022-04-28 17:00:00,505.81,48
2022-04-28 18:00:00,498.98,47
2022-04-28 19:00:00,636.74,56
2022-04-28 20:00:00,551.85,50
2022-04-28 21:00:00,331.31,25
2022-04-28 22:00:00,69.62,11
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,32.64,6
2022-04-29 11:00:00,112.02,17
2022-04-29 12:00:00,447.98,47
2022-04-29 13:00:00,467.66,57
2022-04-29 14:00:00,276.92,34
2022-04-29 15:00:00,446.76,43
2022-04-29 16:00:00,430.49,50
2022-04-29 17:00:00,744.48,68
2022-04-29 18:00:00,927.17,78
2022-04-29 19:00:00,635.48,52
2022-04-29 20:00:00,575.9,46
2022-04-29 21:00:00,271.04,23
2022-04-29 22:00:00,219.05,22
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,1
2022-04-30 10:00:00,36.51,5
2022-04-30 11:00:00,245.97,29
2022-04-30 12:00:00,413.87,45
2022-04-30 13:00:00,519.39,54
2022-04-30 14:00:00,577.59,51
2022-04-30 15:00:00,487.96,59
2022-04-30 16:00:00,415.63,37
2022-04-30 17:00:00,509.06,55
2022-04-30 18:00:00,617.25,47
2022-04-30 19:00:00,553.5,56
2022-04-30 20:00:00,355.98,31
2022-04-30 21:00:00,209.73,17
2022-04-30 22:00:00,166.74,12
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,1
2022-05-01 10:00:00,9.04,7
2022-05-01 11:00:00,262.05,22
2022-05-01 12:00:00,351.56,33
2022-05-01 13:00:00,699.66,53
2022-05-01 14:00:00,547.1,43
2022-05-01 15:00:00,536.95,51
2022-05-01 16:00:00,461.08,38
2022-05-01 17:00:00,450.61,43
