Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,107.73,14
2022-04-25 11:00:00,204.35,17
2022-04-25 12:00:00,380.3,35
2022-04-25 13:00:00,204.28,29
2022-04-25 14:00:00,277.47,31
2022-04-25 15:00:00,193.55,24
2022-04-25 16:00:00,431.48,36
2022-04-25 17:00:00,463.83,38
2022-04-25 18:00:00,730.76,57
2022-04-25 19:00:00,528.31,40
2022-04-25 20:00:00,504.39,45
2022-04-25 21:00:00,383.88,37
2022-04-25 22:00:00,204.72,21
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,1
2022-04-26 10:00:00,44.33,9
2022-04-26 11:00:00,126.52,19
2022-04-26 12:00:00,266.26,31
2022-04-26 13:00:00,345.69,46
2022-04-26 14:00:00,267.29,38
2022-04-26 15:00:00,229.59,30
2022-04-26 16:00:00,364.48,35
2022-04-26 17:00:00,492.99,50
2022-04-26 18:00:00,885.99,65
2022-04-26 19:00:00,748.18,69
2022-04-26 20:00:00,653.69,56
2022-04-26 21:00:00,607.5,49
2022-04-26 22:00:00,350.36,29
2022-04-26 23:00:00,19.53,1
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,83.5,10
2022-04-27 11:00:00,370.4,29
2022-04-27 12:00:00,315.86,30
2022-04-27 13:00:00,275.78,30
2022-04-27 14:00:00,201.37,29
2022-04-27 15:00:00,284.98,34
2022-04-27 16:00:00,290.57,35
2022-04-27 17:00:00,636.06,46
2022-04-27 18:00:00,742.9,62
2022-04-27 19:00:00,707.1,55
2022-04-27 20:00:00,578.06,46
2022-04-27 21:00:00,428.27,42
2022-04-27 22:00:00,355.25,35
2022-04-27 23:00:00,7.9,1
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,66.63,8
2022-04-28 11:00:00,206.98,28
2022-04-28 12:00:00,388.15,44
2022-04-28 13:00:00,298.25,39
2022-04-28 14:00:00,198.85,26
2022-04-28 15:00:00,337.54,33
2022-04-28 16:00:00,404.07,40
2022-04-28 17:00:00,659.04,55
2022-04-28 18:00:00,668.6,63
2022-04-28 19:00:00,730.35,60
2022-04-28 20:00:00,755.04,69
2022-04-28 21:00:00,453.8,44
2022-04-28 22:00:00,143.73,16
2022-04-28 23:00:00,-5.81,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,111.97,14
2022-04-29 11:00:00,415.46,36
2022-04-29 12:00:00,554.58,55
2022-04-29 13:00:00,486.67,50
2022-04-29 14:00:00,305.93,33
2022-04-29 15:00:00,308.8,47
2022-04-29 16:00:00,511.15,50
2022-04-29 17:00:00,1369.53,96
2022-04-29 18:00:00,1410.15,99
2022-04-29 19:00:00,1014.04,86
2022-04-29 20:00:00,1336.68,95
2022-04-29 21:00:00,696.72,62
2022-04-29 22:00:00,446.19,41
2022-04-29 23:00:00,-3.74,2
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,114.44,12
2022-04-30 11:00:00,306.98,30
2022-04-30 12:00:00,404.85,33
2022-04-30 13:00:00,648.01,61
2022-04-30 14:00:00,330.64,32
2022-04-30 15:00:00,390.79,35
2022-04-30 16:00:00,557.95,46
2022-04-30 17:00:00,696.65,54
2022-04-30 18:00:00,1215.5,86
2022-04-30 19:00:00,986.82,71
2022-04-30 20:00:00,732.62,69
2022-04-30 21:00:00,543.34,47
2022-04-30 22:00:00,413.5,35
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,91.51,13
2022-05-01 11:00:00,352.66,29
2022-05-01 12:00:00,658.8,48
2022-05-01 13:00:00,648.3,47
2022-05-01 14:00:00,724.3,63
2022-05-01 15:00:00,706.04,57
2022-05-01 16:00:00,496.08,40
2022-05-01 17:00:00,607.96,45
