Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,20.28,4
2022-04-25 10:00:00,153.52,25
2022-04-25 11:00:00,361.07,49
2022-04-25 12:00:00,489.84,82
2022-04-25 13:00:00,588.95,79
2022-04-25 14:00:00,375.93,58
2022-04-25 15:00:00,388,56
2022-04-25 16:00:00,498.49,76
2022-04-25 17:00:00,637.02,78
2022-04-25 18:00:00,788.31,97
2022-04-25 19:00:00,802.7,93
2022-04-25 20:00:00,1155.97,100
2022-04-25 21:00:00,807.93,86
2022-04-25 22:00:00,1.67,2
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,55.46,8
2022-04-26 10:00:00,118.06,20
2022-04-26 11:00:00,248.66,41
2022-04-26 12:00:00,515.15,84
2022-04-26 13:00:00,545.61,93
2022-04-26 14:00:00,438.9,76
2022-04-26 15:00:00,409.27,64
2022-04-26 16:00:00,674.96,92
2022-04-26 17:00:00,621.05,91
2022-04-26 18:00:00,794.95,102
2022-04-26 19:00:00,840.98,96
2022-04-26 20:00:00,1308.34,122
2022-04-26 21:00:00,727.6,72
2022-04-26 22:00:00,-58.8,0
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,18.59,7
2022-04-27 10:00:00,217.4,32
2022-04-27 11:00:00,300.41,44
2022-04-27 12:00:00,438.67,67
2022-04-27 13:00:00,629.55,90
2022-04-27 14:00:00,403.56,66
2022-04-27 15:00:00,445.04,69
2022-04-27 16:00:00,545.16,76
2022-04-27 17:00:00,432.76,65
2022-04-27 18:00:00,878.31,103
2022-04-27 19:00:00,1307.84,117
2022-04-27 20:00:00,1069.37,102
2022-04-27 21:00:00,520.76,63
2022-04-27 22:00:00,-0.92,2
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,29.45,5
2022-04-28 10:00:00,111.59,17
2022-04-28 11:00:00,403.75,56
2022-04-28 12:00:00,449.71,81
2022-04-28 13:00:00,482.43,76
2022-04-28 14:00:00,416.82,62
2022-04-28 15:00:00,502.1,80
2022-04-28 16:00:00,537.43,81
2022-04-28 17:00:00,605.42,94
2022-04-28 18:00:00,1025.28,107
2022-04-28 19:00:00,1130.5,113
2022-04-28 20:00:00,1056.28,110
2022-04-28 21:00:00,651.14,63
2022-04-28 22:00:00,20.9,2
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,53.54,5
2022-04-29 10:00:00,323.71,45
2022-04-29 11:00:00,420.52,55
2022-04-29 12:00:00,714.51,99
2022-04-29 13:00:00,660.15,90
2022-04-29 14:00:00,416.35,64
2022-04-29 15:00:00,609.47,84
2022-04-29 16:00:00,525.98,77
2022-04-29 17:00:00,843.25,104
2022-04-29 18:00:00,981.35,115
2022-04-29 19:00:00,1425.22,132
2022-04-29 20:00:00,1515.78,138
2022-04-29 21:00:00,1105.95,104
2022-04-29 22:00:00,45.5,4
2022-04-29 23:00:00,1.24,1
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,38.6,5
2022-04-30 10:00:00,251.65,27
2022-04-30 11:00:00,449.01,52
2022-04-30 12:00:00,723.25,75
2022-04-30 13:00:00,979.87,99
2022-04-30 14:00:00,828.21,104
2022-04-30 15:00:00,1030.66,111
2022-04-30 16:00:00,920.83,110
2022-04-30 17:00:00,945.24,112
2022-04-30 18:00:00,1048.36,110
2022-04-30 19:00:00,1651.28,137
2022-04-30 20:00:00,1637.27,127
2022-04-30 21:00:00,738.25,84
2022-04-30 22:00:00,-9.07,4
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,27.82,5
2022-05-01 10:00:00,389.41,30
2022-05-01 11:00:00,486.71,43
2022-05-01 12:00:00,672.4,75
2022-05-01 13:00:00,752.62,92
2022-05-01 14:00:00,863.4,87
2022-05-01 15:00:00,1007.99,93
2022-05-01 16:00:00,795.28,90
