Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,125.74,12
2022-04-25 11:00:00,173.31,21
2022-04-25 12:00:00,417.55,54
2022-04-25 13:00:00,284.46,37
2022-04-25 14:00:00,216.73,23
2022-04-25 15:00:00,245.27,21
2022-04-25 16:00:00,396.73,36
2022-04-25 17:00:00,510.06,36
2022-04-25 18:00:00,386.15,41
2022-04-25 19:00:00,573.38,43
2022-04-25 20:00:00,348.61,35
2022-04-25 21:00:00,218.07,21
2022-04-25 22:00:00,63.82,6
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,44.06,6
2022-04-26 11:00:00,201.49,17
2022-04-26 12:00:00,480.62,69
2022-04-26 13:00:00,326.73,40
2022-04-26 14:00:00,203.81,26
2022-04-26 15:00:00,440.56,43
2022-04-26 16:00:00,279.61,31
2022-04-26 17:00:00,682.06,53
2022-04-26 18:00:00,651.66,57
2022-04-26 19:00:00,479.28,42
2022-04-26 20:00:00,315.26,27
2022-04-26 21:00:00,245.21,23
2022-04-26 22:00:00,19.52,3
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,70.81,9
2022-04-27 11:00:00,175.79,26
2022-04-27 12:00:00,461.26,60
2022-04-27 13:00:00,375.42,38
2022-04-27 14:00:00,210.89,26
2022-04-27 15:00:00,325.63,33
2022-04-27 16:00:00,371.01,30
2022-04-27 17:00:00,543.65,47
2022-04-27 18:00:00,702.71,55
2022-04-27 19:00:00,643.52,53
2022-04-27 20:00:00,515.16,40
2022-04-27 21:00:00,317.47,28
2022-04-27 22:00:00,120.4,7
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,58.79,5
2022-04-28 11:00:00,250.6,20
2022-04-28 12:00:00,378.78,52
2022-04-28 13:00:00,369.2,49
2022-04-28 14:00:00,198.89,27
2022-04-28 15:00:00,277.91,34
2022-04-28 16:00:00,416.68,36
2022-04-28 17:00:00,556.49,40
2022-04-28 18:00:00,711.26,52
2022-04-28 19:00:00,982.33,71
2022-04-28 20:00:00,399.13,34
2022-04-28 21:00:00,299,24
2022-04-28 22:00:00,164.9,16
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,144.77,15
2022-04-29 11:00:00,325.13,30
2022-04-29 12:00:00,702.23,84
2022-04-29 13:00:00,500.25,53
2022-04-29 14:00:00,178.71,26
2022-04-29 15:00:00,286.27,33
2022-04-29 16:00:00,572.52,56
2022-04-29 17:00:00,967.24,68
2022-04-29 18:00:00,1341.78,94
2022-04-29 19:00:00,1241.16,89
2022-04-29 20:00:00,640.49,48
2022-04-29 21:00:00,570.98,43
2022-04-29 22:00:00,156.4,12
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,138.87,9
2022-04-30 11:00:00,341.39,27
2022-04-30 12:00:00,756.43,70
2022-04-30 13:00:00,704.31,70
2022-04-30 14:00:00,483.02,57
2022-04-30 15:00:00,653.91,63
2022-04-30 16:00:00,519.7,43
2022-04-30 17:00:00,936.11,71
2022-04-30 18:00:00,1351.26,90
2022-04-30 19:00:00,1105.36,77
2022-04-30 20:00:00,617.17,51
2022-04-30 21:00:00,340.18,31
2022-04-30 22:00:00,284.76,19
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,57.43,7
2022-05-01 11:00:00,258.48,24
2022-05-01 12:00:00,574.64,47
2022-05-01 13:00:00,716.24,52
2022-05-01 14:00:00,661.78,50
2022-05-01 15:00:00,475.24,49
2022-05-01 16:00:00,381.64,32
2022-05-01 17:00:00,749.67,52
