Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,29.75,4
2022-04-25 11:00:00,158.84,21
2022-04-25 12:00:00,340.18,42
2022-04-25 13:00:00,419.17,38
2022-04-25 14:00:00,156.61,15
2022-04-25 15:00:00,204.23,22
2022-04-25 16:00:00,216.75,23
2022-04-25 17:00:00,404.07,35
2022-04-25 18:00:00,589.82,43
2022-04-25 19:00:00,413.22,40
2022-04-25 20:00:00,343.81,30
2022-04-25 21:00:00,242.53,25
2022-04-25 22:00:00,80.05,7
2022-04-25 23:00:00,0.9,1
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0.25,1
2022-04-26 10:00:00,17.53,4
2022-04-26 11:00:00,127.47,18
2022-04-26 12:00:00,401.54,50
2022-04-26 13:00:00,332.58,35
2022-04-26 14:00:00,148.71,18
2022-04-26 15:00:00,231.75,20
2022-04-26 16:00:00,369.39,30
2022-04-26 17:00:00,395.61,37
2022-04-26 18:00:00,570.63,45
2022-04-26 19:00:00,628.38,51
2022-04-26 20:00:00,366.59,26
2022-04-26 21:00:00,215.72,19
2022-04-26 22:00:00,20.06,2
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,64.46,5
2022-04-27 11:00:00,191.27,17
2022-04-27 12:00:00,273.04,38
2022-04-27 13:00:00,439.06,50
2022-04-27 14:00:00,195.07,16
2022-04-27 15:00:00,126.16,11
2022-04-27 16:00:00,205.33,21
2022-04-27 17:00:00,442.24,28
2022-04-27 18:00:00,599.09,47
2022-04-27 19:00:00,395.75,31
2022-04-27 20:00:00,279.72,21
2022-04-27 21:00:00,219.84,21
2022-04-27 22:00:00,27.72,3
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,136.25,12
2022-04-28 11:00:00,300.38,34
2022-04-28 12:00:00,611.8,44
2022-04-28 13:00:00,203.43,27
2022-04-28 14:00:00,216.58,22
2022-04-28 15:00:00,168.74,18
2022-04-28 16:00:00,451.29,37
2022-04-28 17:00:00,506.85,34
2022-04-28 18:00:00,775.24,47
2022-04-28 19:00:00,484.83,41
2022-04-28 20:00:00,357.25,30
2022-04-28 21:00:00,190.8,20
2022-04-28 22:00:00,34.42,5
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,66.07,6
2022-04-29 11:00:00,271.88,24
2022-04-29 12:00:00,476.13,37
2022-04-29 13:00:00,453.37,42
2022-04-29 14:00:00,185.21,16
2022-04-29 15:00:00,178.82,17
2022-04-29 16:00:00,461.91,37
2022-04-29 17:00:00,784.9,58
2022-04-29 18:00:00,1179.7,81
2022-04-29 19:00:00,903.59,54
2022-04-29 20:00:00,526.48,44
2022-04-29 21:00:00,345.23,25
2022-04-29 22:00:00,43.63,4
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,70.64,6
2022-04-30 11:00:00,231.48,24
2022-04-30 12:00:00,551.46,54
2022-04-30 13:00:00,462.4,52
2022-04-30 14:00:00,380.67,37
2022-04-30 15:00:00,460.5,35
2022-04-30 16:00:00,511.31,41
2022-04-30 17:00:00,675.74,48
2022-04-30 18:00:00,847.26,52
2022-04-30 19:00:00,863.54,55
2022-04-30 20:00:00,273.9,26
2022-04-30 21:00:00,196.94,23
2022-04-30 22:00:00,29.03,4
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,9.39,1
2022-05-01 11:00:00,162.17,16
2022-05-01 12:00:00,432.95,35
2022-05-01 13:00:00,393.58,30
2022-05-01 14:00:00,541.49,40
2022-05-01 15:00:00,349.22,30
2022-05-01 16:00:00,464,35
2022-05-01 17:00:00,850.62,62
