Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,58.11,8
2022-04-25 11:00:00,120.45,20
2022-04-25 12:00:00,244.92,32
2022-04-25 13:00:00,399.77,63
2022-04-25 14:00:00,179.09,32
2022-04-25 15:00:00,173.2,25
2022-04-25 16:00:00,221.06,27
2022-04-25 17:00:00,517.51,49
2022-04-25 18:00:00,444.75,49
2022-04-25 19:00:00,461.66,52
2022-04-25 20:00:00,374.5,43
2022-04-25 21:00:00,325.22,35
2022-04-25 22:00:00,252.13,29
2022-04-25 23:00:00,14.88,1
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,64.71,9
2022-04-26 11:00:00,128.98,22
2022-04-26 12:00:00,285.31,38
2022-04-26 13:00:00,344.77,48
2022-04-26 14:00:00,223.71,33
2022-04-26 15:00:00,202.13,28
2022-04-26 16:00:00,466.56,54
2022-04-26 17:00:00,341.37,37
2022-04-26 18:00:00,752.29,75
2022-04-26 19:00:00,680.61,75
2022-04-26 20:00:00,609.26,65
2022-04-26 21:00:00,338.27,42
2022-04-26 22:00:00,254.91,27
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,56.66,7
2022-04-27 11:00:00,119.72,23
2022-04-27 12:00:00,355.68,46
2022-04-27 13:00:00,444.33,65
2022-04-27 14:00:00,145.05,31
2022-04-27 15:00:00,279.95,33
2022-04-27 16:00:00,499.32,53
2022-04-27 17:00:00,571.36,58
2022-04-27 18:00:00,605.33,61
2022-04-27 19:00:00,749.08,65
2022-04-27 20:00:00,576.51,58
2022-04-27 21:00:00,418.88,39
2022-04-27 22:00:00,188.31,21
2022-04-27 23:00:00,3.74,1
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,106.79,14
2022-04-28 11:00:00,246.48,29
2022-04-28 12:00:00,410.06,57
2022-04-28 13:00:00,300.52,48
2022-04-28 14:00:00,311.87,46
2022-04-28 15:00:00,301.66,38
2022-04-28 16:00:00,408.13,41
2022-04-28 17:00:00,521.02,76
2022-04-28 18:00:00,469.87,53
2022-04-28 19:00:00,652.71,73
2022-04-28 20:00:00,448.35,45
2022-04-28 21:00:00,482.32,55
2022-04-28 22:00:00,238.94,20
2022-04-28 23:00:00,-10.38,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,90.52,10
2022-04-29 11:00:00,157.33,17
2022-04-29 12:00:00,464.28,72
2022-04-29 13:00:00,407.18,55
2022-04-29 14:00:00,297.76,44
2022-04-29 15:00:00,216.14,31
2022-04-29 16:00:00,499.14,40
2022-04-29 17:00:00,513.33,57
2022-04-29 18:00:00,924.02,78
2022-04-29 19:00:00,932.18,80
2022-04-29 20:00:00,762.62,57
2022-04-29 21:00:00,654.06,57
2022-04-29 22:00:00,303.51,28
2022-04-29 23:00:00,14.55,2
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,43.18,5
2022-04-30 11:00:00,193.16,20
2022-04-30 12:00:00,553.04,62
2022-04-30 13:00:00,539.59,54
2022-04-30 14:00:00,785.24,80
2022-04-30 15:00:00,438.59,56
2022-04-30 16:00:00,607.92,57
2022-04-30 17:00:00,622.05,56
2022-04-30 18:00:00,774.96,74
2022-04-30 19:00:00,633.38,52
2022-04-30 20:00:00,737.74,66
2022-04-30 21:00:00,489.95,43
2022-04-30 22:00:00,162.38,18
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,68.6,6
2022-05-01 11:00:00,372.17,31
2022-05-01 12:00:00,579.25,55
2022-05-01 13:00:00,535.88,55
2022-05-01 14:00:00,364.24,43
2022-05-01 15:00:00,427.22,90
2022-05-01 16:00:00,478,53
2022-05-01 17:00:00,511.11,46
