Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,79.31,7
2022-04-25 10:00:00,103.38,11
2022-04-25 11:00:00,170.32,28
2022-04-25 12:00:00,482,62
2022-04-25 13:00:00,434.95,57
2022-04-25 14:00:00,375.27,47
2022-04-25 15:00:00,432.22,56
2022-04-25 16:00:00,555.92,51
2022-04-25 17:00:00,463.16,45
2022-04-25 18:00:00,479.83,57
2022-04-25 19:00:00,1002.21,93
2022-04-25 20:00:00,790.34,70
2022-04-25 21:00:00,518.82,60
2022-04-25 22:00:00,369.59,44
2022-04-25 23:00:00,286.41,37
2022-04-26 0:00:00,203.88,28
2022-04-26 1:00:00,-7.03,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,49.66,8
2022-04-26 10:00:00,156.26,14
2022-04-26 11:00:00,168.84,30
2022-04-26 12:00:00,458.46,67
2022-04-26 13:00:00,513.56,67
2022-04-26 14:00:00,465.06,66
2022-04-26 15:00:00,441.03,58
2022-04-26 16:00:00,451.33,58
2022-04-26 17:00:00,477.27,65
2022-04-26 18:00:00,700.08,74
2022-04-26 19:00:00,1030.47,103
2022-04-26 20:00:00,971.83,74
2022-04-26 21:00:00,407.45,52
2022-04-26 22:00:00,411.59,55
2022-04-26 23:00:00,397.13,46
2022-04-27 0:00:00,279.18,43
2022-04-27 1:00:00,-7.04,1
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,56.87,10
2022-04-27 10:00:00,84.86,8
2022-04-27 11:00:00,346.6,42
2022-04-27 12:00:00,484.26,65
2022-04-27 13:00:00,342.62,55
2022-04-27 14:00:00,378.41,50
2022-04-27 15:00:00,460.37,65
2022-04-27 16:00:00,474.31,59
2022-04-27 17:00:00,482.36,57
2022-04-27 18:00:00,682.31,67
2022-04-27 19:00:00,1345.8,102
2022-04-27 20:00:00,781.6,65
2022-04-27 21:00:00,404.22,48
2022-04-27 22:00:00,439.34,58
2022-04-27 23:00:00,419.86,48
2022-04-28 0:00:00,159.38,24
2022-04-28 1:00:00,-3.28,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,60.17,7
2022-04-28 10:00:00,126.67,16
2022-04-28 11:00:00,221.61,34
2022-04-28 12:00:00,457.79,63
2022-04-28 13:00:00,363.67,46
2022-04-28 14:00:00,361.05,48
2022-04-28 15:00:00,441.89,53
2022-04-28 16:00:00,657.07,73
2022-04-28 17:00:00,740.58,75
2022-04-28 18:00:00,545.19,57
2022-04-28 19:00:00,1230.43,108
2022-04-28 20:00:00,1155.09,107
2022-04-28 21:00:00,516.52,55
2022-04-28 22:00:00,386.7,53
2022-04-28 23:00:00,460.63,54
2022-04-29 0:00:00,307.92,40
2022-04-29 1:00:00,-6.64,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,41.7,6
2022-04-29 10:00:00,177.9,22
2022-04-29 11:00:00,306.63,40
2022-04-29 12:00:00,501.43,65
2022-04-29 13:00:00,635.71,80
2022-04-29 14:00:00,424.98,60
2022-04-29 15:00:00,686.93,78
2022-04-29 16:00:00,689.04,65
2022-04-29 17:00:00,842.58,76
2022-04-29 18:00:00,849.36,81
2022-04-29 19:00:00,1387.82,103
2022-04-29 20:00:00,1167.69,86
2022-04-29 21:00:00,793.6,76
2022-04-29 22:00:00,585.07,60
2022-04-29 23:00:00,481.07,74
2022-04-30 0:00:00,351.77,43
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,1
2022-04-30 9:00:00,40,3
2022-04-30 10:00:00,165.08,18
2022-04-30 11:00:00,372.8,39
2022-04-30 12:00:00,544.99,63
2022-04-30 13:00:00,626.72,71
2022-04-30 14:00:00,815.82,87
2022-04-30 15:00:00,627.5,69
2022-04-30 16:00:00,506.17,60
2022-04-30 17:00:00,893.89,86
2022-04-30 18:00:00,784.02,81
2022-04-30 19:00:00,1538.85,113
2022-04-30 20:00:00,1409.82,103
2022-04-30 21:00:00,718.03,72
2022-04-30 22:00:00,832.49,72
2022-04-30 23:00:00,738.18,75
2022-05-01 0:00:00,364.42,35
2022-05-01 1:00:00,7.47,2
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,78.36,6
2022-05-01 10:00:00,108.64,12
2022-05-01 11:00:00,261.11,21
2022-05-01 12:00:00,483.89,47
2022-05-01 13:00:00,925.21,79
2022-05-01 14:00:00,621.45,64
