Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,34.29,6
2022-04-25 11:00:00,103.71,12
2022-04-25 12:00:00,206.46,28
2022-04-25 13:00:00,189.29,26
2022-04-25 14:00:00,197.92,26
2022-04-25 15:00:00,147.91,26
2022-04-25 16:00:00,114.94,19
2022-04-25 17:00:00,261.16,28
2022-04-25 18:00:00,285.34,34
2022-04-25 19:00:00,163.93,23
2022-04-25 20:00:00,273.07,31
2022-04-25 21:00:00,106.46,11
2022-04-25 22:00:00,0,0
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,38.75,3
2022-04-26 11:00:00,88.78,10
2022-04-26 12:00:00,167.6,31
2022-04-26 13:00:00,134.05,23
2022-04-26 14:00:00,110.49,17
2022-04-26 15:00:00,140.87,24
2022-04-26 16:00:00,170.32,25
2022-04-26 17:00:00,291.02,33
2022-04-26 18:00:00,310.57,38
2022-04-26 19:00:00,225.86,24
2022-04-26 20:00:00,198.07,33
2022-04-26 21:00:00,161.03,14
2022-04-26 22:00:00,0,0
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,23.23,5
2022-04-27 11:00:00,67.81,10
2022-04-27 12:00:00,286.6,39
2022-04-27 13:00:00,183.05,27
2022-04-27 14:00:00,191.33,23
2022-04-27 15:00:00,178.29,28
2022-04-27 16:00:00,225.42,26
2022-04-27 17:00:00,156.57,26
2022-04-27 18:00:00,268.81,28
2022-04-27 19:00:00,438.77,36
2022-04-27 20:00:00,181.39,24
2022-04-27 21:00:00,109.25,12
2022-04-27 22:00:00,2.91,1
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,141.83,17
2022-04-28 12:00:00,274.06,37
2022-04-28 13:00:00,175.26,35
2022-04-28 14:00:00,150.58,22
2022-04-28 15:00:00,218.97,28
2022-04-28 16:00:00,213.41,25
2022-04-28 17:00:00,243.72,31
2022-04-28 18:00:00,278.64,32
2022-04-28 19:00:00,352.73,33
2022-04-28 20:00:00,373.17,30
2022-04-28 21:00:00,36.57,7
2022-04-28 22:00:00,0,0
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,26.11,6
2022-04-29 11:00:00,153.98,21
2022-04-29 12:00:00,374.11,40
2022-04-29 13:00:00,359.44,43
2022-04-29 14:00:00,181.66,26
2022-04-29 15:00:00,268.86,36
2022-04-29 16:00:00,294.64,38
2022-04-29 17:00:00,498.67,49
2022-04-29 18:00:00,618.95,48
2022-04-29 19:00:00,382.38,34
2022-04-29 20:00:00,443.91,42
2022-04-29 21:00:00,137.54,18
2022-04-29 22:00:00,2.73,1
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,50.28,8
2022-04-30 11:00:00,174.23,14
2022-04-30 12:00:00,208.11,19
2022-04-30 13:00:00,291.62,31
2022-04-30 14:00:00,261.97,31
2022-04-30 15:00:00,298.3,32
2022-04-30 16:00:00,223.9,22
2022-04-30 17:00:00,261.24,25
2022-04-30 18:00:00,393.63,35
2022-04-30 19:00:00,431.92,35
2022-04-30 20:00:00,363.19,30
2022-04-30 21:00:00,190.31,20
2022-04-30 22:00:00,14.56,2
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,31.39,4
2022-05-01 11:00:00,62.98,8
2022-05-01 12:00:00,268.04,24
2022-05-01 13:00:00,231.3,21
2022-05-01 14:00:00,189.44,23
2022-05-01 15:00:00,191.65,25
2022-05-01 16:00:00,242.46,22
2022-05-01 17:00:00,266.59,24
2022-05-01 18:00:00,360.8,33
