Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,77.42,12
2022-04-25 11:00:00,132.71,24
2022-04-25 12:00:00,295.07,41
2022-04-25 13:00:00,114.97,16
2022-04-25 14:00:00,215.16,28
2022-04-25 15:00:00,86.95,16
2022-04-25 16:00:00,193.85,18
2022-04-25 17:00:00,318.03,34
2022-04-25 18:00:00,288.19,35
2022-04-25 19:00:00,213.7,18
2022-04-25 20:00:00,262.05,18
2022-04-25 21:00:00,107.28,10
2022-04-25 22:00:00,54.39,4
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,1
2022-04-26 10:00:00,22.67,5
2022-04-26 11:00:00,193.62,29
2022-04-26 12:00:00,316.46,33
2022-04-26 13:00:00,254.01,48
2022-04-26 14:00:00,207.47,31
2022-04-26 15:00:00,124.92,24
2022-04-26 16:00:00,348.58,36
2022-04-26 17:00:00,514.58,45
2022-04-26 18:00:00,409.82,32
2022-04-26 19:00:00,314.77,24
2022-04-26 20:00:00,200.85,23
2022-04-26 21:00:00,176.21,15
2022-04-26 22:00:00,109.89,9
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,31.64,7
2022-04-27 11:00:00,216.98,28
2022-04-27 12:00:00,271.18,36
2022-04-27 13:00:00,325.42,36
2022-04-27 14:00:00,151.67,24
2022-04-27 15:00:00,206.47,30
2022-04-27 16:00:00,284.41,28
2022-04-27 17:00:00,409.98,38
2022-04-27 18:00:00,404.15,34
2022-04-27 19:00:00,312.3,29
2022-04-27 20:00:00,216.98,18
2022-04-27 21:00:00,73.77,8
2022-04-27 22:00:00,18.26,1
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,88.78,15
2022-04-28 11:00:00,138.59,19
2022-04-28 12:00:00,223.14,40
2022-04-28 13:00:00,256.08,34
2022-04-28 14:00:00,154.64,22
2022-04-28 15:00:00,156.46,19
2022-04-28 16:00:00,293.61,32
2022-04-28 17:00:00,306.78,31
2022-04-28 18:00:00,648.51,48
2022-04-28 19:00:00,318.4,29
2022-04-28 20:00:00,321.3,27
2022-04-28 21:00:00,154.15,14
2022-04-28 22:00:00,39.34,4
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,69.69,13
2022-04-29 11:00:00,237.38,32
2022-04-29 12:00:00,444.71,55
2022-04-29 13:00:00,400.45,46
2022-04-29 14:00:00,314.91,30
2022-04-29 15:00:00,230.95,32
2022-04-29 16:00:00,332.88,42
2022-04-29 17:00:00,615.15,51
2022-04-29 18:00:00,729.17,53
2022-04-29 19:00:00,633.09,46
2022-04-29 20:00:00,457.11,32
2022-04-29 21:00:00,386.06,31
2022-04-29 22:00:00,106.06,11
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,82.46,7
2022-04-30 11:00:00,275.1,28
2022-04-30 12:00:00,609.38,67
2022-04-30 13:00:00,631.8,63
2022-04-30 14:00:00,593.79,63
2022-04-30 15:00:00,510.48,63
2022-04-30 16:00:00,433.41,47
2022-04-30 17:00:00,657.03,60
2022-04-30 18:00:00,413.68,35
2022-04-30 19:00:00,516.64,32
2022-04-30 20:00:00,524.53,41
2022-04-30 21:00:00,383.91,37
2022-04-30 22:00:00,59.26,4
2022-04-30 23:00:00,-4.98,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,50.37,10
2022-05-01 11:00:00,278.43,28
2022-05-01 12:00:00,442.69,44
2022-05-01 13:00:00,625.47,55
2022-05-01 14:00:00,297.09,28
2022-05-01 15:00:00,334.87,31
2022-05-01 16:00:00,355.72,35
2022-05-01 17:00:00,237.05,24
