Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,22.55,8
2022-04-25 11:00:00,105.52,16
2022-04-25 12:00:00,182.52,33
2022-04-25 13:00:00,291.14,45
2022-04-25 14:00:00,186.57,24
2022-04-25 15:00:00,141.79,25
2022-04-25 16:00:00,206.94,24
2022-04-25 17:00:00,218.5,23
2022-04-25 18:00:00,201.64,26
2022-04-25 19:00:00,355.45,32
2022-04-25 20:00:00,152.62,15
2022-04-25 21:00:00,120.44,14
2022-04-25 22:00:00,0,1
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,2
2022-04-26 10:00:00,57.19,13
2022-04-26 11:00:00,214.22,31
2022-04-26 12:00:00,326.33,43
2022-04-26 13:00:00,157.15,32
2022-04-26 14:00:00,190.62,27
2022-04-26 15:00:00,126.52,24
2022-04-26 16:00:00,317.11,34
2022-04-26 17:00:00,226.85,27
2022-04-26 18:00:00,368.16,43
2022-04-26 19:00:00,263.34,36
2022-04-26 20:00:00,218.66,19
2022-04-26 21:00:00,84.1,11
2022-04-26 22:00:00,0,0
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,28.62,4
2022-04-27 11:00:00,175.77,24
2022-04-27 12:00:00,310.38,46
2022-04-27 13:00:00,285.41,36
2022-04-27 14:00:00,160.3,23
2022-04-27 15:00:00,168.68,26
2022-04-27 16:00:00,211.72,30
2022-04-27 17:00:00,320.49,33
2022-04-27 18:00:00,363.7,37
2022-04-27 19:00:00,165.48,19
2022-04-27 20:00:00,241.91,25
2022-04-27 21:00:00,24.02,5
2022-04-27 22:00:00,0,0
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,45.01,8
2022-04-28 11:00:00,168.26,20
2022-04-28 12:00:00,254.75,40
2022-04-28 13:00:00,192.52,34
2022-04-28 14:00:00,321.1,40
2022-04-28 15:00:00,251.4,30
2022-04-28 16:00:00,212.42,25
2022-04-28 17:00:00,266.9,38
2022-04-28 18:00:00,321.55,38
2022-04-28 19:00:00,374.53,38
2022-04-28 20:00:00,192.99,23
2022-04-28 21:00:00,136.81,14
2022-04-28 22:00:00,0,0
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,109.01,13
2022-04-29 11:00:00,259.33,33
2022-04-29 12:00:00,308.07,38
2022-04-29 13:00:00,374.2,52
2022-04-29 14:00:00,280.91,36
2022-04-29 15:00:00,212.84,28
2022-04-29 16:00:00,314.67,31
2022-04-29 17:00:00,401.55,41
2022-04-29 18:00:00,385.78,41
2022-04-29 19:00:00,273.17,29
2022-04-29 20:00:00,211.72,18
2022-04-29 21:00:00,7.83,2
2022-04-29 22:00:00,0,0
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,42.12,5
2022-04-30 11:00:00,165.87,18
2022-04-30 12:00:00,408.74,44
2022-04-30 13:00:00,369.12,39
2022-04-30 14:00:00,237.46,31
2022-04-30 15:00:00,217.44,28
2022-04-30 16:00:00,211.78,24
2022-04-30 17:00:00,371.77,36
2022-04-30 18:00:00,529.86,44
2022-04-30 19:00:00,731.76,56
2022-04-30 20:00:00,349.52,30
2022-04-30 21:00:00,99.56,8
2022-04-30 22:00:00,0,0
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,62.42,10
2022-05-01 11:00:00,99.5,15
2022-05-01 12:00:00,348.96,33
2022-05-01 13:00:00,469.39,50
2022-05-01 14:00:00,334.28,35
2022-05-01 15:00:00,257.92,26
2022-05-01 16:00:00,220.16,18
2022-05-01 17:00:00,314.69,26
2022-05-01 18:00:00,299.08,22
