Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,0
2022-04-25 11:00:00,52.86,7
2022-04-25 12:00:00,72.05,7
2022-04-25 13:00:00,50.74,6
2022-04-25 14:00:00,29.2,5
2022-04-25 15:00:00,124.7,13
2022-04-25 16:00:00,110.77,13
2022-04-25 17:00:00,118.96,15
2022-04-25 18:00:00,119.7,11
2022-04-25 19:00:00,20.32,5
2022-04-25 20:00:00,94.41,6
2022-04-25 21:00:00,88.03,8
2022-04-25 22:00:00,108.02,13
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,0
2022-04-26 11:00:00,59.94,7
2022-04-26 12:00:00,116.15,19
2022-04-26 13:00:00,60.54,12
2022-04-26 14:00:00,85.3,13
2022-04-26 15:00:00,105.72,19
2022-04-26 16:00:00,104.58,12
2022-04-26 17:00:00,93.52,16
2022-04-26 18:00:00,168.37,15
2022-04-26 19:00:00,97.82,11
2022-04-26 20:00:00,115.31,13
2022-04-26 21:00:00,58.86,7
2022-04-26 22:00:00,49.76,5
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,40.88,6
2022-04-27 12:00:00,102.79,15
2022-04-27 13:00:00,111.87,14
2022-04-27 14:00:00,60.78,10
2022-04-27 15:00:00,100.01,14
2022-04-27 16:00:00,39.87,7
2022-04-27 17:00:00,220.54,16
2022-04-27 18:00:00,106.88,15
2022-04-27 19:00:00,200.01,23
2022-04-27 20:00:00,94.48,9
2022-04-27 21:00:00,140.64,14
2022-04-27 22:00:00,20.1,3
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,24.31,5
2022-04-28 12:00:00,146.48,18
2022-04-28 13:00:00,157.62,15
2022-04-28 14:00:00,88.81,9
2022-04-28 15:00:00,94.78,14
2022-04-28 16:00:00,123.01,12
2022-04-28 17:00:00,181.05,14
2022-04-28 18:00:00,198.49,14
2022-04-28 19:00:00,117.01,13
2022-04-28 20:00:00,225.39,18
2022-04-28 21:00:00,222.38,23
2022-04-28 22:00:00,28.5,4
2022-04-28 23:00:00,-3.73,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,0,0
2022-04-29 11:00:00,87.58,10
2022-04-29 12:00:00,89.76,13
2022-04-29 13:00:00,98.75,19
2022-04-29 14:00:00,67.21,14
2022-04-29 15:00:00,119.64,16
2022-04-29 16:00:00,133.21,24
2022-04-29 17:00:00,345.24,23
2022-04-29 18:00:00,334.08,27
2022-04-29 19:00:00,366.32,23
2022-04-29 20:00:00,188.15,16
2022-04-29 21:00:00,93.37,8
2022-04-29 22:00:00,20.8,5
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,0,0
2022-04-30 11:00:00,129.21,13
2022-04-30 12:00:00,50.7,8
2022-04-30 13:00:00,116.92,10
2022-04-30 14:00:00,129.6,16
2022-04-30 15:00:00,104.16,12
2022-04-30 16:00:00,122.45,14
2022-04-30 17:00:00,265.13,24
2022-04-30 18:00:00,283.97,24
2022-04-30 19:00:00,435.7,32
2022-04-30 20:00:00,281.07,24
2022-04-30 21:00:00,193.79,19
2022-04-30 22:00:00,58.95,9
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,85.59,6
2022-05-01 12:00:00,128.23,8
2022-05-01 13:00:00,177.14,16
2022-05-01 14:00:00,89.33,9
2022-05-01 15:00:00,146.73,13
2022-05-01 16:00:00,157.99,12
2022-05-01 17:00:00,291.9,22
2022-05-01 18:00:00,307.39,23
