Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,2
2022-04-25 10:00:00,124.01,15
2022-04-25 11:00:00,187.97,25
2022-04-25 12:00:00,421.15,59
2022-04-25 13:00:00,357.4,50
2022-04-25 14:00:00,200.27,27
2022-04-25 15:00:00,161.85,22
2022-04-25 16:00:00,411.78,40
2022-04-25 17:00:00,553.88,54
2022-04-25 18:00:00,560.67,53
2022-04-25 19:00:00,502.24,37
2022-04-25 20:00:00,359.15,44
2022-04-25 21:00:00,225.52,26
2022-04-25 22:00:00,66.97,9
2022-04-25 23:00:00,52.65,7
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,48.86,7
2022-04-26 11:00:00,275.09,31
2022-04-26 12:00:00,406.27,59
2022-04-26 13:00:00,376.89,52
2022-04-26 14:00:00,392.49,55
2022-04-26 15:00:00,299.6,42
2022-04-26 16:00:00,481.53,55
2022-04-26 17:00:00,560.61,56
2022-04-26 18:00:00,707.22,70
2022-04-26 19:00:00,569.97,63
2022-04-26 20:00:00,479.42,49
2022-04-26 21:00:00,371.74,38
2022-04-26 22:00:00,166.57,20
2022-04-26 23:00:00,25.37,5
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,111.89,14
2022-04-27 11:00:00,109.58,12
2022-04-27 12:00:00,361.57,60
2022-04-27 13:00:00,541.25,71
2022-04-27 14:00:00,393.48,50
2022-04-27 15:00:00,359.41,41
2022-04-27 16:00:00,472.77,50
2022-04-27 17:00:00,798.37,67
2022-04-27 18:00:00,827.63,72
2022-04-27 19:00:00,638.58,53
2022-04-27 20:00:00,472.13,36
2022-04-27 21:00:00,335.5,33
2022-04-27 22:00:00,175.52,18
2022-04-27 23:00:00,71.33,7
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,121.51,13
2022-04-28 11:00:00,200.12,27
2022-04-28 12:00:00,404.61,47
2022-04-28 13:00:00,467.6,68
2022-04-28 14:00:00,360.08,49
2022-04-28 15:00:00,385.14,43
2022-04-28 16:00:00,346.48,38
2022-04-28 17:00:00,781.19,65
2022-04-28 18:00:00,1081.8,87
2022-04-28 19:00:00,916.92,74
2022-04-28 20:00:00,740.13,70
2022-04-28 21:00:00,434.17,37
2022-04-28 22:00:00,276.35,20
2022-04-28 23:00:00,103.34,10
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,1
2022-04-29 10:00:00,94.58,13
2022-04-29 11:00:00,176.75,24
2022-04-29 12:00:00,519.66,63
2022-04-29 13:00:00,553.95,70
2022-04-29 14:00:00,373.81,51
2022-04-29 15:00:00,567.58,60
2022-04-29 16:00:00,717.64,69
2022-04-29 17:00:00,1140.42,95
2022-04-29 18:00:00,1434.49,104
2022-04-29 19:00:00,1333.11,91
2022-04-29 20:00:00,725.42,63
2022-04-29 21:00:00,431.89,36
2022-04-29 22:00:00,459.71,31
2022-04-29 23:00:00,230.75,20
2022-04-30 0:00:00,0,1
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,1
2022-04-30 10:00:00,75.24,10
2022-04-30 11:00:00,321.41,32
2022-04-30 12:00:00,740.46,75
2022-04-30 13:00:00,643.87,66
2022-04-30 14:00:00,624.81,66
2022-04-30 15:00:00,483.61,52
2022-04-30 16:00:00,649.01,61
2022-04-30 17:00:00,878.59,75
2022-04-30 18:00:00,1185.86,91
2022-04-30 19:00:00,1003.78,74
2022-04-30 20:00:00,845.51,63
2022-04-30 21:00:00,739.59,53
2022-04-30 22:00:00,309.39,29
2022-04-30 23:00:00,135.24,11
2022-05-01 0:00:00,10.37,1
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,29.52,2
2022-05-01 11:00:00,293.16,25
2022-05-01 12:00:00,410.1,45
2022-05-01 13:00:00,656.76,64
2022-05-01 14:00:00,653.9,63
2022-05-01 15:00:00,475.05,53
2022-05-01 16:00:00,459.03,37
