Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,71.73,9
2022-04-25 11:00:00,88.77,13
2022-04-25 12:00:00,154.09,23
2022-04-25 13:00:00,174.67,28
2022-04-25 14:00:00,184.4,25
2022-04-25 15:00:00,183.57,29
2022-04-25 16:00:00,138.24,30
2022-04-25 17:00:00,275.16,36
2022-04-25 18:00:00,380.65,36
2022-04-25 19:00:00,323.65,34
2022-04-25 20:00:00,300.21,41
2022-04-25 21:00:00,255.95,39
2022-04-25 22:00:00,245.73,33
2022-04-25 23:00:00,336.13,37
2022-04-26 0:00:00,173.99,24
2022-04-26 1:00:00,-17.61,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,58.9,7
2022-04-26 11:00:00,105.45,14
2022-04-26 12:00:00,168.06,31
2022-04-26 13:00:00,242.05,39
2022-04-26 14:00:00,83.45,20
2022-04-26 15:00:00,153.49,21
2022-04-26 16:00:00,233.17,38
2022-04-26 17:00:00,250,30
2022-04-26 18:00:00,361.79,48
2022-04-26 19:00:00,486.23,57
2022-04-26 20:00:00,310.59,48
2022-04-26 21:00:00,191.31,27
2022-04-26 22:00:00,320.47,46
2022-04-26 23:00:00,437.73,52
2022-04-27 0:00:00,312.71,37
2022-04-27 1:00:00,-17.82,1
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,144.37,19
2022-04-27 11:00:00,115.52,21
2022-04-27 12:00:00,212.14,33
2022-04-27 13:00:00,221.27,35
2022-04-27 14:00:00,150.65,26
2022-04-27 15:00:00,175.12,27
2022-04-27 16:00:00,184.5,26
2022-04-27 17:00:00,186.69,27
2022-04-27 18:00:00,375.41,46
2022-04-27 19:00:00,463.73,60
2022-04-27 20:00:00,356.42,52
2022-04-27 21:00:00,306.16,41
2022-04-27 22:00:00,315.81,40
2022-04-27 23:00:00,348.19,47
2022-04-28 0:00:00,393.26,47
2022-04-28 1:00:00,-10.28,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,53.25,7
2022-04-28 11:00:00,217.38,20
2022-04-28 12:00:00,307.61,40
2022-04-28 13:00:00,168.29,26
2022-04-28 14:00:00,242.95,39
2022-04-28 15:00:00,90.53,16
2022-04-28 16:00:00,165.25,30
2022-04-28 17:00:00,152.66,24
2022-04-28 18:00:00,161.16,26
2022-04-28 19:00:00,491.52,47
2022-04-28 20:00:00,457.9,57
2022-04-28 21:00:00,339.83,49
2022-04-28 22:00:00,366.77,47
2022-04-28 23:00:00,562.61,57
2022-04-29 0:00:00,243.49,32
2022-04-29 1:00:00,-22.92,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,147.9,21
2022-04-29 11:00:00,286.99,40
2022-04-29 12:00:00,276.37,42
2022-04-29 13:00:00,264.84,35
2022-04-29 14:00:00,222.52,26
2022-04-29 15:00:00,195.11,22
2022-04-29 16:00:00,208.52,34
2022-04-29 17:00:00,164.44,27
2022-04-29 18:00:00,326.77,46
2022-04-29 19:00:00,441.8,56
2022-04-29 20:00:00,537.21,46
2022-04-29 21:00:00,422.55,44
2022-04-29 22:00:00,449.39,54
2022-04-29 23:00:00,395.29,51
2022-04-30 0:00:00,345.95,39
2022-04-30 1:00:00,-9.2,1
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,125.86,14
2022-04-30 11:00:00,93.67,19
2022-04-30 12:00:00,270.51,25
2022-04-30 13:00:00,187.36,22
2022-04-30 14:00:00,276.34,39
2022-04-30 15:00:00,227.31,36
2022-04-30 16:00:00,201.73,29
2022-04-30 17:00:00,201.45,28
2022-04-30 18:00:00,296.92,34
2022-04-30 19:00:00,375.68,45
2022-04-30 20:00:00,610.98,58
2022-04-30 21:00:00,457.2,49
2022-04-30 22:00:00,292.08,37
2022-04-30 23:00:00,512.5,55
2022-05-01 0:00:00,56.03,7
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,82.4,9
2022-05-01 11:00:00,251.4,25
2022-05-01 12:00:00,206.99,28
2022-05-01 13:00:00,208.21,32
2022-05-01 14:00:00,298.52,42
2022-05-01 15:00:00,263.87,31
