Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,94.75,14
2022-04-25 11:00:00,244.27,35
2022-04-25 12:00:00,478.13,67
2022-04-25 13:00:00,344.3,47
2022-04-25 14:00:00,347.1,43
2022-04-25 15:00:00,573.25,64
2022-04-25 16:00:00,374.54,41
2022-04-25 17:00:00,506.88,44
2022-04-25 18:00:00,534.87,55
2022-04-25 19:00:00,606.56,59
2022-04-25 20:00:00,381.73,34
2022-04-25 21:00:00,318.37,34
2022-04-25 22:00:00,110.6,16
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,126.29,11
2022-04-26 11:00:00,355.39,41
2022-04-26 12:00:00,373.84,49
2022-04-26 13:00:00,517.19,72
2022-04-26 14:00:00,316.91,49
2022-04-26 15:00:00,609.15,64
2022-04-26 16:00:00,552.5,62
2022-04-26 17:00:00,655.55,65
2022-04-26 18:00:00,850.99,98
2022-04-26 19:00:00,582.69,64
2022-04-26 20:00:00,687.92,66
2022-04-26 21:00:00,411.62,41
2022-04-26 22:00:00,125.4,13
2022-04-26 23:00:00,0,1
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,88.81,10
2022-04-27 11:00:00,234.62,29
2022-04-27 12:00:00,594.27,71
2022-04-27 13:00:00,520.5,58
2022-04-27 14:00:00,343.18,40
2022-04-27 15:00:00,455.28,55
2022-04-27 16:00:00,614.23,63
2022-04-27 17:00:00,722.87,69
2022-04-27 18:00:00,932.99,88
2022-04-27 19:00:00,717.75,65
2022-04-27 20:00:00,394.54,45
2022-04-27 21:00:00,397.29,42
2022-04-27 22:00:00,35.11,3
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,25.86,4
2022-04-28 11:00:00,422.55,46
2022-04-28 12:00:00,659.65,71
2022-04-28 13:00:00,580.15,74
2022-04-28 14:00:00,424.73,46
2022-04-28 15:00:00,525.86,58
2022-04-28 16:00:00,546.43,65
2022-04-28 17:00:00,696.95,64
2022-04-28 18:00:00,908.16,75
2022-04-28 19:00:00,781.98,73
2022-04-28 20:00:00,648.48,57
2022-04-28 21:00:00,460.6,45
2022-04-28 22:00:00,137.47,12
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,132.39,14
2022-04-29 11:00:00,389.83,49
2022-04-29 12:00:00,805.69,87
2022-04-29 13:00:00,810.14,84
2022-04-29 14:00:00,556.44,63
2022-04-29 15:00:00,707.81,73
2022-04-29 16:00:00,779.08,78
2022-04-29 17:00:00,954.68,82
2022-04-29 18:00:00,1070.46,86
2022-04-29 19:00:00,848.75,61
2022-04-29 20:00:00,762.9,52
2022-04-29 21:00:00,207.49,17
2022-04-29 22:00:00,-12.94,1
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,103.28,11
2022-04-30 11:00:00,419.75,38
2022-04-30 12:00:00,861.55,85
2022-04-30 13:00:00,741.63,78
2022-04-30 14:00:00,795.73,75
2022-04-30 15:00:00,856.28,85
2022-04-30 16:00:00,614.1,69
2022-04-30 17:00:00,734.91,73
2022-04-30 18:00:00,763,69
2022-04-30 19:00:00,732.84,61
2022-04-30 20:00:00,637.77,48
2022-04-30 21:00:00,346.47,32
2022-04-30 22:00:00,162.33,17
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,69.35,8
2022-05-01 11:00:00,383.92,34
2022-05-01 12:00:00,803.78,66
2022-05-01 13:00:00,825.15,80
2022-05-01 14:00:00,984.54,82
2022-05-01 15:00:00,883.83,68
2022-05-01 16:00:00,634.5,55
2022-05-01 17:00:00,636.08,53
