Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,36.26,7
2022-04-25 11:00:00,127.39,19
2022-04-25 12:00:00,369.69,38
2022-04-25 13:00:00,182.87,27
2022-04-25 14:00:00,246.37,30
2022-04-25 15:00:00,390.61,35
2022-04-25 16:00:00,388.88,49
2022-04-25 17:00:00,358.87,45
2022-04-25 18:00:00,585.96,59
2022-04-25 19:00:00,562.61,61
2022-04-25 20:00:00,704.86,62
2022-04-25 21:00:00,321.92,33
2022-04-25 22:00:00,238.04,31
2022-04-25 23:00:00,219.73,34
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,72.69,8
2022-04-26 11:00:00,221.1,25
2022-04-26 12:00:00,281.2,40
2022-04-26 13:00:00,245.77,37
2022-04-26 14:00:00,273.85,38
2022-04-26 15:00:00,268.67,41
2022-04-26 16:00:00,389.65,44
2022-04-26 17:00:00,424.76,47
2022-04-26 18:00:00,537.96,49
2022-04-26 19:00:00,787.23,72
2022-04-26 20:00:00,718.86,68
2022-04-26 21:00:00,236.96,29
2022-04-26 22:00:00,240.32,31
2022-04-26 23:00:00,180.05,25
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,21.74,3
2022-04-27 11:00:00,164.93,18
2022-04-27 12:00:00,316.64,32
2022-04-27 13:00:00,403.47,47
2022-04-27 14:00:00,278.31,39
2022-04-27 15:00:00,182.06,37
2022-04-27 16:00:00,564.4,49
2022-04-27 17:00:00,499.25,49
2022-04-27 18:00:00,481.89,50
2022-04-27 19:00:00,909.86,76
2022-04-27 20:00:00,788.81,71
2022-04-27 21:00:00,438.04,41
2022-04-27 22:00:00,378.07,44
2022-04-27 23:00:00,151.52,22
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,45.42,6
2022-04-28 11:00:00,191.5,24
2022-04-28 12:00:00,361.48,43
2022-04-28 13:00:00,321.24,41
2022-04-28 14:00:00,307.37,42
2022-04-28 15:00:00,331.75,43
2022-04-28 16:00:00,321.32,39
2022-04-28 17:00:00,580.32,59
2022-04-28 18:00:00,452.27,45
2022-04-28 19:00:00,890.38,74
2022-04-28 20:00:00,886.84,72
2022-04-28 21:00:00,443.45,39
2022-04-28 22:00:00,416.82,48
2022-04-28 23:00:00,109.89,18
2022-04-29 0:00:00,111.22,16
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,14.77,3
2022-04-29 11:00:00,222.32,31
2022-04-29 12:00:00,529.16,48
2022-04-29 13:00:00,516.69,58
2022-04-29 14:00:00,412.48,50
2022-04-29 15:00:00,332.07,36
2022-04-29 16:00:00,40.81,4
2022-04-29 17:00:00,97.39,6
2022-04-29 18:00:00,534.21,40
2022-04-29 19:00:00,1115.43,95
2022-04-29 20:00:00,948.75,71
2022-04-29 21:00:00,798.67,81
2022-04-29 22:00:00,523.93,52
2022-04-29 23:00:00,308.28,37
2022-04-30 0:00:00,75.11,18
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,48.14,8
2022-04-30 11:00:00,205.67,29
2022-04-30 12:00:00,287.89,35
2022-04-30 13:00:00,493.1,59
2022-04-30 14:00:00,423.08,41
2022-04-30 15:00:00,606.27,57
2022-04-30 16:00:00,599.92,48
2022-04-30 17:00:00,764.31,57
2022-04-30 18:00:00,555.73,55
2022-04-30 19:00:00,1074.57,84
2022-04-30 20:00:00,656.88,57
2022-04-30 21:00:00,583.47,57
2022-04-30 22:00:00,412.86,45
2022-04-30 23:00:00,431.09,56
2022-05-01 0:00:00,-11.21,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,3.32,1
2022-05-01 11:00:00,140.14,19
2022-05-01 12:00:00,392.42,43
2022-05-01 13:00:00,421.26,48
2022-05-01 14:00:00,494.93,55
2022-05-01 15:00:00,336.85,44
2022-05-01 16:00:00,657.06,67
