Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,14.95,3
2022-04-25 11:00:00,72.83,13
2022-04-25 12:00:00,191.61,29
2022-04-25 13:00:00,224.81,27
2022-04-25 14:00:00,108.6,15
2022-04-25 15:00:00,152.14,23
2022-04-25 16:00:00,177.77,28
2022-04-25 17:00:00,359.06,42
2022-04-25 18:00:00,406.62,42
2022-04-25 19:00:00,281.08,27
2022-04-25 20:00:00,236.62,30
2022-04-25 21:00:00,182.05,17
2022-04-25 22:00:00,21.21,2
2022-04-25 23:00:00,0,2
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,39.42,5
2022-04-26 11:00:00,112.28,13
2022-04-26 12:00:00,214.6,35
2022-04-26 13:00:00,201.52,31
2022-04-26 14:00:00,128.51,21
2022-04-26 15:00:00,139.03,18
2022-04-26 16:00:00,207.73,30
2022-04-26 17:00:00,321.68,30
2022-04-26 18:00:00,663.84,63
2022-04-26 19:00:00,289.26,27
2022-04-26 20:00:00,224.76,23
2022-04-26 21:00:00,92.04,14
2022-04-26 22:00:00,14.39,8
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,2
2022-04-27 10:00:00,33.68,5
2022-04-27 11:00:00,122.07,14
2022-04-27 12:00:00,265.08,33
2022-04-27 13:00:00,265.56,38
2022-04-27 14:00:00,170.71,25
2022-04-27 15:00:00,162.17,27
2022-04-27 16:00:00,260.8,32
2022-04-27 17:00:00,336.1,36
2022-04-27 18:00:00,432.52,38
2022-04-27 19:00:00,395.81,40
2022-04-27 20:00:00,296.09,30
2022-04-27 21:00:00,243.78,19
2022-04-27 22:00:00,11.41,1
2022-04-27 23:00:00,0,1
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,2
2022-04-28 10:00:00,65.14,7
2022-04-28 11:00:00,204.24,27
2022-04-28 12:00:00,342.77,41
2022-04-28 13:00:00,168.73,22
2022-04-28 14:00:00,85.32,17
2022-04-28 15:00:00,178.26,24
2022-04-28 16:00:00,216.67,23
2022-04-28 17:00:00,403.76,42
2022-04-28 18:00:00,678.68,67
2022-04-28 19:00:00,552.49,54
2022-04-28 20:00:00,336.79,29
2022-04-28 21:00:00,166.53,16
2022-04-28 22:00:00,15.15,4
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,6.42,3
2022-04-29 11:00:00,87.09,15
2022-04-29 12:00:00,319.01,41
2022-04-29 13:00:00,323.09,40
2022-04-29 14:00:00,338.19,46
2022-04-29 15:00:00,164.37,19
2022-04-29 16:00:00,388.91,35
2022-04-29 17:00:00,586.46,51
2022-04-29 18:00:00,830.07,71
2022-04-29 19:00:00,732.32,64
2022-04-29 20:00:00,440.72,39
2022-04-29 21:00:00,304.84,32
2022-04-29 22:00:00,61.78,8
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,10.36,1
2022-04-30 11:00:00,223.28,29
2022-04-30 12:00:00,510.29,45
2022-04-30 13:00:00,492.65,40
2022-04-30 14:00:00,429.29,43
2022-04-30 15:00:00,405.64,42
2022-04-30 16:00:00,553.97,46
2022-04-30 17:00:00,664.7,49
2022-04-30 18:00:00,1070.15,61
2022-04-30 19:00:00,510.78,40
2022-04-30 20:00:00,423.51,46
2022-04-30 21:00:00,267.34,22
2022-04-30 22:00:00,3.39,1
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,22.41,3
2022-05-01 11:00:00,230.94,16
2022-05-01 12:00:00,509.16,44
2022-05-01 13:00:00,766.15,59
2022-05-01 14:00:00,428.71,43
2022-05-01 15:00:00,368.62,31
2022-05-01 16:00:00,365.62,36
2022-05-01 17:00:00,599.85,56
