Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,0
2022-04-25 11:00:00,166.21,22
2022-04-25 12:00:00,301.54,50
2022-04-25 13:00:00,225.52,38
2022-04-25 14:00:00,207.19,31
2022-04-25 15:00:00,199.24,32
2022-04-25 16:00:00,162.87,29
2022-04-25 17:00:00,193.02,26
2022-04-25 18:00:00,301.73,39
2022-04-25 19:00:00,580.05,46
2022-04-25 20:00:00,385.93,39
2022-04-25 21:00:00,212.46,24
2022-04-25 22:00:00,175.13,18
2022-04-25 23:00:00,121.36,19
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,1
2022-04-26 11:00:00,114.25,19
2022-04-26 12:00:00,258.14,57
2022-04-26 13:00:00,270.76,42
2022-04-26 14:00:00,236.37,38
2022-04-26 15:00:00,263.36,38
2022-04-26 16:00:00,303.36,42
2022-04-26 17:00:00,323,37
2022-04-26 18:00:00,415.38,50
2022-04-26 19:00:00,744.18,61
2022-04-26 20:00:00,395.71,42
2022-04-26 21:00:00,350.59,36
2022-04-26 22:00:00,243.44,32
2022-04-26 23:00:00,199.25,24
2022-04-27 0:00:00,6.89,1
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,95.09,16
2022-04-27 12:00:00,261.42,51
2022-04-27 13:00:00,241.02,48
2022-04-27 14:00:00,168.77,25
2022-04-27 15:00:00,219.91,36
2022-04-27 16:00:00,298.51,47
2022-04-27 17:00:00,206.65,27
2022-04-27 18:00:00,379.97,44
2022-04-27 19:00:00,586.93,54
2022-04-27 20:00:00,558.8,55
2022-04-27 21:00:00,229.66,27
2022-04-27 22:00:00,220.84,29
2022-04-27 23:00:00,119.19,17
2022-04-28 0:00:00,56.32,12
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,1
2022-04-28 11:00:00,84.29,19
2022-04-28 12:00:00,245.7,53
2022-04-28 13:00:00,256.09,41
2022-04-28 14:00:00,223.95,30
2022-04-28 15:00:00,254.7,39
2022-04-28 16:00:00,252.7,37
2022-04-28 17:00:00,569.4,55
2022-04-28 18:00:00,343.58,42
2022-04-28 19:00:00,823.89,66
2022-04-28 20:00:00,689.18,49
2022-04-28 21:00:00,357.63,31
2022-04-28 22:00:00,208.49,30
2022-04-28 23:00:00,275.97,34
2022-04-29 0:00:00,90.74,14
2022-04-29 1:00:00,76.73,13
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,0,1
2022-04-29 11:00:00,219.87,31
2022-04-29 12:00:00,345.36,58
2022-04-29 13:00:00,273.06,42
2022-04-29 14:00:00,331.96,51
2022-04-29 15:00:00,281.42,41
2022-04-29 16:00:00,324.33,53
2022-04-29 17:00:00,557.77,56
2022-04-29 18:00:00,770.44,61
2022-04-29 19:00:00,882.12,76
2022-04-29 20:00:00,527.53,53
2022-04-29 21:00:00,522.26,48
2022-04-29 22:00:00,321.93,36
2022-04-29 23:00:00,349.53,41
2022-04-30 0:00:00,44.43,9
2022-04-30 1:00:00,15.96,6
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,1
2022-04-30 10:00:00,0,0
2022-04-30 11:00:00,171.13,21
2022-04-30 12:00:00,329.85,41
2022-04-30 13:00:00,426.88,42
2022-04-30 14:00:00,309.51,34
2022-04-30 15:00:00,339.19,37
2022-04-30 16:00:00,284.96,32
2022-04-30 17:00:00,395.72,42
2022-04-30 18:00:00,611.44,52
2022-04-30 19:00:00,802.74,69
2022-04-30 20:00:00,784.38,66
2022-04-30 21:00:00,496.69,48
2022-04-30 22:00:00,383.22,39
2022-04-30 23:00:00,336.5,36
2022-05-01 0:00:00,33.65,3
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,141.54,12
2022-05-01 12:00:00,241.11,24
2022-05-01 13:00:00,272.59,31
2022-05-01 14:00:00,337.58,35
2022-05-01 15:00:00,233.8,25
2022-05-01 16:00:00,465.07,38
2022-05-01 17:00:00,554.25,37
