Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,0
2022-04-25 11:00:00,243.5,24
2022-04-25 12:00:00,254.7,26
2022-04-25 13:00:00,268.36,34
2022-04-25 14:00:00,182.74,24
2022-04-25 15:00:00,203.63,28
2022-04-25 16:00:00,321.75,35
2022-04-25 17:00:00,346.21,24
2022-04-25 18:00:00,412.29,30
2022-04-25 19:00:00,525.04,40
2022-04-25 20:00:00,371.01,30
2022-04-25 21:00:00,188.53,16
2022-04-25 22:00:00,160.58,14
2022-04-25 23:00:00,46.17,6
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,0
2022-04-26 11:00:00,98.01,11
2022-04-26 12:00:00,224.22,25
2022-04-26 13:00:00,204.73,27
2022-04-26 14:00:00,181.57,20
2022-04-26 15:00:00,219.04,37
2022-04-26 16:00:00,255.43,29
2022-04-26 17:00:00,429.9,39
2022-04-26 18:00:00,630.33,53
2022-04-26 19:00:00,482.37,39
2022-04-26 20:00:00,352.49,32
2022-04-26 21:00:00,226.39,20
2022-04-26 22:00:00,104.57,12
2022-04-26 23:00:00,52.68,8
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,157.41,23
2022-04-27 12:00:00,359.48,37
2022-04-27 13:00:00,323.71,34
2022-04-27 14:00:00,134.9,17
2022-04-27 15:00:00,254.11,37
2022-04-27 16:00:00,426.86,36
2022-04-27 17:00:00,541.27,44
2022-04-27 18:00:00,629.55,38
2022-04-27 19:00:00,497.45,44
2022-04-27 20:00:00,343.32,34
2022-04-27 21:00:00,415.7,36
2022-04-27 22:00:00,204,18
2022-04-27 23:00:00,37.17,8
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,237.23,22
2022-04-28 12:00:00,315.46,33
2022-04-28 13:00:00,209.29,28
2022-04-28 14:00:00,152.54,18
2022-04-28 15:00:00,218.02,32
2022-04-28 16:00:00,205.02,23
2022-04-28 17:00:00,509.4,44
2022-04-28 18:00:00,539.48,45
2022-04-28 19:00:00,671.92,62
2022-04-28 20:00:00,444.76,38
2022-04-28 21:00:00,432.13,37
2022-04-28 22:00:00,238.71,26
2022-04-28 23:00:00,55.22,6
2022-04-29 0:00:00,4.15,1
2022-04-29 1:00:00,3.32,1
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,0,0
2022-04-29 11:00:00,159.8,21
2022-04-29 12:00:00,354.83,42
2022-04-29 13:00:00,278.32,34
2022-04-29 14:00:00,179.31,20
2022-04-29 15:00:00,264.23,35
2022-04-29 16:00:00,484.14,52
2022-04-29 17:00:00,937.36,63
2022-04-29 18:00:00,765.29,64
2022-04-29 19:00:00,1019.83,70
2022-04-29 20:00:00,509.92,41
2022-04-29 21:00:00,328.73,32
2022-04-29 22:00:00,306.56,34
2022-04-29 23:00:00,122.54,16
2022-04-30 0:00:00,32.75,5
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,0,0
2022-04-30 11:00:00,78.37,12
2022-04-30 12:00:00,314.92,35
2022-04-30 13:00:00,318.54,43
2022-04-30 14:00:00,295.22,32
2022-04-30 15:00:00,307.54,36
2022-04-30 16:00:00,275.83,22
2022-04-30 17:00:00,904.42,66
2022-04-30 18:00:00,659.58,51
2022-04-30 19:00:00,680.59,53
2022-04-30 20:00:00,494.65,34
2022-04-30 21:00:00,487.9,42
2022-04-30 22:00:00,230.67,30
2022-04-30 23:00:00,92.32,11
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,153.84,14
2022-05-01 12:00:00,252.46,23
2022-05-01 13:00:00,264.32,26
2022-05-01 14:00:00,305.65,28
2022-05-01 15:00:00,313.49,30
2022-05-01 16:00:00,375.61,33
2022-05-01 17:00:00,457.62,37
