Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,0
2022-04-25 11:00:00,78.34,9
2022-04-25 12:00:00,65.35,11
2022-04-25 13:00:00,105.6,22
2022-04-25 14:00:00,101.06,14
2022-04-25 15:00:00,129.28,18
2022-04-25 16:00:00,130.38,18
2022-04-25 17:00:00,132.93,22
2022-04-25 18:00:00,240.65,26
2022-04-25 19:00:00,242.04,24
2022-04-25 20:00:00,230.01,24
2022-04-25 21:00:00,179.76,20
2022-04-25 22:00:00,45.15,9
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,0
2022-04-26 11:00:00,77.62,8
2022-04-26 12:00:00,121.15,20
2022-04-26 13:00:00,160.76,19
2022-04-26 14:00:00,76.21,15
2022-04-26 15:00:00,114.85,19
2022-04-26 16:00:00,206.13,22
2022-04-26 17:00:00,134.01,21
2022-04-26 18:00:00,143.1,19
2022-04-26 19:00:00,310.41,31
2022-04-26 20:00:00,421.35,45
2022-04-26 21:00:00,78.34,10
2022-04-26 22:00:00,39.51,7
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,69.5,12
2022-04-27 12:00:00,110.51,13
2022-04-27 13:00:00,155.61,15
2022-04-27 14:00:00,119.42,17
2022-04-27 15:00:00,63.52,15
2022-04-27 16:00:00,133.2,23
2022-04-27 17:00:00,195.13,25
2022-04-27 18:00:00,196.88,24
2022-04-27 19:00:00,422.92,45
2022-04-27 20:00:00,260.58,32
2022-04-27 21:00:00,220.9,24
2022-04-27 22:00:00,67.36,11
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,59.44,11
2022-04-28 12:00:00,69.1,11
2022-04-28 13:00:00,106.15,16
2022-04-28 14:00:00,119.99,22
2022-04-28 15:00:00,87.03,17
2022-04-28 16:00:00,175.48,24
2022-04-28 17:00:00,230.31,25
2022-04-28 18:00:00,180.37,29
2022-04-28 19:00:00,419.79,36
2022-04-28 20:00:00,483.13,49
2022-04-28 21:00:00,143.89,23
2022-04-28 22:00:00,97.44,15
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,0,0
2022-04-29 11:00:00,101.91,10
2022-04-29 12:00:00,228.62,28
2022-04-29 13:00:00,159.59,18
2022-04-29 14:00:00,141.82,22
2022-04-29 15:00:00,178.88,25
2022-04-29 16:00:00,289.17,29
2022-04-29 17:00:00,251.38,28
2022-04-29 18:00:00,296.98,33
2022-04-29 19:00:00,389.96,37
2022-04-29 20:00:00,421.06,47
2022-04-29 21:00:00,383.33,38
2022-04-29 22:00:00,66.21,13
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,0,0
2022-04-30 11:00:00,94.75,9
2022-04-30 12:00:00,120.89,19
2022-04-30 13:00:00,256.96,23
2022-04-30 14:00:00,167.91,25
2022-04-30 15:00:00,183.06,19
2022-04-30 16:00:00,101.51,17
2022-04-30 17:00:00,214.94,23
2022-04-30 18:00:00,239.3,28
2022-04-30 19:00:00,235.19,21
2022-04-30 20:00:00,403.75,36
2022-04-30 21:00:00,333.28,30
2022-04-30 22:00:00,139.39,17
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,69.12,10
2022-05-01 12:00:00,102.1,11
2022-05-01 13:00:00,188.5,23
2022-05-01 14:00:00,187,18
2022-05-01 15:00:00,269.87,20
2022-05-01 16:00:00,115.96,16
2022-05-01 17:00:00,323.36,24
2022-05-01 18:00:00,301.51,31
