Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,29.42,8
2022-04-25 11:00:00,154.34,23
2022-04-25 12:00:00,376.52,52
2022-04-25 13:00:00,299.62,40
2022-04-25 14:00:00,269.12,33
2022-04-25 15:00:00,188.35,22
2022-04-25 16:00:00,391.35,42
2022-04-25 17:00:00,544.2,40
2022-04-25 18:00:00,616.96,58
2022-04-25 19:00:00,576.49,52
2022-04-25 20:00:00,462.39,46
2022-04-25 21:00:00,135.17,14
2022-04-25 22:00:00,101.29,12
2022-04-25 23:00:00,-6.16,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,25.78,3
2022-04-26 11:00:00,256.85,35
2022-04-26 12:00:00,469.22,50
2022-04-26 13:00:00,394.46,51
2022-04-26 14:00:00,309.86,35
2022-04-26 15:00:00,237.68,35
2022-04-26 16:00:00,335.49,42
2022-04-26 17:00:00,681.81,62
2022-04-26 18:00:00,1037.44,79
2022-04-26 19:00:00,862.41,79
2022-04-26 20:00:00,583.94,51
2022-04-26 21:00:00,269.06,35
2022-04-26 22:00:00,68.74,10
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,26.97,4
2022-04-27 11:00:00,201.86,27
2022-04-27 12:00:00,484.35,67
2022-04-27 13:00:00,333.06,53
2022-04-27 14:00:00,165.62,23
2022-04-27 15:00:00,193.52,27
2022-04-27 16:00:00,487.44,43
2022-04-27 17:00:00,641.21,58
2022-04-27 18:00:00,910.87,75
2022-04-27 19:00:00,701.72,60
2022-04-27 20:00:00,629.23,57
2022-04-27 21:00:00,280.49,31
2022-04-27 22:00:00,146.77,11
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,56.33,6
2022-04-28 11:00:00,272.34,34
2022-04-28 12:00:00,471.65,57
2022-04-28 13:00:00,436.38,55
2022-04-28 14:00:00,276.88,35
2022-04-28 15:00:00,266.85,27
2022-04-28 16:00:00,578.73,52
2022-04-28 17:00:00,715.12,63
2022-04-28 18:00:00,1117.93,84
2022-04-28 19:00:00,861.48,76
2022-04-28 20:00:00,619.12,55
2022-04-28 21:00:00,163.12,21
2022-04-28 22:00:00,203.58,25
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,72.7,9
2022-04-29 11:00:00,269.69,27
2022-04-29 12:00:00,671.57,78
2022-04-29 13:00:00,582.23,66
2022-04-29 14:00:00,386.37,49
2022-04-29 15:00:00,330.64,37
2022-04-29 16:00:00,628.5,50
2022-04-29 17:00:00,1212.66,93
2022-04-29 18:00:00,1454.35,102
2022-04-29 19:00:00,1375.62,109
2022-04-29 20:00:00,802.57,72
2022-04-29 21:00:00,410.12,43
2022-04-29 22:00:00,155.89,16
2022-04-29 23:00:00,120.46,14
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,1
2022-04-30 10:00:00,109.28,11
2022-04-30 11:00:00,369.97,39
2022-04-30 12:00:00,850.06,74
2022-04-30 13:00:00,823.78,72
2022-04-30 14:00:00,673.06,61
2022-04-30 15:00:00,723.72,67
2022-04-30 16:00:00,816.12,72
2022-04-30 17:00:00,1286.09,93
2022-04-30 18:00:00,1414.14,97
2022-04-30 19:00:00,1002.68,67
2022-04-30 20:00:00,614.4,51
2022-04-30 21:00:00,437.73,39
2022-04-30 22:00:00,291.76,29
2022-04-30 23:00:00,75.09,9
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,111.39,16
2022-05-01 11:00:00,185.88,21
2022-05-01 12:00:00,756.75,66
2022-05-01 13:00:00,734.58,74
2022-05-01 14:00:00,599.23,56
2022-05-01 15:00:00,697.42,56
2022-05-01 16:00:00,1008.08,72
