Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,66.5,12
2022-04-25 11:00:00,337.18,35
2022-04-25 12:00:00,578.25,74
2022-04-25 13:00:00,460.81,56
2022-04-25 14:00:00,243.82,30
2022-04-25 15:00:00,257.15,34
2022-04-25 16:00:00,445.4,48
2022-04-25 17:00:00,565.21,52
2022-04-25 18:00:00,559.58,55
2022-04-25 19:00:00,354.33,36
2022-04-25 20:00:00,361.15,38
2022-04-25 21:00:00,190.53,20
2022-04-25 22:00:00,87.25,10
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,67.93,10
2022-04-26 11:00:00,220.38,27
2022-04-26 12:00:00,524.02,64
2022-04-26 13:00:00,475.23,61
2022-04-26 14:00:00,315.69,45
2022-04-26 15:00:00,266.73,33
2022-04-26 16:00:00,566.92,63
2022-04-26 17:00:00,743.25,74
2022-04-26 18:00:00,791.13,79
2022-04-26 19:00:00,519.84,58
2022-04-26 20:00:00,356.43,40
2022-04-26 21:00:00,242.37,25
2022-04-26 22:00:00,112.31,17
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,108.95,14
2022-04-27 11:00:00,222.75,28
2022-04-27 12:00:00,518.02,71
2022-04-27 13:00:00,560.54,64
2022-04-27 14:00:00,358.46,46
2022-04-27 15:00:00,224.91,34
2022-04-27 16:00:00,443.8,51
2022-04-27 17:00:00,673.85,59
2022-04-27 18:00:00,840.08,80
2022-04-27 19:00:00,722.83,65
2022-04-27 20:00:00,520,49
2022-04-27 21:00:00,208.31,35
2022-04-27 22:00:00,123.96,18
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,44.9,6
2022-04-28 11:00:00,320.85,33
2022-04-28 12:00:00,618.5,70
2022-04-28 13:00:00,429.53,60
2022-04-28 14:00:00,253.13,33
2022-04-28 15:00:00,313.31,31
2022-04-28 16:00:00,650.81,67
2022-04-28 17:00:00,872.87,83
2022-04-28 18:00:00,1048.06,88
2022-04-28 19:00:00,865.2,75
2022-04-28 20:00:00,492.21,49
2022-04-28 21:00:00,374.71,41
2022-04-28 22:00:00,151.51,18
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,121.1,14
2022-04-29 11:00:00,274.36,37
2022-04-29 12:00:00,759.75,96
2022-04-29 13:00:00,588.15,71
2022-04-29 14:00:00,395.65,52
2022-04-29 15:00:00,514.33,54
2022-04-29 16:00:00,544.51,51
2022-04-29 17:00:00,1105.72,92
2022-04-29 18:00:00,1596.25,109
2022-04-29 19:00:00,1451.83,109
2022-04-29 20:00:00,836.88,69
2022-04-29 21:00:00,339.94,37
2022-04-29 22:00:00,124.06,19
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,62.04,9
2022-04-30 11:00:00,450.77,48
2022-04-30 12:00:00,711.08,66
2022-04-30 13:00:00,913.21,78
2022-04-30 14:00:00,955.62,86
2022-04-30 15:00:00,909.8,67
2022-04-30 16:00:00,783.6,66
2022-04-30 17:00:00,918.18,85
2022-04-30 18:00:00,941.67,86
2022-04-30 19:00:00,1026.04,80
2022-04-30 20:00:00,546.46,57
2022-04-30 21:00:00,484.08,47
2022-04-30 22:00:00,131.83,15
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,39.58,5
2022-05-01 11:00:00,382.11,31
2022-05-01 12:00:00,796.55,68
2022-05-01 13:00:00,891.8,84
2022-05-01 14:00:00,589.81,57
2022-05-01 15:00:00,494.52,48
2022-05-01 16:00:00,822.38,69
2022-05-01 17:00:00,918.44,81
