Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,3
2022-04-25 10:00:00,40.5,7
2022-04-25 11:00:00,278.83,33
2022-04-25 12:00:00,511.79,54
2022-04-25 13:00:00,455.33,52
2022-04-25 14:00:00,333.88,40
2022-04-25 15:00:00,332.52,34
2022-04-25 16:00:00,464.22,49
2022-04-25 17:00:00,931.53,74
2022-04-25 18:00:00,744.48,55
2022-04-25 19:00:00,694.59,55
2022-04-25 20:00:00,470.05,44
2022-04-25 21:00:00,322.56,41
2022-04-25 22:00:00,86.72,11
2022-04-25 23:00:00,14.92,1
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,170.69,23
2022-04-26 11:00:00,323.19,47
2022-04-26 12:00:00,549.21,70
2022-04-26 13:00:00,421.41,47
2022-04-26 14:00:00,293.89,36
2022-04-26 15:00:00,448.54,43
2022-04-26 16:00:00,518.98,56
2022-04-26 17:00:00,1173.63,91
2022-04-26 18:00:00,1173.21,82
2022-04-26 19:00:00,986.92,77
2022-04-26 20:00:00,801.91,69
2022-04-26 21:00:00,336.33,36
2022-04-26 22:00:00,95.84,12
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,74.8,9
2022-04-27 11:00:00,317.94,35
2022-04-27 12:00:00,730.02,84
2022-04-27 13:00:00,552.08,70
2022-04-27 14:00:00,293.87,40
2022-04-27 15:00:00,259.2,28
2022-04-27 16:00:00,535.71,41
2022-04-27 17:00:00,1028.57,65
2022-04-27 18:00:00,1025.72,78
2022-04-27 19:00:00,786.81,61
2022-04-27 20:00:00,626.49,55
2022-04-27 21:00:00,285.72,25
2022-04-27 22:00:00,135.87,16
2022-04-27 23:00:00,14.96,1
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,82.47,15
2022-04-28 11:00:00,319.64,34
2022-04-28 12:00:00,807.12,86
2022-04-28 13:00:00,618.04,67
2022-04-28 14:00:00,405.55,38
2022-04-28 15:00:00,358.9,31
2022-04-28 16:00:00,754.37,57
2022-04-28 17:00:00,934.97,75
2022-04-28 18:00:00,1193.86,84
2022-04-28 19:00:00,808.43,63
2022-04-28 20:00:00,771.63,56
2022-04-28 21:00:00,411.77,35
2022-04-28 22:00:00,143.39,15
2022-04-28 23:00:00,5.39,1
2022-04-29 0:00:00,0,1
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,121.51,16
2022-04-29 11:00:00,412.59,47
2022-04-29 12:00:00,823.91,84
2022-04-29 13:00:00,634.42,74
2022-04-29 14:00:00,438.35,51
2022-04-29 15:00:00,443.77,40
2022-04-29 16:00:00,741.07,53
2022-04-29 17:00:00,1314.56,99
2022-04-29 18:00:00,1454.34,106
2022-04-29 19:00:00,1670.4,110
2022-04-29 20:00:00,873.99,70
2022-04-29 21:00:00,608.98,45
2022-04-29 22:00:00,340.08,28
2022-04-29 23:00:00,0,1
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,6.65,1
2022-04-30 10:00:00,64,11
2022-04-30 11:00:00,420.03,39
2022-04-30 12:00:00,854,73
2022-04-30 13:00:00,893.55,90
2022-04-30 14:00:00,748.94,64
2022-04-30 15:00:00,790.38,63
2022-04-30 16:00:00,805.18,63
2022-04-30 17:00:00,1401.38,102
2022-04-30 18:00:00,1390.53,91
2022-04-30 19:00:00,1335.65,91
2022-04-30 20:00:00,728.31,64
2022-04-30 21:00:00,510.92,43
2022-04-30 22:00:00,250.61,20
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,59.61,6
2022-05-01 11:00:00,354.58,34
2022-05-01 12:00:00,944.89,73
2022-05-01 13:00:00,910.96,72
2022-05-01 14:00:00,764.8,62
2022-05-01 15:00:00,912.24,64
2022-05-01 16:00:00,990.22,69
2022-05-01 17:00:00,1166.32,75
