Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,110.95,16
2022-04-25 11:00:00,169.62,28
2022-04-25 12:00:00,417.55,51
2022-04-25 13:00:00,501.61,46
2022-04-25 14:00:00,220.67,30
2022-04-25 15:00:00,413.63,43
2022-04-25 16:00:00,465.05,47
2022-04-25 17:00:00,700.22,61
2022-04-25 18:00:00,517.23,47
2022-04-25 19:00:00,525.54,48
2022-04-25 20:00:00,703.79,64
2022-04-25 21:00:00,556.41,49
2022-04-25 22:00:00,350.72,31
2022-04-25 23:00:00,90.3,9
2022-04-26 0:00:00,136.29,13
2022-04-26 1:00:00,98.23,8
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,127.34,15
2022-04-26 11:00:00,240.09,29
2022-04-26 12:00:00,407.96,45
2022-04-26 13:00:00,518.93,65
2022-04-26 14:00:00,301.1,45
2022-04-26 15:00:00,437.1,49
2022-04-26 16:00:00,536.88,54
2022-04-26 17:00:00,645.71,64
2022-04-26 18:00:00,799.99,83
2022-04-26 19:00:00,782.53,75
2022-04-26 20:00:00,766.87,66
2022-04-26 21:00:00,649.52,54
2022-04-26 22:00:00,449.13,42
2022-04-26 23:00:00,239.4,23
2022-04-27 0:00:00,229.54,21
2022-04-27 1:00:00,133.13,14
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,1
2022-04-27 10:00:00,87.88,13
2022-04-27 11:00:00,269.75,26
2022-04-27 12:00:00,458.66,55
2022-04-27 13:00:00,371.28,53
2022-04-27 14:00:00,334.26,42
2022-04-27 15:00:00,395.22,46
2022-04-27 16:00:00,571.87,56
2022-04-27 17:00:00,784.54,76
2022-04-27 18:00:00,761.47,55
2022-04-27 19:00:00,843.64,73
2022-04-27 20:00:00,812.13,76
2022-04-27 21:00:00,461.47,45
2022-04-27 22:00:00,377.51,35
2022-04-27 23:00:00,257.03,24
2022-04-28 0:00:00,262.3,20
2022-04-28 1:00:00,196.25,21
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,121.42,12
2022-04-28 11:00:00,265.08,31
2022-04-28 12:00:00,553.48,57
2022-04-28 13:00:00,447.52,56
2022-04-28 14:00:00,351.14,42
2022-04-28 15:00:00,480.08,51
2022-04-28 16:00:00,515.11,52
2022-04-28 17:00:00,1055.55,90
2022-04-28 18:00:00,1147.39,82
2022-04-28 19:00:00,1215.24,96
2022-04-28 20:00:00,749.8,66
2022-04-28 21:00:00,616.46,51
2022-04-28 22:00:00,584.85,52
2022-04-28 23:00:00,368.08,36
2022-04-29 0:00:00,216.26,21
2022-04-29 1:00:00,254.37,21
2022-04-29 2:00:00,1.64,2
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,155.68,17
2022-04-29 11:00:00,444.82,40
2022-04-29 12:00:00,631.1,62
2022-04-29 13:00:00,694.73,79
2022-04-29 14:00:00,584.95,59
2022-04-29 15:00:00,576.69,60
2022-04-29 16:00:00,708.3,82
2022-04-29 17:00:00,1251.63,100
2022-04-29 18:00:00,1451.15,106
2022-04-29 19:00:00,1551.53,113
2022-04-29 20:00:00,1349.65,102
2022-04-29 21:00:00,1285.49,94
2022-04-29 22:00:00,707.77,53
2022-04-29 23:00:00,399.63,36
2022-04-30 0:00:00,296.85,24
2022-04-30 1:00:00,246.89,24
2022-04-30 2:00:00,4.15,1
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,122.58,14
2022-04-30 11:00:00,252.94,27
2022-04-30 12:00:00,622.73,56
2022-04-30 13:00:00,902.25,83
2022-04-30 14:00:00,890.95,87
2022-04-30 15:00:00,749.05,70
2022-04-30 16:00:00,897.07,78
2022-04-30 17:00:00,1381.92,106
2022-04-30 18:00:00,1342.95,112
2022-04-30 19:00:00,1319.41,103
2022-04-30 20:00:00,905.2,72
2022-04-30 21:00:00,836.86,77
2022-04-30 22:00:00,540.86,43
2022-04-30 23:00:00,405.28,31
2022-05-01 0:00:00,284.08,25
2022-05-01 1:00:00,135.19,12
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,2
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,155.2,13
2022-05-01 11:00:00,354.94,35
2022-05-01 12:00:00,803.18,63
2022-05-01 13:00:00,611.14,60
2022-05-01 14:00:00,821.81,72
2022-05-01 15:00:00,817.89,67
