Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,86.55,14
2022-04-25 11:00:00,241.47,35
2022-04-25 12:00:00,348.97,49
2022-04-25 13:00:00,418.62,57
2022-04-25 14:00:00,221.8,31
2022-04-25 15:00:00,260.26,36
2022-04-25 16:00:00,527.68,53
2022-04-25 17:00:00,474.61,54
2022-04-25 18:00:00,674.45,58
2022-04-25 19:00:00,910.14,71
2022-04-25 20:00:00,906.31,74
2022-04-25 21:00:00,575.15,54
2022-04-25 22:00:00,161.17,24
2022-04-25 23:00:00,180.44,21
2022-04-26 0:00:00,121.26,16
2022-04-26 1:00:00,59.58,5
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,82.39,17
2022-04-26 11:00:00,247.94,34
2022-04-26 12:00:00,574.16,83
2022-04-26 13:00:00,444.03,68
2022-04-26 14:00:00,301.43,45
2022-04-26 15:00:00,331.25,49
2022-04-26 16:00:00,589.34,69
2022-04-26 17:00:00,658.78,69
2022-04-26 18:00:00,704.47,83
2022-04-26 19:00:00,1100.32,103
2022-04-26 20:00:00,1003.68,87
2022-04-26 21:00:00,478.17,56
2022-04-26 22:00:00,272.4,35
2022-04-26 23:00:00,197.82,21
2022-04-27 0:00:00,93.45,14
2022-04-27 1:00:00,39.56,4
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,60.63,5
2022-04-27 11:00:00,221.08,29
2022-04-27 12:00:00,558.11,73
2022-04-27 13:00:00,543.54,68
2022-04-27 14:00:00,202.6,27
2022-04-27 15:00:00,473.13,57
2022-04-27 16:00:00,590.36,66
2022-04-27 17:00:00,621.3,63
2022-04-27 18:00:00,808.69,76
2022-04-27 19:00:00,963.1,84
2022-04-27 20:00:00,1063.95,78
2022-04-27 21:00:00,301.66,41
2022-04-27 22:00:00,253.07,34
2022-04-27 23:00:00,145.63,16
2022-04-28 0:00:00,91.11,13
2022-04-28 1:00:00,62.63,10
2022-04-28 2:00:00,-5.81,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,97.55,17
2022-04-28 11:00:00,204.32,29
2022-04-28 12:00:00,479.42,72
2022-04-28 13:00:00,530.04,80
2022-04-28 14:00:00,290.85,41
2022-04-28 15:00:00,547.95,55
2022-04-28 16:00:00,534.18,68
2022-04-28 17:00:00,681.32,57
2022-04-28 18:00:00,903.28,79
2022-04-28 19:00:00,711.99,68
2022-04-28 20:00:00,1174.19,89
2022-04-28 21:00:00,404.04,43
2022-04-28 22:00:00,277.87,31
2022-04-28 23:00:00,317.97,31
2022-04-29 0:00:00,174.08,22
2022-04-29 1:00:00,48.5,6
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,92.33,11
2022-04-29 11:00:00,200.04,27
2022-04-29 12:00:00,605.51,76
2022-04-29 13:00:00,797.81,99
2022-04-29 14:00:00,462.11,64
2022-04-29 15:00:00,619.39,77
2022-04-29 16:00:00,627.78,57
2022-04-29 17:00:00,953.68,80
2022-04-29 18:00:00,1298.24,110
2022-04-29 19:00:00,1690.88,125
2022-04-29 20:00:00,1466.92,107
2022-04-29 21:00:00,898.69,80
2022-04-29 22:00:00,394.35,45
2022-04-29 23:00:00,350.93,38
2022-04-30 0:00:00,79.58,12
2022-04-30 1:00:00,50.63,6
2022-04-30 2:00:00,-4.87,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,138.36,14
2022-04-30 11:00:00,238.25,30
2022-04-30 12:00:00,403.47,42
2022-04-30 13:00:00,543.88,53
2022-04-30 14:00:00,538.29,71
2022-04-30 15:00:00,635.2,77
2022-04-30 16:00:00,613.53,68
2022-04-30 17:00:00,884.78,92
2022-04-30 18:00:00,903.79,79
2022-04-30 19:00:00,1438.48,121
2022-04-30 20:00:00,1642.26,115
2022-04-30 21:00:00,654.38,62
2022-04-30 22:00:00,451.83,56
2022-04-30 23:00:00,417.37,35
2022-05-01 0:00:00,78.62,10
2022-05-01 1:00:00,108.72,15
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,49.48,4
2022-05-01 11:00:00,198.2,24
2022-05-01 12:00:00,457.51,45
2022-05-01 13:00:00,533.84,52
2022-05-01 14:00:00,682.13,60
2022-05-01 15:00:00,520.68,61
