Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,92.04,15
2022-04-25 11:00:00,198.89,33
2022-04-25 12:00:00,359.42,52
2022-04-25 13:00:00,308.76,41
2022-04-25 14:00:00,265.93,40
2022-04-25 15:00:00,165.25,29
2022-04-25 16:00:00,379.69,55
2022-04-25 17:00:00,400.63,55
2022-04-25 18:00:00,381.9,33
2022-04-25 19:00:00,442.06,40
2022-04-25 20:00:00,327.24,34
2022-04-25 21:00:00,285.93,31
2022-04-25 22:00:00,140.69,15
2022-04-25 23:00:00,100.68,12
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,119.6,12
2022-04-26 11:00:00,230.21,30
2022-04-26 12:00:00,359.05,60
2022-04-26 13:00:00,472.72,76
2022-04-26 14:00:00,327.34,47
2022-04-26 15:00:00,335.06,49
2022-04-26 16:00:00,446.42,64
2022-04-26 17:00:00,331.19,42
2022-04-26 18:00:00,389.37,46
2022-04-26 19:00:00,522.48,52
2022-04-26 20:00:00,475.16,48
2022-04-26 21:00:00,325.34,43
2022-04-26 22:00:00,167.85,19
2022-04-26 23:00:00,225.77,19
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,80.75,11
2022-04-27 11:00:00,145.38,29
2022-04-27 12:00:00,371.94,62
2022-04-27 13:00:00,405.36,56
2022-04-27 14:00:00,412.32,55
2022-04-27 15:00:00,319.01,44
2022-04-27 16:00:00,399.12,50
2022-04-27 17:00:00,424.93,47
2022-04-27 18:00:00,556.6,57
2022-04-27 19:00:00,480.42,42
2022-04-27 20:00:00,601.44,54
2022-04-27 21:00:00,302.46,31
2022-04-27 22:00:00,213.59,23
2022-04-27 23:00:00,143.45,16
2022-04-28 0:00:00,32.75,5
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,106.93,20
2022-04-28 11:00:00,274.91,37
2022-04-28 12:00:00,394.22,53
2022-04-28 13:00:00,459.04,71
2022-04-28 14:00:00,407.04,53
2022-04-28 15:00:00,395.06,56
2022-04-28 16:00:00,452.83,59
2022-04-28 17:00:00,474.91,65
2022-04-28 18:00:00,499.29,65
2022-04-28 19:00:00,599.44,57
2022-04-28 20:00:00,523.95,42
2022-04-28 21:00:00,298.5,26
2022-04-28 22:00:00,493.02,47
2022-04-28 23:00:00,674.66,49
2022-04-29 0:00:00,-9.31,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,113.23,16
2022-04-29 11:00:00,301.02,37
2022-04-29 12:00:00,529.1,78
2022-04-29 13:00:00,521.88,72
2022-04-29 14:00:00,383.57,52
2022-04-29 15:00:00,442.9,48
2022-04-29 16:00:00,556.08,74
2022-04-29 17:00:00,528.96,66
2022-04-29 18:00:00,777.94,74
2022-04-29 19:00:00,904.69,74
2022-04-29 20:00:00,957.75,88
2022-04-29 21:00:00,466.35,48
2022-04-29 22:00:00,293.22,39
2022-04-29 23:00:00,258.73,23
2022-04-30 0:00:00,-10.88,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,170.63,17
2022-04-30 11:00:00,392.22,45
2022-04-30 12:00:00,518.99,61
2022-04-30 13:00:00,655.18,86
2022-04-30 14:00:00,750.62,82
2022-04-30 15:00:00,575.92,71
2022-04-30 16:00:00,567.45,81
2022-04-30 17:00:00,753.88,88
2022-04-30 18:00:00,619.22,66
2022-04-30 19:00:00,1096.44,82
2022-04-30 20:00:00,610.64,64
2022-04-30 21:00:00,337.79,37
2022-04-30 22:00:00,369.91,40
2022-04-30 23:00:00,539.31,53
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,19.16,5
2022-05-01 11:00:00,164.83,27
2022-05-01 12:00:00,288.85,35
2022-05-01 13:00:00,621.82,65
2022-05-01 14:00:00,674.67,64
2022-05-01 15:00:00,584.85,66
2022-05-01 16:00:00,512.44,62
