Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,9.13,2
2022-04-25 11:00:00,133.26,21
2022-04-25 12:00:00,351.09,51
2022-04-25 13:00:00,365.62,48
2022-04-25 14:00:00,159.1,23
2022-04-25 15:00:00,179.79,18
2022-04-25 16:00:00,156.86,17
2022-04-25 17:00:00,469.26,42
2022-04-25 18:00:00,719.94,61
2022-04-25 19:00:00,593.27,47
2022-04-25 20:00:00,409.28,36
2022-04-25 21:00:00,197.31,19
2022-04-25 22:00:00,109.04,8
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,6.14,3
2022-04-26 11:00:00,205.7,22
2022-04-26 12:00:00,365.75,47
2022-04-26 13:00:00,328.84,41
2022-04-26 14:00:00,212.13,26
2022-04-26 15:00:00,202.39,26
2022-04-26 16:00:00,285.3,33
2022-04-26 17:00:00,534.54,48
2022-04-26 18:00:00,685.88,56
2022-04-26 19:00:00,523.21,47
2022-04-26 20:00:00,491.19,48
2022-04-26 21:00:00,260.85,25
2022-04-26 22:00:00,93.45,9
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,31.73,6
2022-04-27 11:00:00,171.08,24
2022-04-27 12:00:00,391.39,42
2022-04-27 13:00:00,370.59,47
2022-04-27 14:00:00,194.84,24
2022-04-27 15:00:00,224.29,22
2022-04-27 16:00:00,438.04,43
2022-04-27 17:00:00,493.95,48
2022-04-27 18:00:00,737.32,66
2022-04-27 19:00:00,633.49,56
2022-04-27 20:00:00,371.27,34
2022-04-27 21:00:00,298.93,28
2022-04-27 22:00:00,127,14
2022-04-27 23:00:00,-11.8,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,32.66,5
2022-04-28 11:00:00,200.33,26
2022-04-28 12:00:00,436.07,59
2022-04-28 13:00:00,411.33,48
2022-04-28 14:00:00,212.28,31
2022-04-28 15:00:00,213.76,24
2022-04-28 16:00:00,212.44,19
2022-04-28 17:00:00,626.18,49
2022-04-28 18:00:00,925.85,70
2022-04-28 19:00:00,825.92,63
2022-04-28 20:00:00,536.31,51
2022-04-28 21:00:00,362.13,30
2022-04-28 22:00:00,98.72,12
2022-04-28 23:00:00,1.68,2
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,117.37,13
2022-04-29 11:00:00,245.64,25
2022-04-29 12:00:00,748.33,67
2022-04-29 13:00:00,625.34,75
2022-04-29 14:00:00,277.03,39
2022-04-29 15:00:00,236.58,29
2022-04-29 16:00:00,573.41,48
2022-04-29 17:00:00,764.91,64
2022-04-29 18:00:00,1097.69,86
2022-04-29 19:00:00,1221.69,79
2022-04-29 20:00:00,795.25,56
2022-04-29 21:00:00,480.58,38
2022-04-29 22:00:00,168.33,16
2022-04-29 23:00:00,-2.48,1
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,55.31,6
2022-04-30 11:00:00,226.93,21
2022-04-30 12:00:00,269.43,31
2022-04-30 13:00:00,516.7,45
2022-04-30 14:00:00,374.36,30
2022-04-30 15:00:00,318.85,28
2022-04-30 16:00:00,466.63,34
2022-04-30 17:00:00,689.16,57
2022-04-30 18:00:00,1008.21,79
2022-04-30 19:00:00,945.64,75
2022-04-30 20:00:00,729.91,57
2022-04-30 21:00:00,336.3,30
2022-04-30 22:00:00,85.65,10
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,9.38,2
2022-05-01 11:00:00,237.93,20
2022-05-01 12:00:00,382.49,31
2022-05-01 13:00:00,771.74,73
2022-05-01 14:00:00,357.72,39
2022-05-01 15:00:00,269.97,28
2022-05-01 16:00:00,433.74,43
2022-05-01 17:00:00,925.27,57
