Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,29.52,7
2022-04-25 11:00:00,156.31,19
2022-04-25 12:00:00,505.47,57
2022-04-25 13:00:00,419.05,56
2022-04-25 14:00:00,329.06,37
2022-04-25 15:00:00,200.74,25
2022-04-25 16:00:00,319.49,40
2022-04-25 17:00:00,368.54,40
2022-04-25 18:00:00,479.37,48
2022-04-25 19:00:00,501.91,47
2022-04-25 20:00:00,491.77,39
2022-04-25 21:00:00,284.6,32
2022-04-25 22:00:00,94.86,14
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,34.73,5
2022-04-26 11:00:00,209.93,28
2022-04-26 12:00:00,344.5,50
2022-04-26 13:00:00,574.65,73
2022-04-26 14:00:00,414.27,53
2022-04-26 15:00:00,350.37,37
2022-04-26 16:00:00,394.31,40
2022-04-26 17:00:00,531,50
2022-04-26 18:00:00,763.67,58
2022-04-26 19:00:00,754.37,70
2022-04-26 20:00:00,531.36,45
2022-04-26 21:00:00,175.56,17
2022-04-26 22:00:00,106.07,19
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,53.07,6
2022-04-27 11:00:00,155.28,25
2022-04-27 12:00:00,433.01,52
2022-04-27 13:00:00,441.28,62
2022-04-27 14:00:00,350.93,39
2022-04-27 15:00:00,413.96,40
2022-04-27 16:00:00,351.89,37
2022-04-27 17:00:00,553.57,57
2022-04-27 18:00:00,500.31,52
2022-04-27 19:00:00,682.94,66
2022-04-27 20:00:00,439.84,40
2022-04-27 21:00:00,417.89,40
2022-04-27 22:00:00,138.42,13
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,127.76,12
2022-04-28 11:00:00,160.26,22
2022-04-28 12:00:00,510.3,65
2022-04-28 13:00:00,416.47,49
2022-04-28 14:00:00,295.75,35
2022-04-28 15:00:00,381.39,45
2022-04-28 16:00:00,423.89,49
2022-04-28 17:00:00,507.71,54
2022-04-28 18:00:00,718.6,68
2022-04-28 19:00:00,619.74,61
2022-04-28 20:00:00,620.76,64
2022-04-28 21:00:00,308.67,31
2022-04-28 22:00:00,132.46,18
2022-04-28 23:00:00,6.78,1
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,6.64,1
2022-04-29 10:00:00,89.74,11
2022-04-29 11:00:00,317.81,31
2022-04-29 12:00:00,522.57,68
2022-04-29 13:00:00,618.53,71
2022-04-29 14:00:00,483.75,56
2022-04-29 15:00:00,499.75,47
2022-04-29 16:00:00,751.89,70
2022-04-29 17:00:00,639.1,59
2022-04-29 18:00:00,878.19,80
2022-04-29 19:00:00,894.67,72
2022-04-29 20:00:00,751.15,72
2022-04-29 21:00:00,416.05,50
2022-04-29 22:00:00,136.04,18
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,56.42,8
2022-04-30 11:00:00,299.44,34
2022-04-30 12:00:00,612.95,64
2022-04-30 13:00:00,749.41,76
2022-04-30 14:00:00,558.42,55
2022-04-30 15:00:00,578.6,60
2022-04-30 16:00:00,752.36,75
2022-04-30 17:00:00,780.07,67
2022-04-30 18:00:00,891.41,83
2022-04-30 19:00:00,774.02,59
2022-04-30 20:00:00,483.45,42
2022-04-30 21:00:00,392.18,28
2022-04-30 22:00:00,190.45,20
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,34.58,5
2022-05-01 11:00:00,295.44,28
2022-05-01 12:00:00,751.34,67
2022-05-01 13:00:00,674.71,58
2022-05-01 14:00:00,727.21,68
2022-05-01 15:00:00,552.32,50
2022-05-01 16:00:00,462.18,51
2022-05-01 17:00:00,700.55,50
