Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,44.3,8
2022-04-25 11:00:00,147.97,18
2022-04-25 12:00:00,554.73,52
2022-04-25 13:00:00,188.07,28
2022-04-25 14:00:00,194.71,20
2022-04-25 15:00:00,280.42,30
2022-04-25 16:00:00,510.89,48
2022-04-25 17:00:00,757.94,50
2022-04-25 18:00:00,738.22,55
2022-04-25 19:00:00,931.33,70
2022-04-25 20:00:00,550.05,46
2022-04-25 21:00:00,237.1,20
2022-04-25 22:00:00,160.2,14
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,52.42,7
2022-04-26 11:00:00,279.04,31
2022-04-26 12:00:00,321.09,36
2022-04-26 13:00:00,317.8,43
2022-04-26 14:00:00,210.21,34
2022-04-26 15:00:00,307.76,36
2022-04-26 16:00:00,544.11,49
2022-04-26 17:00:00,760.1,63
2022-04-26 18:00:00,968.03,70
2022-04-26 19:00:00,897.92,63
2022-04-26 20:00:00,416.23,40
2022-04-26 21:00:00,227.95,23
2022-04-26 22:00:00,104.64,17
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,1
2022-04-27 10:00:00,87.97,6
2022-04-27 11:00:00,268.52,25
2022-04-27 12:00:00,468.22,60
2022-04-27 13:00:00,277.54,39
2022-04-27 14:00:00,138.69,20
2022-04-27 15:00:00,231.52,33
2022-04-27 16:00:00,393.68,31
2022-04-27 17:00:00,889.31,69
2022-04-27 18:00:00,1151.77,83
2022-04-27 19:00:00,890.3,63
2022-04-27 20:00:00,518.71,42
2022-04-27 21:00:00,406.16,31
2022-04-27 22:00:00,159.61,14
2022-04-27 23:00:00,15.38,1
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,85.66,11
2022-04-28 11:00:00,175.98,20
2022-04-28 12:00:00,383.29,41
2022-04-28 13:00:00,481.79,51
2022-04-28 14:00:00,322.65,36
2022-04-28 15:00:00,180.84,22
2022-04-28 16:00:00,516.1,35
2022-04-28 17:00:00,968.15,69
2022-04-28 18:00:00,1352.2,95
2022-04-28 19:00:00,924.63,58
2022-04-28 20:00:00,458.2,40
2022-04-28 21:00:00,415.01,46
2022-04-28 22:00:00,189.88,17
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,86.64,9
2022-04-29 11:00:00,251.45,28
2022-04-29 12:00:00,779.85,76
2022-04-29 13:00:00,604.76,60
2022-04-29 14:00:00,373.71,42
2022-04-29 15:00:00,321.14,30
2022-04-29 16:00:00,795.12,63
2022-04-29 17:00:00,1112.97,87
2022-04-29 18:00:00,1455.98,97
2022-04-29 19:00:00,1424.01,99
2022-04-29 20:00:00,679.74,48
2022-04-29 21:00:00,503.99,47
2022-04-29 22:00:00,205.12,18
2022-04-29 23:00:00,70.96,11
2022-04-30 0:00:00,0,1
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,63.65,5
2022-04-30 11:00:00,347.57,30
2022-04-30 12:00:00,607.78,56
2022-04-30 13:00:00,723.59,73
2022-04-30 14:00:00,625.59,46
2022-04-30 15:00:00,497.11,44
2022-04-30 16:00:00,983.93,77
2022-04-30 17:00:00,1546.8,95
2022-04-30 18:00:00,1590.94,107
2022-04-30 19:00:00,1150.89,91
2022-04-30 20:00:00,714.49,60
2022-04-30 21:00:00,438.51,37
2022-04-30 22:00:00,277.3,28
2022-04-30 23:00:00,96.01,11
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,44.98,3
2022-05-01 11:00:00,316.31,24
2022-05-01 12:00:00,905.35,65
2022-05-01 13:00:00,795.02,58
2022-05-01 14:00:00,456.12,39
2022-05-01 15:00:00,557.64,42
2022-05-01 16:00:00,780.5,58
2022-05-01 17:00:00,1179.69,83
