Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,0
2022-04-25 11:00:00,43.63,7
2022-04-25 12:00:00,20.34,4
2022-04-25 13:00:00,105.03,16
2022-04-25 14:00:00,103.53,12
2022-04-25 15:00:00,98.81,14
2022-04-25 16:00:00,23.13,4
2022-04-25 17:00:00,161.02,13
2022-04-25 18:00:00,32.42,7
2022-04-25 19:00:00,483.84,41
2022-04-25 20:00:00,279,26
2022-04-25 21:00:00,131.6,17
2022-04-25 22:00:00,82.05,20
2022-04-25 23:00:00,0,1
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,5.98,1
2022-04-26 11:00:00,22.92,4
2022-04-26 12:00:00,63.72,9
2022-04-26 13:00:00,56.99,13
2022-04-26 14:00:00,31.27,7
2022-04-26 15:00:00,54.12,6
2022-04-26 16:00:00,185.87,21
2022-04-26 17:00:00,101.59,14
2022-04-26 18:00:00,167.22,18
2022-04-26 19:00:00,333,32
2022-04-26 20:00:00,242.47,24
2022-04-26 21:00:00,125.33,16
2022-04-26 22:00:00,75.91,11
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,35.27,7
2022-04-27 12:00:00,53.5,8
2022-04-27 13:00:00,45.06,7
2022-04-27 14:00:00,113.23,18
2022-04-27 15:00:00,40.52,10
2022-04-27 16:00:00,54.53,8
2022-04-27 17:00:00,157.13,11
2022-04-27 18:00:00,202.15,16
2022-04-27 19:00:00,373.11,30
2022-04-27 20:00:00,199.63,24
2022-04-27 21:00:00,172.22,14
2022-04-27 22:00:00,106.66,10
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,1.24,3
2022-04-28 12:00:00,96.01,11
2022-04-28 13:00:00,134.06,21
2022-04-28 14:00:00,47.06,11
2022-04-28 15:00:00,84.87,15
2022-04-28 16:00:00,37.61,9
2022-04-28 17:00:00,122.64,20
2022-04-28 18:00:00,246.26,26
2022-04-28 19:00:00,376.05,30
2022-04-28 20:00:00,280.09,32
2022-04-28 21:00:00,273.4,24
2022-04-28 22:00:00,135.51,12
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,0,0
2022-04-29 11:00:00,21.49,3
2022-04-29 12:00:00,113.45,17
2022-04-29 13:00:00,122.11,18
2022-04-29 14:00:00,86.18,12
2022-04-29 15:00:00,155.72,17
2022-04-29 16:00:00,152.4,13
2022-04-29 17:00:00,228.36,14
2022-04-29 18:00:00,374.31,35
2022-04-29 19:00:00,586.29,41
2022-04-29 20:00:00,513.88,43
2022-04-29 21:00:00,313.52,28
2022-04-29 22:00:00,179.01,16
2022-04-29 23:00:00,115.33,9
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,0,0
2022-04-30 11:00:00,75.88,9
2022-04-30 12:00:00,42.36,8
2022-04-30 13:00:00,110.31,15
2022-04-30 14:00:00,68.04,15
2022-04-30 15:00:00,97.72,17
2022-04-30 16:00:00,233.71,26
2022-04-30 17:00:00,181.12,27
2022-04-30 18:00:00,184.74,26
2022-04-30 19:00:00,309.35,31
2022-04-30 20:00:00,308.04,28
2022-04-30 21:00:00,275.51,24
2022-04-30 22:00:00,112.47,13
2022-04-30 23:00:00,92.78,13
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,67.69,8
2022-05-01 12:00:00,114.41,13
2022-05-01 13:00:00,100.59,12
2022-05-01 14:00:00,145.84,19
2022-05-01 15:00:00,172.55,22
2022-05-01 16:00:00,131.37,20
2022-05-01 17:00:00,205.53,25
2022-05-01 18:00:00,231.74,27
