Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,84.23,12
2022-04-25 11:00:00,172.4,23
2022-04-25 12:00:00,425.1,56
2022-04-25 13:00:00,484.69,69
2022-04-25 14:00:00,289.6,45
2022-04-25 15:00:00,525.86,55
2022-04-25 16:00:00,476.7,45
2022-04-25 17:00:00,465.96,44
2022-04-25 18:00:00,649.7,64
2022-04-25 19:00:00,1154.08,100
2022-04-25 20:00:00,1188.62,99
2022-04-25 21:00:00,411.03,54
2022-04-25 22:00:00,317.08,52
2022-04-25 23:00:00,345.26,41
2022-04-26 0:00:00,337.76,31
2022-04-26 1:00:00,167.91,16
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,98.23,18
2022-04-26 11:00:00,182.58,27
2022-04-26 12:00:00,439.15,59
2022-04-26 13:00:00,512.43,64
2022-04-26 14:00:00,569.74,67
2022-04-26 15:00:00,533.05,71
2022-04-26 16:00:00,530.08,77
2022-04-26 17:00:00,515.46,63
2022-04-26 18:00:00,889.97,86
2022-04-26 19:00:00,1638.43,153
2022-04-26 20:00:00,1397.19,126
2022-04-26 21:00:00,453.09,62
2022-04-26 22:00:00,439.53,60
2022-04-26 23:00:00,418.85,46
2022-04-27 0:00:00,239,28
2022-04-27 1:00:00,177.2,23
2022-04-27 2:00:00,0.3,2
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,1
2022-04-27 10:00:00,138.03,16
2022-04-27 11:00:00,287.28,40
2022-04-27 12:00:00,581.6,72
2022-04-27 13:00:00,531.52,74
2022-04-27 14:00:00,397.06,44
2022-04-27 15:00:00,298.88,39
2022-04-27 16:00:00,420.29,52
2022-04-27 17:00:00,611.37,72
2022-04-27 18:00:00,957.16,89
2022-04-27 19:00:00,1578.6,132
2022-04-27 20:00:00,1173.26,101
2022-04-27 21:00:00,540.24,55
2022-04-27 22:00:00,565.01,64
2022-04-27 23:00:00,372.55,42
2022-04-28 0:00:00,203.05,24
2022-04-28 1:00:00,244.11,22
2022-04-28 2:00:00,0.3,1
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,79.53,13
2022-04-28 11:00:00,284.24,36
2022-04-28 12:00:00,718.18,79
2022-04-28 13:00:00,364,53
2022-04-28 14:00:00,385.8,55
2022-04-28 15:00:00,427.06,59
2022-04-28 16:00:00,647.58,61
2022-04-28 17:00:00,794.9,72
2022-04-28 18:00:00,1138.99,88
2022-04-28 19:00:00,1624.03,131
2022-04-28 20:00:00,1478.08,111
2022-04-28 21:00:00,662.64,72
2022-04-28 22:00:00,487.31,58
2022-04-28 23:00:00,459.17,44
2022-04-29 0:00:00,395.63,42
2022-04-29 1:00:00,384.54,39
2022-04-29 2:00:00,0.3,1
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,227.03,22
2022-04-29 11:00:00,340.43,40
2022-04-29 12:00:00,598.24,66
2022-04-29 13:00:00,641.24,80
2022-04-29 14:00:00,399.42,45
2022-04-29 15:00:00,745.22,77
2022-04-29 16:00:00,821.67,84
2022-04-29 17:00:00,829.47,74
2022-04-29 18:00:00,1613.34,119
2022-04-29 19:00:00,1871.69,133
2022-04-29 20:00:00,1967.49,153
2022-04-29 21:00:00,1068.31,112
2022-04-29 22:00:00,606.34,63
2022-04-29 23:00:00,708.03,79
2022-04-30 0:00:00,471.82,51
2022-04-30 1:00:00,366.77,37
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,138.33,15
2022-04-30 11:00:00,383.52,37
2022-04-30 12:00:00,687.53,68
2022-04-30 13:00:00,725.83,84
2022-04-30 14:00:00,690.54,75
2022-04-30 15:00:00,686.45,70
2022-04-30 16:00:00,781.14,69
2022-04-30 17:00:00,1092.94,93
2022-04-30 18:00:00,1244.69,117
2022-04-30 19:00:00,1962.69,145
2022-04-30 20:00:00,2120.81,144
2022-04-30 21:00:00,865.51,85
2022-04-30 22:00:00,542.35,63
2022-04-30 23:00:00,536.33,66
2022-05-01 0:00:00,584.03,53
2022-05-01 1:00:00,445.37,42
2022-05-01 2:00:00,8.26,2
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,133.55,19
2022-05-01 11:00:00,294.93,30
2022-05-01 12:00:00,627.7,57
2022-05-01 13:00:00,960.5,81
2022-05-01 14:00:00,871.94,92
