Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,69.69,20
2022-04-25 11:00:00,144.91,32
2022-04-25 12:00:00,503.63,73
2022-04-25 13:00:00,366.27,61
2022-04-25 14:00:00,194.65,25
2022-04-25 15:00:00,275.44,34
2022-04-25 16:00:00,227.68,27
2022-04-25 17:00:00,314.08,35
2022-04-25 18:00:00,317.01,34
2022-04-25 19:00:00,456.15,45
2022-04-25 20:00:00,276.72,29
2022-04-25 21:00:00,212.78,20
2022-04-25 22:00:00,63.44,6
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,1
2022-04-26 10:00:00,60.67,10
2022-04-26 11:00:00,149.05,30
2022-04-26 12:00:00,437.3,70
2022-04-26 13:00:00,345.87,53
2022-04-26 14:00:00,154.88,23
2022-04-26 15:00:00,309.11,40
2022-04-26 16:00:00,294.73,35
2022-04-26 17:00:00,481.44,48
2022-04-26 18:00:00,570.91,58
2022-04-26 19:00:00,433.52,52
2022-04-26 20:00:00,259.49,32
2022-04-26 21:00:00,385.45,37
2022-04-26 22:00:00,70.19,9
2022-04-26 23:00:00,0,2
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,34.59,6
2022-04-27 11:00:00,188.91,29
2022-04-27 12:00:00,603.5,95
2022-04-27 13:00:00,578.22,75
2022-04-27 14:00:00,147.13,23
2022-04-27 15:00:00,228.69,36
2022-04-27 16:00:00,322.1,33
2022-04-27 17:00:00,407.29,47
2022-04-27 18:00:00,470.13,49
2022-04-27 19:00:00,522.78,48
2022-04-27 20:00:00,463.6,52
2022-04-27 21:00:00,244.52,27
2022-04-27 22:00:00,126.96,17
2022-04-27 23:00:00,0,1
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,2.15,1
2022-04-28 10:00:00,70.91,10
2022-04-28 11:00:00,230.03,29
2022-04-28 12:00:00,510.34,88
2022-04-28 13:00:00,520.59,69
2022-04-28 14:00:00,131.85,27
2022-04-28 15:00:00,221.34,29
2022-04-28 16:00:00,290.21,40
2022-04-28 17:00:00,311.97,35
2022-04-28 18:00:00,609.59,59
2022-04-28 19:00:00,506.94,43
2022-04-28 20:00:00,455.98,41
2022-04-28 21:00:00,407.21,40
2022-04-28 22:00:00,155.36,16
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,108.85,20
2022-04-29 11:00:00,355.08,49
2022-04-29 12:00:00,859.55,103
2022-04-29 13:00:00,566.2,72
2022-04-29 14:00:00,425.9,54
2022-04-29 15:00:00,330.9,45
2022-04-29 16:00:00,427.58,50
2022-04-29 17:00:00,673.68,56
2022-04-29 18:00:00,853.58,70
2022-04-29 19:00:00,552.29,50
2022-04-29 20:00:00,564.84,55
2022-04-29 21:00:00,374.02,29
2022-04-29 22:00:00,98.65,14
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,32.84,3
2022-04-30 11:00:00,124.79,16
2022-04-30 12:00:00,556.38,60
2022-04-30 13:00:00,623.62,59
2022-04-30 14:00:00,623.99,64
2022-04-30 15:00:00,490.64,48
2022-04-30 16:00:00,470.95,47
2022-04-30 17:00:00,805.47,64
2022-04-30 18:00:00,729.66,63
2022-04-30 19:00:00,587.03,45
2022-04-30 20:00:00,429.34,36
2022-04-30 21:00:00,263.41,30
2022-04-30 22:00:00,195.25,24
2022-04-30 23:00:00,-5.81,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,1
2022-05-01 10:00:00,44.82,7
2022-05-01 11:00:00,158.35,20
2022-05-01 12:00:00,544.79,62
2022-05-01 13:00:00,740.29,68
2022-05-01 14:00:00,579.24,61
2022-05-01 15:00:00,583.15,56
2022-05-01 16:00:00,540.52,64
2022-05-01 17:00:00,528.75,39
