Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,0
2022-04-25 11:00:00,154.79,19
2022-04-25 12:00:00,217.88,27
2022-04-25 13:00:00,210.41,32
2022-04-25 14:00:00,141.68,17
2022-04-25 15:00:00,152.4,25
2022-04-25 16:00:00,173.5,21
2022-04-25 17:00:00,260,30
2022-04-25 18:00:00,214.66,25
2022-04-25 19:00:00,212.1,21
2022-04-25 20:00:00,164.53,16
2022-04-25 21:00:00,126.66,11
2022-04-25 22:00:00,0,0
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,0
2022-04-26 11:00:00,161.02,21
2022-04-26 12:00:00,185.96,25
2022-04-26 13:00:00,291.66,42
2022-04-26 14:00:00,218.44,35
2022-04-26 15:00:00,173.33,24
2022-04-26 16:00:00,110.79,24
2022-04-26 17:00:00,318.78,27
2022-04-26 18:00:00,232.31,30
2022-04-26 19:00:00,165.3,20
2022-04-26 20:00:00,268.27,24
2022-04-26 21:00:00,77.61,9
2022-04-26 22:00:00,0,0
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,132.76,15
2022-04-27 12:00:00,163.92,24
2022-04-27 13:00:00,154.42,26
2022-04-27 14:00:00,100.49,11
2022-04-27 15:00:00,62.34,12
2022-04-27 16:00:00,169.42,24
2022-04-27 17:00:00,143.63,14
2022-04-27 18:00:00,190.87,19
2022-04-27 19:00:00,212.5,21
2022-04-27 20:00:00,143.8,16
2022-04-27 21:00:00,108.09,8
2022-04-27 22:00:00,16.66,1
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0.04,1
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,117.58,14
2022-04-28 12:00:00,385.86,38
2022-04-28 13:00:00,248.94,36
2022-04-28 14:00:00,100.79,20
2022-04-28 15:00:00,141.41,21
2022-04-28 16:00:00,193.1,16
2022-04-28 17:00:00,122.41,16
2022-04-28 18:00:00,276.75,21
2022-04-28 19:00:00,213.72,23
2022-04-28 20:00:00,265.45,20
2022-04-28 21:00:00,50.47,5
2022-04-28 22:00:00,0,1
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,0.04,2
2022-04-29 11:00:00,229.69,23
2022-04-29 12:00:00,291.56,37
2022-04-29 13:00:00,233.53,32
2022-04-29 14:00:00,221.11,43
2022-04-29 15:00:00,234.31,27
2022-04-29 16:00:00,157.78,21
2022-04-29 17:00:00,388.05,31
2022-04-29 18:00:00,386.61,33
2022-04-29 19:00:00,256.72,27
2022-04-29 20:00:00,395.37,37
2022-04-29 21:00:00,243.87,24
2022-04-29 22:00:00,0,0
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,0,0
2022-04-30 11:00:00,234.58,23
2022-04-30 12:00:00,397.52,41
2022-04-30 13:00:00,256.87,28
2022-04-30 14:00:00,313.14,39
2022-04-30 15:00:00,411.13,47
2022-04-30 16:00:00,319.54,36
2022-04-30 17:00:00,258.03,25
2022-04-30 18:00:00,374.27,37
2022-04-30 19:00:00,290.96,26
2022-04-30 20:00:00,350.51,27
2022-04-30 21:00:00,226.55,21
2022-04-30 22:00:00,13.71,1
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,16.64,1
2022-05-01 11:00:00,70.93,12
2022-05-01 12:00:00,325.89,23
2022-05-01 13:00:00,236.48,20
2022-05-01 14:00:00,435.2,29
2022-05-01 15:00:00,219.23,23
2022-05-01 16:00:00,208.98,25
2022-05-01 17:00:00,335.88,29
2022-05-01 18:00:00,234.89,41
