Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,63.05,11
2022-04-25 11:00:00,280.61,30
2022-04-25 12:00:00,360.84,45
2022-04-25 13:00:00,256.06,35
2022-04-25 14:00:00,164.32,27
2022-04-25 15:00:00,173.24,29
2022-04-25 16:00:00,190.71,24
2022-04-25 17:00:00,308.06,29
2022-04-25 18:00:00,359.46,36
2022-04-25 19:00:00,408.75,37
2022-04-25 20:00:00,345.49,32
2022-04-25 21:00:00,184.34,20
2022-04-25 22:00:00,94.56,10
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,110.74,17
2022-04-26 11:00:00,159.01,23
2022-04-26 12:00:00,361.51,43
2022-04-26 13:00:00,224.84,26
2022-04-26 14:00:00,157.36,22
2022-04-26 15:00:00,243.96,30
2022-04-26 16:00:00,210.62,28
2022-04-26 17:00:00,425.2,43
2022-04-26 18:00:00,413.02,40
2022-04-26 19:00:00,490,48
2022-04-26 20:00:00,359.48,34
2022-04-26 21:00:00,343.88,27
2022-04-26 22:00:00,65.64,8
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,90.64,11
2022-04-27 11:00:00,135.28,18
2022-04-27 12:00:00,322.3,51
2022-04-27 13:00:00,454.73,59
2022-04-27 14:00:00,146.37,16
2022-04-27 15:00:00,179.51,24
2022-04-27 16:00:00,254.53,34
2022-04-27 17:00:00,411.09,36
2022-04-27 18:00:00,549.26,48
2022-04-27 19:00:00,497.35,44
2022-04-27 20:00:00,288.9,29
2022-04-27 21:00:00,115.92,15
2022-04-27 22:00:00,80.02,11
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,87.9,10
2022-04-28 11:00:00,152.17,18
2022-04-28 12:00:00,249.81,37
2022-04-28 13:00:00,329.75,52
2022-04-28 14:00:00,176.28,26
2022-04-28 15:00:00,218.52,25
2022-04-28 16:00:00,232.96,32
2022-04-28 17:00:00,552.04,41
2022-04-28 18:00:00,590.85,42
2022-04-28 19:00:00,638.61,51
2022-04-28 20:00:00,463.88,38
2022-04-28 21:00:00,197.51,21
2022-04-28 22:00:00,80.3,9
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,93.33,11
2022-04-29 11:00:00,221.98,29
2022-04-29 12:00:00,446.45,52
2022-04-29 13:00:00,671.93,69
2022-04-29 14:00:00,244.81,29
2022-04-29 15:00:00,305.9,32
2022-04-29 16:00:00,393.16,43
2022-04-29 17:00:00,566.4,45
2022-04-29 18:00:00,713.79,66
2022-04-29 19:00:00,744.9,58
2022-04-29 20:00:00,571.4,45
2022-04-29 21:00:00,569.36,44
2022-04-29 22:00:00,157.6,17
2022-04-29 23:00:00,-12.46,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,1
2022-04-30 10:00:00,81.56,10
2022-04-30 11:00:00,224.54,28
2022-04-30 12:00:00,581.26,51
2022-04-30 13:00:00,506.94,47
2022-04-30 14:00:00,558.17,55
2022-04-30 15:00:00,341.14,33
2022-04-30 16:00:00,439.47,47
2022-04-30 17:00:00,395.39,40
2022-04-30 18:00:00,655.45,62
2022-04-30 19:00:00,745.33,62
2022-04-30 20:00:00,544.74,34
2022-04-30 21:00:00,283.4,26
2022-04-30 22:00:00,120.86,14
2022-04-30 23:00:00,-0.82,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,29.51,3
2022-05-01 11:00:00,149.47,14
2022-05-01 12:00:00,392.86,42
2022-05-01 13:00:00,543.99,49
2022-05-01 14:00:00,510.63,48
2022-05-01 15:00:00,444.76,45
2022-05-01 16:00:00,605.73,53
2022-05-01 17:00:00,453.29,41
