Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,30.16,9
2022-04-25 11:00:00,94.01,20
2022-04-25 12:00:00,401.88,51
2022-04-25 13:00:00,334.43,50
2022-04-25 14:00:00,340.26,49
2022-04-25 15:00:00,307.6,40
2022-04-25 16:00:00,327.08,44
2022-04-25 17:00:00,425.14,44
2022-04-25 18:00:00,337.47,37
2022-04-25 19:00:00,531.26,48
2022-04-25 20:00:00,468.79,42
2022-04-25 21:00:00,116.75,13
2022-04-25 22:00:00,81.99,11
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,41.04,3
2022-04-26 11:00:00,187.1,21
2022-04-26 12:00:00,250.86,34
2022-04-26 13:00:00,515.21,63
2022-04-26 14:00:00,263.47,38
2022-04-26 15:00:00,421.16,50
2022-04-26 16:00:00,342.3,41
2022-04-26 17:00:00,665.99,73
2022-04-26 18:00:00,449.24,49
2022-04-26 19:00:00,494.08,53
2022-04-26 20:00:00,877.73,81
2022-04-26 21:00:00,186.77,26
2022-04-26 22:00:00,31.91,4
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,47.79,7
2022-04-27 11:00:00,170.17,26
2022-04-27 12:00:00,353.69,56
2022-04-27 13:00:00,421.61,52
2022-04-27 14:00:00,162.56,25
2022-04-27 15:00:00,176.63,29
2022-04-27 16:00:00,390.24,45
2022-04-27 17:00:00,308.92,36
2022-04-27 18:00:00,418.34,44
2022-04-27 19:00:00,528.78,48
2022-04-27 20:00:00,449.21,37
2022-04-27 21:00:00,191.44,21
2022-04-27 22:00:00,86.88,11
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,114.64,12
2022-04-28 11:00:00,204.02,31
2022-04-28 12:00:00,450.49,59
2022-04-28 13:00:00,356.39,51
2022-04-28 14:00:00,280.14,41
2022-04-28 15:00:00,268.91,49
2022-04-28 16:00:00,341.26,48
2022-04-28 17:00:00,443.35,48
2022-04-28 18:00:00,467.11,46
2022-04-28 19:00:00,587.52,49
2022-04-28 20:00:00,648.11,56
2022-04-28 21:00:00,239.88,25
2022-04-28 22:00:00,19.28,8
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,162.79,22
2022-04-29 11:00:00,142.22,17
2022-04-29 12:00:00,354.45,54
2022-04-29 13:00:00,481.44,66
2022-04-29 14:00:00,290.86,39
2022-04-29 15:00:00,313.46,38
2022-04-29 16:00:00,442.3,54
2022-04-29 17:00:00,579.05,66
2022-04-29 18:00:00,507.14,47
2022-04-29 19:00:00,808.9,59
2022-04-29 20:00:00,982.82,73
2022-04-29 21:00:00,385.38,38
2022-04-29 22:00:00,159.12,11
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,53.07,6
2022-04-30 11:00:00,242.11,21
2022-04-30 12:00:00,486.12,60
2022-04-30 13:00:00,544.8,65
2022-04-30 14:00:00,510.65,57
2022-04-30 15:00:00,504.49,65
2022-04-30 16:00:00,580.03,54
2022-04-30 17:00:00,429.82,52
2022-04-30 18:00:00,557.92,45
2022-04-30 19:00:00,517.08,39
2022-04-30 20:00:00,660.72,54
2022-04-30 21:00:00,293.03,28
2022-04-30 22:00:00,104.92,11
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,25.74,3
2022-05-01 11:00:00,221,22
2022-05-01 12:00:00,478.43,51
2022-05-01 13:00:00,724.79,68
2022-05-01 14:00:00,629.96,64
2022-05-01 15:00:00,439.69,48
2022-05-01 16:00:00,282.89,38
2022-05-01 17:00:00,295.28,29
