Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,92.76,9
2022-04-25 11:00:00,270.06,30
2022-04-25 12:00:00,570.5,84
2022-04-25 13:00:00,481.36,63
2022-04-25 14:00:00,256.83,34
2022-04-25 15:00:00,301.87,39
2022-04-25 16:00:00,396.52,46
2022-04-25 17:00:00,395.25,32
2022-04-25 18:00:00,165.54,13
2022-04-25 19:00:00,0,0
2022-04-25 20:00:00,0,0
2022-04-25 21:00:00,0,0
2022-04-25 22:00:00,0,0
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,1
2022-04-26 10:00:00,104.46,15
2022-04-26 11:00:00,387.87,53
2022-04-26 12:00:00,584.32,85
2022-04-26 13:00:00,520.86,73
2022-04-26 14:00:00,353.2,53
2022-04-26 15:00:00,320.02,43
2022-04-26 16:00:00,270.54,38
2022-04-26 17:00:00,561.64,56
2022-04-26 18:00:00,77.01,10
2022-04-26 19:00:00,0,0
2022-04-26 20:00:00,0,0
2022-04-26 21:00:00,0,0
2022-04-26 22:00:00,0,0
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,80.24,13
2022-04-27 11:00:00,327.96,49
2022-04-27 12:00:00,589.2,88
2022-04-27 13:00:00,568.56,67
2022-04-27 14:00:00,476.73,51
2022-04-27 15:00:00,276.04,40
2022-04-27 16:00:00,464.42,51
2022-04-27 17:00:00,433.46,37
2022-04-27 18:00:00,79.73,5
2022-04-27 19:00:00,0,0
2022-04-27 20:00:00,0,0
2022-04-27 21:00:00,0,0
2022-04-27 22:00:00,0,0
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,111.3,24
2022-04-28 11:00:00,400.49,46
2022-04-28 12:00:00,669.69,89
2022-04-28 13:00:00,582.96,83
2022-04-28 14:00:00,471.78,64
2022-04-28 15:00:00,338.44,40
2022-04-28 16:00:00,336.18,41
2022-04-28 17:00:00,362.93,39
2022-04-28 18:00:00,156.53,12
2022-04-28 19:00:00,0,0
2022-04-28 20:00:00,0,0
2022-04-28 21:00:00,0,0
2022-04-28 22:00:00,0,0
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,147.73,18
2022-04-29 11:00:00,502.19,61
2022-04-29 12:00:00,764.07,96
2022-04-29 13:00:00,697.94,82
2022-04-29 14:00:00,399.4,52
2022-04-29 15:00:00,371.09,54
2022-04-29 16:00:00,484.25,56
2022-04-29 17:00:00,715.05,61
2022-04-29 18:00:00,339.25,22
2022-04-29 19:00:00,0,0
2022-04-29 20:00:00,0,0
2022-04-29 21:00:00,0,0
2022-04-29 22:00:00,0,0
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,183.79,26
2022-04-30 11:00:00,773.89,83
2022-04-30 12:00:00,1053,95
2022-04-30 13:00:00,1011.62,98
2022-04-30 14:00:00,664.24,67
2022-04-30 15:00:00,835.58,83
2022-04-30 16:00:00,631.06,68
2022-04-30 17:00:00,674.12,76
2022-04-30 18:00:00,325.01,21
2022-04-30 19:00:00,0,0
2022-04-30 20:00:00,0,0
2022-04-30 21:00:00,0,0
2022-04-30 22:00:00,0,0
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,150.75,16
2022-05-01 11:00:00,520.88,61
2022-05-01 12:00:00,1029.01,105
2022-05-01 13:00:00,1087.09,91
2022-05-01 14:00:00,723.67,67
2022-05-01 15:00:00,439.18,41
2022-05-01 16:00:00,452.23,39
2022-05-01 17:00:00,452.5,33
2022-05-01 18:00:00,261.99,17
2022-05-01 19:00:00,0,0
2022-05-01 20:00:00,0,0
