Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,79.51,10
2022-04-25 11:00:00,233.38,30
2022-04-25 12:00:00,493.08,59
2022-04-25 13:00:00,349.96,45
2022-04-25 14:00:00,295.07,39
2022-04-25 15:00:00,233.42,22
2022-04-25 16:00:00,276.47,38
2022-04-25 17:00:00,708.19,48
2022-04-25 18:00:00,1026.36,69
2022-04-25 19:00:00,585.55,48
2022-04-25 20:00:00,451.65,36
2022-04-25 21:00:00,319.4,22
2022-04-25 22:00:00,212.26,24
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,106.7,8
2022-04-26 11:00:00,138.06,18
2022-04-26 12:00:00,505.64,55
2022-04-26 13:00:00,343.61,49
2022-04-26 14:00:00,274.82,41
2022-04-26 15:00:00,320.57,33
2022-04-26 16:00:00,435.32,46
2022-04-26 17:00:00,1183.64,85
2022-04-26 18:00:00,1170.54,90
2022-04-26 19:00:00,1021.1,82
2022-04-26 20:00:00,564.87,52
2022-04-26 21:00:00,360.97,29
2022-04-26 22:00:00,132.53,18
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,47.78,6
2022-04-27 11:00:00,302.65,38
2022-04-27 12:00:00,467.04,56
2022-04-27 13:00:00,478.79,51
2022-04-27 14:00:00,377.11,38
2022-04-27 15:00:00,250.83,22
2022-04-27 16:00:00,496.99,41
2022-04-27 17:00:00,818.34,54
2022-04-27 18:00:00,747.69,59
2022-04-27 19:00:00,759.44,59
2022-04-27 20:00:00,644.94,53
2022-04-27 21:00:00,410.46,36
2022-04-27 22:00:00,106.04,9
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,1
2022-04-28 10:00:00,113.06,9
2022-04-28 11:00:00,246.13,34
2022-04-28 12:00:00,451.91,58
2022-04-28 13:00:00,355.48,43
2022-04-28 14:00:00,370.3,37
2022-04-28 15:00:00,446.54,44
2022-04-28 16:00:00,625.01,47
2022-04-28 17:00:00,976.62,67
2022-04-28 18:00:00,1255.81,89
2022-04-28 19:00:00,886.89,72
2022-04-28 20:00:00,806.6,72
2022-04-28 21:00:00,317.33,31
2022-04-28 22:00:00,204.07,20
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,127.61,14
2022-04-29 11:00:00,364.01,40
2022-04-29 12:00:00,786.65,69
2022-04-29 13:00:00,696.02,74
2022-04-29 14:00:00,286.16,32
2022-04-29 15:00:00,645.79,57
2022-04-29 16:00:00,740.6,61
2022-04-29 17:00:00,1408.3,100
2022-04-29 18:00:00,2119.97,144
2022-04-29 19:00:00,1631.42,100
2022-04-29 20:00:00,1025.52,81
2022-04-29 21:00:00,749.86,54
2022-04-29 22:00:00,302.41,30
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,128.38,18
2022-04-30 11:00:00,216.18,20
2022-04-30 12:00:00,719.78,63
2022-04-30 13:00:00,761.6,59
2022-04-30 14:00:00,757.08,61
2022-04-30 15:00:00,695.74,69
2022-04-30 16:00:00,621.66,57
2022-04-30 17:00:00,1213.11,80
2022-04-30 18:00:00,1571.97,108
2022-04-30 19:00:00,1386.2,84
2022-04-30 20:00:00,801.27,52
2022-04-30 21:00:00,603.47,49
2022-04-30 22:00:00,366.31,27
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,103.65,7
2022-05-01 11:00:00,404.66,36
2022-05-01 12:00:00,842.08,63
2022-05-01 13:00:00,942.23,74
2022-05-01 14:00:00,817.86,61
2022-05-01 15:00:00,956.83,71
2022-05-01 16:00:00,1192.88,88
2022-05-01 17:00:00,1251.5,87
