Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,75.83,10
2022-04-25 11:00:00,38.91,6
2022-04-25 12:00:00,288.26,36
2022-04-25 13:00:00,213.03,29
2022-04-25 14:00:00,209.95,22
2022-04-25 15:00:00,229.87,30
2022-04-25 16:00:00,194.65,28
2022-04-25 17:00:00,301.04,30
2022-04-25 18:00:00,430.17,120
2022-04-25 19:00:00,437.59,41
2022-04-25 20:00:00,322.66,29
2022-04-25 21:00:00,282.26,27
2022-04-25 22:00:00,104.21,9
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,48.69,6
2022-04-26 11:00:00,91.21,14
2022-04-26 12:00:00,242.38,35
2022-04-26 13:00:00,277.24,43
2022-04-26 14:00:00,216.27,36
2022-04-26 15:00:00,208.47,25
2022-04-26 16:00:00,243.77,18
2022-04-26 17:00:00,412.31,30
2022-04-26 18:00:00,452.69,52
2022-04-26 19:00:00,473.21,45
2022-04-26 20:00:00,510.73,47
2022-04-26 21:00:00,194.89,25
2022-04-26 22:00:00,175.31,16
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,134.45,17
2022-04-27 12:00:00,207.73,26
2022-04-27 13:00:00,306.33,38
2022-04-27 14:00:00,159.23,21
2022-04-27 15:00:00,111.66,16
2022-04-27 16:00:00,282.08,24
2022-04-27 17:00:00,376.16,33
2022-04-27 18:00:00,702.41,59
2022-04-27 19:00:00,573.64,50
2022-04-27 20:00:00,341.05,56
2022-04-27 21:00:00,285.66,28
2022-04-27 22:00:00,71.35,8
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,42.37,4
2022-04-28 11:00:00,164.8,22
2022-04-28 12:00:00,248.24,34
2022-04-28 13:00:00,250.47,33
2022-04-28 14:00:00,187.93,27
2022-04-28 15:00:00,238.88,28
2022-04-28 16:00:00,151.99,13
2022-04-28 17:00:00,405.83,81
2022-04-28 18:00:00,495.81,66
2022-04-28 19:00:00,505.92,51
2022-04-28 20:00:00,399.87,39
2022-04-28 21:00:00,222.89,19
2022-04-28 22:00:00,61.53,7
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,81,10
2022-04-29 11:00:00,258.3,22
2022-04-29 12:00:00,337.39,39
2022-04-29 13:00:00,289.75,36
2022-04-29 14:00:00,270.72,35
2022-04-29 15:00:00,292.37,32
2022-04-29 16:00:00,429.81,39
2022-04-29 17:00:00,538.48,50
2022-04-29 18:00:00,591.31,56
2022-04-29 19:00:00,787.49,67
2022-04-29 20:00:00,477.4,45
2022-04-29 21:00:00,496.36,44
2022-04-29 22:00:00,213.73,20
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,91.13,9
2022-04-30 11:00:00,113.9,21
2022-04-30 12:00:00,308.98,34
2022-04-30 13:00:00,584.87,57
2022-04-30 14:00:00,550.13,66
2022-04-30 15:00:00,375.89,34
2022-04-30 16:00:00,442.34,40
2022-04-30 17:00:00,418.68,36
2022-04-30 18:00:00,448.55,39
2022-04-30 19:00:00,585.01,49
2022-04-30 20:00:00,502.69,40
2022-04-30 21:00:00,341.27,28
2022-04-30 22:00:00,165.19,15
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,12.46,1
2022-05-01 11:00:00,182,18
2022-05-01 12:00:00,382.82,31
2022-05-01 13:00:00,546.98,48
2022-05-01 14:00:00,550.65,50
2022-05-01 15:00:00,380.99,32
2022-05-01 16:00:00,589.69,50
2022-05-01 17:00:00,326.55,34
2022-05-01 18:00:00,689.72,56
