Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,33.28,6
2022-04-25 11:00:00,128.74,17
2022-04-25 12:00:00,319.08,40
2022-04-25 13:00:00,172.71,27
2022-04-25 14:00:00,175.23,24
2022-04-25 15:00:00,155.58,18
2022-04-25 16:00:00,149.02,18
2022-04-25 17:00:00,273.06,31
2022-04-25 18:00:00,383.94,35
2022-04-25 19:00:00,285.95,29
2022-04-25 20:00:00,214.58,19
2022-04-25 21:00:00,195.01,25
2022-04-25 22:00:00,24.59,4
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,51.09,7
2022-04-26 11:00:00,168.22,21
2022-04-26 12:00:00,330.88,44
2022-04-26 13:00:00,269.85,39
2022-04-26 14:00:00,167.47,26
2022-04-26 15:00:00,216.88,24
2022-04-26 16:00:00,267.93,38
2022-04-26 17:00:00,382.19,46
2022-04-26 18:00:00,411.73,46
2022-04-26 19:00:00,342.72,36
2022-04-26 20:00:00,220.33,24
2022-04-26 21:00:00,191.45,18
2022-04-26 22:00:00,11.62,1
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,22.22,5
2022-04-27 11:00:00,162.06,26
2022-04-27 12:00:00,161.39,25
2022-04-27 13:00:00,238.35,36
2022-04-27 14:00:00,179.07,20
2022-04-27 15:00:00,311.47,33
2022-04-27 16:00:00,230.8,28
2022-04-27 17:00:00,363.83,39
2022-04-27 18:00:00,380.9,35
2022-04-27 19:00:00,433.04,38
2022-04-27 20:00:00,239.06,21
2022-04-27 21:00:00,161.85,20
2022-04-27 22:00:00,45.57,6
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,15.9,4
2022-04-28 11:00:00,57.92,9
2022-04-28 12:00:00,308.3,41
2022-04-28 13:00:00,316.78,44
2022-04-28 14:00:00,137.22,20
2022-04-28 15:00:00,150.97,26
2022-04-28 16:00:00,186.52,33
2022-04-28 17:00:00,450.5,48
2022-04-28 18:00:00,486.72,45
2022-04-28 19:00:00,566.24,44
2022-04-28 20:00:00,362.07,34
2022-04-28 21:00:00,113.64,16
2022-04-28 22:00:00,44.11,5
2022-04-28 23:00:00,9.8,2
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,37.84,9
2022-04-29 11:00:00,225.17,26
2022-04-29 12:00:00,428.68,51
2022-04-29 13:00:00,343.76,54
2022-04-29 14:00:00,242.68,37
2022-04-29 15:00:00,298.82,34
2022-04-29 16:00:00,292.27,33
2022-04-29 17:00:00,545.31,53
2022-04-29 18:00:00,534.68,50
2022-04-29 19:00:00,453.68,40
2022-04-29 20:00:00,272.52,26
2022-04-29 21:00:00,247.11,23
2022-04-29 22:00:00,72.38,8
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,18.62,3
2022-04-30 11:00:00,124.13,14
2022-04-30 12:00:00,334.95,35
2022-04-30 13:00:00,302.84,37
2022-04-30 14:00:00,316.98,40
2022-04-30 15:00:00,296.47,30
2022-04-30 16:00:00,277.56,28
2022-04-30 17:00:00,513.06,56
2022-04-30 18:00:00,478.58,41
2022-04-30 19:00:00,416.87,34
2022-04-30 20:00:00,295.2,27
2022-04-30 21:00:00,140.64,15
2022-04-30 22:00:00,15.05,3
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,32.33,5
2022-05-01 11:00:00,87.75,16
2022-05-01 12:00:00,378.18,41
2022-05-01 13:00:00,395.49,35
2022-05-01 14:00:00,363.82,34
2022-05-01 15:00:00,344.05,36
2022-05-01 16:00:00,271.96,33
2022-05-01 17:00:00,258.56,25
