Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,27.69,4
2022-04-25 11:00:00,70.77,12
2022-04-25 12:00:00,190.02,27
2022-04-25 13:00:00,193.12,29
2022-04-25 14:00:00,130.68,20
2022-04-25 15:00:00,110.58,16
2022-04-25 16:00:00,109.69,18
2022-04-25 17:00:00,293.57,32
2022-04-25 18:00:00,353.81,29
2022-04-25 19:00:00,305.99,29
2022-04-25 20:00:00,214.11,24
2022-04-25 21:00:00,127.84,18
2022-04-25 22:00:00,351.6,28
2022-04-25 23:00:00,137.38,16
2022-04-26 0:00:00,0,1
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,45.08,5
2022-04-26 11:00:00,71.89,13
2022-04-26 12:00:00,235.38,28
2022-04-26 13:00:00,211.28,33
2022-04-26 14:00:00,161.68,27
2022-04-26 15:00:00,150.58,22
2022-04-26 16:00:00,166.41,18
2022-04-26 17:00:00,284.81,31
2022-04-26 18:00:00,459.67,41
2022-04-26 19:00:00,387.58,34
2022-04-26 20:00:00,413.01,39
2022-04-26 21:00:00,235.52,24
2022-04-26 22:00:00,244.07,27
2022-04-26 23:00:00,265.88,28
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,5.8,2
2022-04-27 11:00:00,135.68,18
2022-04-27 12:00:00,182.25,28
2022-04-27 13:00:00,205.27,28
2022-04-27 14:00:00,103.01,17
2022-04-27 15:00:00,52.69,12
2022-04-27 16:00:00,157.8,26
2022-04-27 17:00:00,331.68,28
2022-04-27 18:00:00,262.29,24
2022-04-27 19:00:00,515.76,49
2022-04-27 20:00:00,320.71,28
2022-04-27 21:00:00,265.36,24
2022-04-27 22:00:00,199.08,28
2022-04-27 23:00:00,152.44,16
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,96.41,8
2022-04-28 11:00:00,101.62,12
2022-04-28 12:00:00,159.26,22
2022-04-28 13:00:00,261.03,31
2022-04-28 14:00:00,121.86,19
2022-04-28 15:00:00,201.99,27
2022-04-28 16:00:00,255.89,26
2022-04-28 17:00:00,277.45,23
2022-04-28 18:00:00,406.49,38
2022-04-28 19:00:00,466.82,44
2022-04-28 20:00:00,367.17,37
2022-04-28 21:00:00,293.69,24
2022-04-28 22:00:00,351.4,31
2022-04-28 23:00:00,126.56,14
2022-04-29 0:00:00,110.23,18
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,71.94,9
2022-04-29 11:00:00,109.98,15
2022-04-29 12:00:00,276.34,33
2022-04-29 13:00:00,224.79,28
2022-04-29 14:00:00,148.22,24
2022-04-29 15:00:00,265.04,30
2022-04-29 16:00:00,293.58,30
2022-04-29 17:00:00,505.86,40
2022-04-29 18:00:00,883.21,64
2022-04-29 19:00:00,643.13,57
2022-04-29 20:00:00,603.97,46
2022-04-29 21:00:00,356.36,32
2022-04-29 22:00:00,238.87,28
2022-04-29 23:00:00,321.36,26
2022-04-30 0:00:00,63.37,8
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,13.94,3
2022-04-30 11:00:00,144.04,15
2022-04-30 12:00:00,241.81,27
2022-04-30 13:00:00,451.48,40
2022-04-30 14:00:00,312.74,30
2022-04-30 15:00:00,257.09,26
2022-04-30 16:00:00,108.04,16
2022-04-30 17:00:00,409.55,32
2022-04-30 18:00:00,787.71,55
2022-04-30 19:00:00,690.25,52
2022-04-30 20:00:00,523.53,46
2022-04-30 21:00:00,253.09,29
2022-04-30 22:00:00,237.29,29
2022-04-30 23:00:00,468.16,51
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,74.49,6
2022-05-01 12:00:00,133.68,18
2022-05-01 13:00:00,282.13,28
2022-05-01 14:00:00,299.98,29
2022-05-01 15:00:00,260.63,28
2022-05-01 16:00:00,327.66,27
2022-05-01 17:00:00,463.71,38
