Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,78.66,11
2022-04-25 11:00:00,111.54,20
2022-04-25 12:00:00,380.75,49
2022-04-25 13:00:00,395.91,53
2022-04-25 14:00:00,267.27,33
2022-04-25 15:00:00,352.14,41
2022-04-25 16:00:00,209.19,26
2022-04-25 17:00:00,460.91,44
2022-04-25 18:00:00,582.15,54
2022-04-25 19:00:00,736.33,56
2022-04-25 20:00:00,274.19,27
2022-04-25 21:00:00,220.02,24
2022-04-25 22:00:00,97.03,14
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,19.83,4
2022-04-26 11:00:00,228.43,27
2022-04-26 12:00:00,469.42,61
2022-04-26 13:00:00,369.69,49
2022-04-26 14:00:00,290.89,40
2022-04-26 15:00:00,354.76,38
2022-04-26 16:00:00,341.89,40
2022-04-26 17:00:00,650.03,58
2022-04-26 18:00:00,754.66,69
2022-04-26 19:00:00,756.47,69
2022-04-26 20:00:00,639.32,54
2022-04-26 21:00:00,254.95,29
2022-04-26 22:00:00,98.93,13
2022-04-26 23:00:00,9.98,1
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,54.74,10
2022-04-27 11:00:00,175.74,22
2022-04-27 12:00:00,554.78,69
2022-04-27 13:00:00,508.66,60
2022-04-27 14:00:00,176.07,29
2022-04-27 15:00:00,228.77,33
2022-04-27 16:00:00,295.97,35
2022-04-27 17:00:00,702.9,63
2022-04-27 18:00:00,874.16,75
2022-04-27 19:00:00,632.42,55
2022-04-27 20:00:00,482.69,38
2022-04-27 21:00:00,199.49,26
2022-04-27 22:00:00,122.25,14
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,73.14,11
2022-04-28 11:00:00,267.42,30
2022-04-28 12:00:00,403.33,51
2022-04-28 13:00:00,563.27,65
2022-04-28 14:00:00,288.99,44
2022-04-28 15:00:00,288.68,32
2022-04-28 16:00:00,392.23,40
2022-04-28 17:00:00,517,47
2022-04-28 18:00:00,1118.35,85
2022-04-28 19:00:00,930.6,75
2022-04-28 20:00:00,423.64,36
2022-04-28 21:00:00,239.42,26
2022-04-28 22:00:00,121.61,15
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,126.36,13
2022-04-29 11:00:00,276.96,34
2022-04-29 12:00:00,615.72,74
2022-04-29 13:00:00,632.73,77
2022-04-29 14:00:00,270.12,37
2022-04-29 15:00:00,293.16,44
2022-04-29 16:00:00,444.38,47
2022-04-29 17:00:00,968.99,76
2022-04-29 18:00:00,1515.94,115
2022-04-29 19:00:00,1327.51,96
2022-04-29 20:00:00,629.21,51
2022-04-29 21:00:00,378.21,29
2022-04-29 22:00:00,239.05,19
2022-04-29 23:00:00,-4.57,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,1.66,1
2022-04-30 10:00:00,102.23,8
2022-04-30 11:00:00,382.53,39
2022-04-30 12:00:00,693.16,59
2022-04-30 13:00:00,725.83,73
2022-04-30 14:00:00,790.16,69
2022-04-30 15:00:00,621.9,66
2022-04-30 16:00:00,670.56,56
2022-04-30 17:00:00,882.62,76
2022-04-30 18:00:00,1242.8,98
2022-04-30 19:00:00,806.59,57
2022-04-30 20:00:00,861.8,71
2022-04-30 21:00:00,347.36,34
2022-04-30 22:00:00,263.88,21
2022-04-30 23:00:00,-36.74,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,12.05,1
2022-05-01 11:00:00,283.24,29
2022-05-01 12:00:00,642.66,60
2022-05-01 13:00:00,728.75,64
2022-05-01 14:00:00,788.57,74
2022-05-01 15:00:00,558.48,52
2022-05-01 16:00:00,507.22,47
2022-05-01 17:00:00,1061.52,68
