Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,74.58,12
2022-04-25 11:00:00,307.14,38
2022-04-25 12:00:00,435.61,59
2022-04-25 13:00:00,628.33,74
2022-04-25 14:00:00,399.33,46
2022-04-25 15:00:00,334.64,46
2022-04-25 16:00:00,567.6,58
2022-04-25 17:00:00,480.61,50
2022-04-25 18:00:00,727.51,64
2022-04-25 19:00:00,675.06,60
2022-04-25 20:00:00,377.66,45
2022-04-25 21:00:00,293.71,32
2022-04-25 22:00:00,78.24,10
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,56.79,7
2022-04-26 11:00:00,259.11,40
2022-04-26 12:00:00,559.44,78
2022-04-26 13:00:00,507.51,67
2022-04-26 14:00:00,367.25,50
2022-04-26 15:00:00,447.15,62
2022-04-26 16:00:00,453.62,56
2022-04-26 17:00:00,610.96,59
2022-04-26 18:00:00,919.53,87
2022-04-26 19:00:00,856.05,80
2022-04-26 20:00:00,529.95,54
2022-04-26 21:00:00,305.57,36
2022-04-26 22:00:00,222.26,23
2022-04-26 23:00:00,-1.66,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,36.91,6
2022-04-27 11:00:00,243.09,34
2022-04-27 12:00:00,630.64,75
2022-04-27 13:00:00,509.56,72
2022-04-27 14:00:00,353.45,45
2022-04-27 15:00:00,263.67,30
2022-04-27 16:00:00,421.58,37
2022-04-27 17:00:00,667.53,61
2022-04-27 18:00:00,748.03,69
2022-04-27 19:00:00,670.41,65
2022-04-27 20:00:00,677.03,56
2022-04-27 21:00:00,423.82,46
2022-04-27 22:00:00,177.96,16
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,106.55,16
2022-04-28 11:00:00,236.7,27
2022-04-28 12:00:00,600.94,84
2022-04-28 13:00:00,638.15,84
2022-04-28 14:00:00,317.31,47
2022-04-28 15:00:00,525.83,64
2022-04-28 16:00:00,704.56,59
2022-04-28 17:00:00,781.35,71
2022-04-28 18:00:00,1097.39,93
2022-04-28 19:00:00,877.42,76
2022-04-28 20:00:00,788.37,66
2022-04-28 21:00:00,500.45,48
2022-04-28 22:00:00,91.48,13
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,2.39,1
2022-04-29 10:00:00,77.39,12
2022-04-29 11:00:00,388.18,42
2022-04-29 12:00:00,816.25,95
2022-04-29 13:00:00,929.52,101
2022-04-29 14:00:00,556.31,64
2022-04-29 15:00:00,363.05,43
2022-04-29 16:00:00,638.31,63
2022-04-29 17:00:00,845.56,76
2022-04-29 18:00:00,1110.52,86
2022-04-29 19:00:00,991.72,72
2022-04-29 20:00:00,833.45,78
2022-04-29 21:00:00,668.1,62
2022-04-29 22:00:00,206.64,22
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,37.17,4
2022-04-30 11:00:00,383.88,38
2022-04-30 12:00:00,664.72,67
2022-04-30 13:00:00,969.34,83
2022-04-30 14:00:00,720.3,80
2022-04-30 15:00:00,690.65,72
2022-04-30 16:00:00,803.96,68
2022-04-30 17:00:00,874.24,71
2022-04-30 18:00:00,845.53,72
2022-04-30 19:00:00,872.81,69
2022-04-30 20:00:00,650.11,53
2022-04-30 21:00:00,479.97,52
2022-04-30 22:00:00,154.72,17
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,56.84,7
2022-05-01 11:00:00,404.08,45
2022-05-01 12:00:00,716.32,57
2022-05-01 13:00:00,759.01,66
2022-05-01 14:00:00,924.86,79
2022-05-01 15:00:00,865.63,77
2022-05-01 16:00:00,736.6,64
2022-05-01 17:00:00,584.4,52
