Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,37.22,7
2022-04-25 11:00:00,182,25
2022-04-25 12:00:00,410.83,53
2022-04-25 13:00:00,290.77,42
2022-04-25 14:00:00,245.55,27
2022-04-25 15:00:00,348.44,40
2022-04-25 16:00:00,387.14,48
2022-04-25 17:00:00,448.7,43
2022-04-25 18:00:00,812.98,76
2022-04-25 19:00:00,831.47,74
2022-04-25 20:00:00,671.58,63
2022-04-25 21:00:00,337.25,34
2022-04-25 22:00:00,100.32,9
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,1
2022-04-26 10:00:00,98.28,11
2022-04-26 11:00:00,201.34,31
2022-04-26 12:00:00,590.72,73
2022-04-26 13:00:00,319.97,46
2022-04-26 14:00:00,328.54,41
2022-04-26 15:00:00,266.77,35
2022-04-26 16:00:00,450.19,41
2022-04-26 17:00:00,582.41,61
2022-04-26 18:00:00,993.2,88
2022-04-26 19:00:00,686.28,62
2022-04-26 20:00:00,559.67,47
2022-04-26 21:00:00,440.77,45
2022-04-26 22:00:00,258.8,27
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,104.28,13
2022-04-27 11:00:00,171.22,28
2022-04-27 12:00:00,564.82,73
2022-04-27 13:00:00,331.7,47
2022-04-27 14:00:00,251.94,34
2022-04-27 15:00:00,256.5,28
2022-04-27 16:00:00,383.27,39
2022-04-27 17:00:00,750.71,66
2022-04-27 18:00:00,1043.2,93
2022-04-27 19:00:00,856.01,74
2022-04-27 20:00:00,450.61,37
2022-04-27 21:00:00,319.14,32
2022-04-27 22:00:00,127.84,16
2022-04-27 23:00:00,0.25,2
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,69.77,11
2022-04-28 11:00:00,216.16,27
2022-04-28 12:00:00,762.48,88
2022-04-28 13:00:00,343.22,51
2022-04-28 14:00:00,358.9,42
2022-04-28 15:00:00,388.78,47
2022-04-28 16:00:00,430.63,37
2022-04-28 17:00:00,787.76,65
2022-04-28 18:00:00,1274.8,105
2022-04-28 19:00:00,994.85,83
2022-04-28 20:00:00,861.98,77
2022-04-28 21:00:00,762.61,71
2022-04-28 22:00:00,183.19,23
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,91.01,10
2022-04-29 11:00:00,264.84,30
2022-04-29 12:00:00,741.15,84
2022-04-29 13:00:00,921.57,95
2022-04-29 14:00:00,456.66,50
2022-04-29 15:00:00,443.95,45
2022-04-29 16:00:00,582.97,61
2022-04-29 17:00:00,1351.4,106
2022-04-29 18:00:00,1832.02,144
2022-04-29 19:00:00,1625.2,122
2022-04-29 20:00:00,1025.73,91
2022-04-29 21:00:00,715.96,64
2022-04-29 22:00:00,240.42,25
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,90.38,8
2022-04-30 11:00:00,238.55,22
2022-04-30 12:00:00,722.31,70
2022-04-30 13:00:00,751.65,65
2022-04-30 14:00:00,711.8,64
2022-04-30 15:00:00,542.76,61
2022-04-30 16:00:00,534.14,49
2022-04-30 17:00:00,1505.72,107
2022-04-30 18:00:00,1369.02,104
2022-04-30 19:00:00,1361.82,107
2022-04-30 20:00:00,939.95,74
2022-04-30 21:00:00,469.11,41
2022-04-30 22:00:00,305.57,26
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,134.07,12
2022-05-01 11:00:00,288.58,26
2022-05-01 12:00:00,647.77,54
2022-05-01 13:00:00,947.45,83
2022-05-01 14:00:00,672.82,65
2022-05-01 15:00:00,848.47,67
2022-05-01 16:00:00,687.11,60
2022-05-01 17:00:00,1227.5,81
