Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,5.81,1
2022-04-25 10:00:00,32.56,9
2022-04-25 11:00:00,174.75,30
2022-04-25 12:00:00,273.97,41
2022-04-25 13:00:00,535.15,52
2022-04-25 14:00:00,392.86,47
2022-04-25 15:00:00,179.44,19
2022-04-25 16:00:00,387.43,39
2022-04-25 17:00:00,569.36,58
2022-04-25 18:00:00,714.28,64
2022-04-25 19:00:00,488.84,51
2022-04-25 20:00:00,359.24,35
2022-04-25 21:00:00,343.28,36
2022-04-25 22:00:00,301.05,28
2022-04-25 23:00:00,187.57,16
2022-04-26 0:00:00,0,2
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,62.62,10
2022-04-26 11:00:00,278.94,33
2022-04-26 12:00:00,538.78,71
2022-04-26 13:00:00,445.25,74
2022-04-26 14:00:00,469.94,71
2022-04-26 15:00:00,395.21,49
2022-04-26 16:00:00,599.11,64
2022-04-26 17:00:00,1082.73,100
2022-04-26 18:00:00,1126.19,98
2022-04-26 19:00:00,1283.33,106
2022-04-26 20:00:00,653.24,64
2022-04-26 21:00:00,581.44,63
2022-04-26 22:00:00,330.76,40
2022-04-26 23:00:00,234.35,27
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,110.82,13
2022-04-27 11:00:00,284.23,36
2022-04-27 12:00:00,671.64,83
2022-04-27 13:00:00,649.34,90
2022-04-27 14:00:00,419.56,56
2022-04-27 15:00:00,563.84,56
2022-04-27 16:00:00,703.29,75
2022-04-27 17:00:00,1181.01,99
2022-04-27 18:00:00,1266.99,111
2022-04-27 19:00:00,1080.56,95
2022-04-27 20:00:00,735.37,62
2022-04-27 21:00:00,415.22,42
2022-04-27 22:00:00,382.58,48
2022-04-27 23:00:00,69.22,11
2022-04-28 0:00:00,-11.81,5
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,129.43,19
2022-04-28 11:00:00,420.38,50
2022-04-28 12:00:00,621.92,90
2022-04-28 13:00:00,643.29,82
2022-04-28 14:00:00,491.38,65
2022-04-28 15:00:00,363.73,47
2022-04-28 16:00:00,716.71,66
2022-04-28 17:00:00,1362.44,109
2022-04-28 18:00:00,1240.01,95
2022-04-28 19:00:00,1257.05,105
2022-04-28 20:00:00,841.52,82
2022-04-28 21:00:00,650.46,66
2022-04-28 22:00:00,394.98,46
2022-04-28 23:00:00,281.6,25
2022-04-29 0:00:00,0.25,5
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,218.26,22
2022-04-29 11:00:00,478.29,64
2022-04-29 12:00:00,1077.63,103
2022-04-29 13:00:00,780.87,105
2022-04-29 14:00:00,457.89,58
2022-04-29 15:00:00,449.8,58
2022-04-29 16:00:00,1235.62,109
2022-04-29 17:00:00,1489.3,129
2022-04-29 18:00:00,1940.67,147
2022-04-29 19:00:00,1577.4,110
2022-04-29 20:00:00,1200.52,86
2022-04-29 21:00:00,925.37,81
2022-04-29 22:00:00,658.62,66
2022-04-29 23:00:00,321.23,32
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,24.91,4
2022-04-30 11:00:00,407.53,42
2022-04-30 12:00:00,1061.9,95
2022-04-30 13:00:00,1158.84,104
2022-04-30 14:00:00,924.69,91
2022-04-30 15:00:00,722.78,64
2022-04-30 16:00:00,916.11,85
2022-04-30 17:00:00,1520.66,116
2022-04-30 18:00:00,1832.42,122
2022-04-30 19:00:00,1399.46,109
2022-04-30 20:00:00,1227.62,92
2022-04-30 21:00:00,696.67,58
2022-04-30 22:00:00,485.84,48
2022-04-30 23:00:00,266.11,22
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,134.86,14
2022-05-01 11:00:00,516.14,45
2022-05-01 12:00:00,1173.13,89
2022-05-01 13:00:00,1087.81,83
2022-05-01 14:00:00,984.47,86
2022-05-01 15:00:00,731.45,73
