Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,3.56,1
2022-04-25 11:00:00,812.03,73
2022-04-25 12:00:00,2322.62,192
2022-04-25 13:00:00,1922.5,170
2022-04-25 14:00:00,1073.6,108
2022-04-25 15:00:00,486.99,58
2022-04-25 16:00:00,290.22,38
2022-04-25 17:00:00,-8.32,0
2022-04-25 18:00:00,0,0
2022-04-25 19:00:00,0,0
2022-04-25 20:00:00,0,0
2022-04-25 21:00:00,0,0
2022-04-25 22:00:00,0,0
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,0
2022-04-26 11:00:00,433.06,52
2022-04-26 12:00:00,1633.84,151
2022-04-26 13:00:00,1201.16,111
2022-04-26 14:00:00,697.21,74
2022-04-26 15:00:00,226.36,32
2022-04-26 16:00:00,125.33,27
2022-04-26 17:00:00,0,0
2022-04-26 18:00:00,0,0
2022-04-26 19:00:00,0,0
2022-04-26 20:00:00,0,0
2022-04-26 21:00:00,0,0
2022-04-26 22:00:00,0,0
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,1
2022-04-27 10:00:00,73.78,12
2022-04-27 11:00:00,382.13,40
2022-04-27 12:00:00,2103.07,170
2022-04-27 13:00:00,1061.17,103
2022-04-27 14:00:00,388.09,55
2022-04-27 15:00:00,281.14,38
2022-04-27 16:00:00,283.22,38
2022-04-27 17:00:00,0,0
2022-04-27 18:00:00,0,0
2022-04-27 19:00:00,0,0
2022-04-27 20:00:00,0,0
2022-04-27 21:00:00,0,0
2022-04-27 22:00:00,0,0
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,33.46,5
2022-04-28 11:00:00,565.98,64
2022-04-28 12:00:00,1986.79,180
2022-04-28 13:00:00,1146,110
2022-04-28 14:00:00,546.12,65
2022-04-28 15:00:00,161.88,20
2022-04-28 16:00:00,165.46,28
2022-04-28 17:00:00,0,0
2022-04-28 18:00:00,0,0
2022-04-28 19:00:00,0,0
2022-04-28 20:00:00,0,0
2022-04-28 21:00:00,0,0
2022-04-28 22:00:00,0,0
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,40.35,5
2022-04-29 11:00:00,794.8,84
2022-04-29 12:00:00,2745.43,215
2022-04-29 13:00:00,1775.14,167
2022-04-29 14:00:00,1187.43,112
2022-04-29 15:00:00,213.72,40
2022-04-29 16:00:00,226.73,40
2022-04-29 17:00:00,25.5,2
2022-04-29 18:00:00,0,0
2022-04-29 19:00:00,0,0
2022-04-29 20:00:00,0,0
2022-04-29 21:00:00,0,0
2022-04-29 22:00:00,0,0
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,1
2022-04-30 10:00:00,206.32,15
2022-04-30 11:00:00,1509.9,138
2022-04-30 12:00:00,3390.68,245
2022-04-30 13:00:00,2592.15,192
2022-04-30 14:00:00,2401.63,181
2022-04-30 15:00:00,1445.92,135
2022-04-30 16:00:00,721.01,75
2022-04-30 17:00:00,617.16,65
2022-04-30 18:00:00,124.61,14
2022-04-30 19:00:00,0,0
2022-04-30 20:00:00,0,0
2022-04-30 21:00:00,0,0
2022-04-30 22:00:00,0,0
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,60.58,8
2022-05-01 11:00:00,944.81,93
2022-05-01 12:00:00,2569.86,199
2022-05-01 13:00:00,2521.41,172
2022-05-01 14:00:00,1527.82,109
2022-05-01 15:00:00,670.04,67
2022-05-01 16:00:00,497.56,55
2022-05-01 17:00:00,281.53,37
2022-05-01 18:00:00,0,0
2022-05-01 19:00:00,0,0
2022-05-01 20:00:00,0,0
