Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,66.65,10
2022-04-25 11:00:00,170.19,25
2022-04-25 12:00:00,277.29,39
2022-04-25 13:00:00,301.94,47
2022-04-25 14:00:00,168.45,38
2022-04-25 15:00:00,204.28,34
2022-04-25 16:00:00,205.97,31
2022-04-25 17:00:00,131.2,19
2022-04-25 18:00:00,444.61,47
2022-04-25 19:00:00,386.54,44
2022-04-25 20:00:00,285.67,38
2022-04-25 21:00:00,194.64,25
2022-04-25 22:00:00,294.5,31
2022-04-25 23:00:00,297.22,31
2022-04-26 0:00:00,157.1,23
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,115.85,14
2022-04-26 11:00:00,226.58,39
2022-04-26 12:00:00,292.6,52
2022-04-26 13:00:00,275.38,47
2022-04-26 14:00:00,208.7,38
2022-04-26 15:00:00,262,47
2022-04-26 16:00:00,235.9,39
2022-04-26 17:00:00,263.87,41
2022-04-26 18:00:00,368.94,46
2022-04-26 19:00:00,452.43,47
2022-04-26 20:00:00,373.95,40
2022-04-26 21:00:00,236.56,34
2022-04-26 22:00:00,246.88,39
2022-04-26 23:00:00,322.75,37
2022-04-27 0:00:00,152.73,21
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,90.16,11
2022-04-27 11:00:00,136.67,25
2022-04-27 12:00:00,223.99,46
2022-04-27 13:00:00,356.08,59
2022-04-27 14:00:00,255.8,45
2022-04-27 15:00:00,289.22,45
2022-04-27 16:00:00,270.18,37
2022-04-27 17:00:00,340.3,44
2022-04-27 18:00:00,397.97,48
2022-04-27 19:00:00,329.78,39
2022-04-27 20:00:00,462.07,54
2022-04-27 21:00:00,343.87,39
2022-04-27 22:00:00,366.75,38
2022-04-27 23:00:00,445.3,51
2022-04-28 0:00:00,353.26,35
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,163.44,19
2022-04-28 11:00:00,161.18,22
2022-04-28 12:00:00,199.18,35
2022-04-28 13:00:00,253.91,45
2022-04-28 14:00:00,243.95,42
2022-04-28 15:00:00,201.66,29
2022-04-28 16:00:00,260.21,41
2022-04-28 17:00:00,368.73,46
2022-04-28 18:00:00,264.38,42
2022-04-28 19:00:00,293.55,42
2022-04-28 20:00:00,330.95,37
2022-04-28 21:00:00,350,43
2022-04-28 22:00:00,357.87,46
2022-04-28 23:00:00,603.06,75
2022-04-29 0:00:00,344.3,38
2022-04-29 1:00:00,132.34,12
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,1
2022-04-29 10:00:00,102.42,19
2022-04-29 11:00:00,135.92,26
2022-04-29 12:00:00,422.49,54
2022-04-29 13:00:00,369.14,55
2022-04-29 14:00:00,243.38,47
2022-04-29 15:00:00,242.79,36
2022-04-29 16:00:00,339.48,43
2022-04-29 17:00:00,492.52,58
2022-04-29 18:00:00,639.6,59
2022-04-29 19:00:00,571.81,62
2022-04-29 20:00:00,561.26,64
2022-04-29 21:00:00,362.18,40
2022-04-29 22:00:00,430.01,48
2022-04-29 23:00:00,662.15,59
2022-04-30 0:00:00,181.16,25
2022-04-30 1:00:00,178.9,26
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,125.07,14
2022-04-30 11:00:00,247.97,33
2022-04-30 12:00:00,466.7,45
2022-04-30 13:00:00,384.66,48
2022-04-30 14:00:00,405.14,55
2022-04-30 15:00:00,509.43,55
2022-04-30 16:00:00,426.65,43
2022-04-30 17:00:00,489.6,46
2022-04-30 18:00:00,399.57,45
2022-04-30 19:00:00,534.99,55
2022-04-30 20:00:00,415.65,47
2022-04-30 21:00:00,274.76,36
2022-04-30 22:00:00,320.68,41
2022-04-30 23:00:00,483.65,51
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,125.61,8
2022-05-01 11:00:00,262.7,29
2022-05-01 12:00:00,301.88,38
2022-05-01 13:00:00,467.23,51
2022-05-01 14:00:00,443.04,61
2022-05-01 15:00:00,269.35,43
2022-05-01 16:00:00,322.62,44
