Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,1
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,66.96,11
2022-04-25 11:00:00,182.32,33
2022-04-25 12:00:00,340.53,63
2022-04-25 13:00:00,268.71,47
2022-04-25 14:00:00,236.68,42
2022-04-25 15:00:00,409.23,64
2022-04-25 16:00:00,392.76,54
2022-04-25 17:00:00,323.67,44
2022-04-25 18:00:00,417.71,54
2022-04-25 19:00:00,603.43,67
2022-04-25 20:00:00,469.26,48
2022-04-25 21:00:00,291.66,37
2022-04-25 22:00:00,98.05,20
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,1
2022-04-26 10:00:00,75.85,15
2022-04-26 11:00:00,215.56,39
2022-04-26 12:00:00,557,84
2022-04-26 13:00:00,413.06,76
2022-04-26 14:00:00,370.17,65
2022-04-26 15:00:00,428.14,74
2022-04-26 16:00:00,623.44,89
2022-04-26 17:00:00,409.18,72
2022-04-26 18:00:00,606.73,83
2022-04-26 19:00:00,937.97,87
2022-04-26 20:00:00,532.07,60
2022-04-26 21:00:00,308.28,38
2022-04-26 22:00:00,122.49,20
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,60.75,9
2022-04-27 11:00:00,227.55,39
2022-04-27 12:00:00,250.97,45
2022-04-27 13:00:00,478.03,77
2022-04-27 14:00:00,401.54,60
2022-04-27 15:00:00,425.3,70
2022-04-27 16:00:00,562.08,81
2022-04-27 17:00:00,338.95,45
2022-04-27 18:00:00,477.73,56
2022-04-27 19:00:00,850.27,68
2022-04-27 20:00:00,662.82,68
2022-04-27 21:00:00,298.48,35
2022-04-27 22:00:00,108.33,19
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,1
2022-04-28 10:00:00,104.26,16
2022-04-28 11:00:00,288.47,39
2022-04-28 12:00:00,328.29,53
2022-04-28 13:00:00,590.77,85
2022-04-28 14:00:00,334.35,63
2022-04-28 15:00:00,373.63,60
2022-04-28 16:00:00,563.07,84
2022-04-28 17:00:00,450.72,59
2022-04-28 18:00:00,661.14,69
2022-04-28 19:00:00,692.28,74
2022-04-28 20:00:00,671.62,63
2022-04-28 21:00:00,353.43,35
2022-04-28 22:00:00,149.42,18
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,1
2022-04-29 10:00:00,115.94,20
2022-04-29 11:00:00,514.13,60
2022-04-29 12:00:00,343.89,63
2022-04-29 13:00:00,421.89,72
2022-04-29 14:00:00,379.84,62
2022-04-29 15:00:00,524.32,73
2022-04-29 16:00:00,657.24,95
2022-04-29 17:00:00,712.32,88
2022-04-29 18:00:00,862.13,94
2022-04-29 19:00:00,1168.86,93
2022-04-29 20:00:00,978.28,92
2022-04-29 21:00:00,354.5,40
2022-04-29 22:00:00,373.86,35
2022-04-29 23:00:00,197.35,26
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,123.14,16
2022-04-30 11:00:00,328.15,42
2022-04-30 12:00:00,471.76,61
2022-04-30 13:00:00,651.59,79
2022-04-30 14:00:00,754.98,86
2022-04-30 15:00:00,630.97,89
2022-04-30 16:00:00,751.34,95
2022-04-30 17:00:00,882.57,92
2022-04-30 18:00:00,916.57,102
2022-04-30 19:00:00,929.54,84
2022-04-30 20:00:00,1022.31,98
2022-04-30 21:00:00,714.33,73
2022-04-30 22:00:00,396.99,40
2022-04-30 23:00:00,112.44,13
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,64.28,8
2022-05-01 11:00:00,248.4,35
2022-05-01 12:00:00,572.52,61
2022-05-01 13:00:00,671.28,70
2022-05-01 14:00:00,668.41,82
2022-05-01 15:00:00,748.81,82
2022-05-01 16:00:00,603.75,62
2022-05-01 17:00:00,721.97,78
