clientId,historicals,companies,#results
aberdare,aberdare.csv,KFC - Aberdare,1
alperton,alperton.csv,KFC - Alperton,1
apex corner,apex corner.csv,KFC - Apex Corner,1
archway,archway.csv,KFC - Archway,1
ashby de-la-zouch,ashby de-la-zouch.csv,KFC - Ashby De-la-Zouch,1
aylesbury express,aylesbury express.csv,KFC - Aylesbury Express,1
aylesbury retail park,aylesbury retail park.csv,KFC - Aylesbury Retail Park,1
baker street,baker street.csv,KFC - Baker Street,1
barry,barry.csv,KFC - Barry,1
bath,bath.csv,KFC - Bath,1
beaconsfield,beaconsfield services.csv,KFC - Beaconsfield,1
beeston,beeston.csv,KFC - Beeston,1
blackwood,blackwood.csv,KFC - Blackwood,1
bridgend hernston,bridgend hernston.csv,KFC - Bridgend Hernston,1
bridgend mcarthurglen,bridgend mcarthurglen.csv,KFC - Bridgend McArthurGlen,1
bristol bradley stoke,bristol bradley stoke.csv,KFC - Bristol Bradley Stoke,1
bristol filton,bristol filton.csv,KFC - Bristol Filton,1
bristol fishponds,bristol fishponds.csv,KFC - Bristol Fishponds,1
bristol union street,bristol union street.csv,KFC - Bristol Union Street,1
burton,burton.csv,KFC - Burton,1
bury st edmunds,bury st edmunds.csv,KFC - Bury St Edmunds,1
caerphilly,caerphilly.csv,KFC - Caerphilly,1
camberwell,camberwell.csv,KFC - Camberwell,1
cardiff excelsior road,cardiff excelsior road.csv,KFC - Cardiff Excelsior Road,1
cardiff leckwith,cardiff leckwith road.csv,KFC - Cardiff Leckwith,1
cardiff newport road,cardiff newport road.csv,KFC - Cardiff Newport Road,1
cardiff queen street,cardiff queen street.csv,KFC - Cardiff Queen Street,1
cardiff st mary street,cardiff st mary street.csv,KFC - Cardiff St Mary Street,1
carmarthen,carmarthen.csv,KFC - Carmarthen,1
clapham,clapham.csv,KFC - Clapham,1
coalville,coalville.csv,KFC - Coalville,1
cobham,cobham.csv,KFC - Cobham,1
colindale,colindale.csv,KFC - Colindale|KFC - Colindale,2
corby,corby.csv,KFC - Corby,1
cricklewood,cricklewood.csv,KFC - Cricklewood,1
cross hands,cross hands.csv,KFC - Cross Hands,1
croydon addiscombe,croydon addiscombe.csv,KFC - Croydon Addiscombe,1
croydon london road,croydon london road.csv,KFC - Croydon London Road,1
cwmbran,cwmbran.csv,KFC - Cwmbran,1
derby services,derby services.csv,KFC - Derby Services,1
dunstable express,dunstable express.csv,KFC - Dunstable Express,1
dunstable white lion,dunstable white lion.csv,KFC - Dunstable White Lion,1
earls court,earls court.csv,KFC - Earls Court Road|KFC - Earls Court Road,2
ebbw vale,ebbw vale.csv,KFC - Ebbw Vale,1
edmonton,edmonton.csv,KFC - Edmonton,1
finsbury park,finsbury park.csv,KFC - Finsbury Park,1
frome,frome.csv,KFC - Frome,1
glastonbury,glastonbury.csv,KFC - Glastonbury,1
gloucester road,gloucester road.csv,KFC - Gloucester Road,1
greenford,greenford.csv,KFC - Greenford,1
harlesden,harlesden.csv,KFC - Harlesden,1
harlow express,harlow express.csv,KFC - Harlow Express,1
harlow retail park,harlow retail park.csv,KFC - Harlow Retail Park,1
harrow road,harrow road.csv,KFC - Harrow Road,1
harrow weald,harrow weald.csv,KFC - Harrow Weald,1
heathrow,heathrow.csv,KFC - Heathrow,1
hendon,hendon.csv,KFC - Hendon,1
hornchurch,hornchurch.csv,KFC - Hornchurch,1
Bury Road,ipswich bury road.csv,KFC - Ipswich - Bury Road,1
Cardinal park,ipswich cardinal park.csv,KFC - Ipswich - Cardinal Park,1
