historicals,companies,#results,search_terms
aberdare.csv,KFC - Aberdare,1,aberdare
alperton.csv,KFC - Alperton,1,alperton
apex corner.csv,KFC - Apex Corner,1,apex corner
archway.csv,KFC - Archway,1,archway
ashby de-la-zouch.csv,KFC - Ashby De-la-Zouch,1,ashby de-la-zouch
aylesbury express.csv,KFC - Aylesbury Express,1,aylesbury express
aylesbury retail park.csv,KFC - Aylesbury Retail Park,1,aylesbury retail park
baker street.csv,KFC - Baker Street,1,baker street
barry.csv,KFC - Barry,1,barry
bath.csv,KFC - Bath,1,bath
beaconsfield services.csv,KFC - Beaconsfield,0,beaconsfield
beeston.csv,KFC - Beeston,1,beeston
blackwood.csv,KFC - Blackwood,1,blackwood
bridgend hernston.csv,KFC - Bridgend Hernston,1,bridgend hernston
bridgend mcarthurglen.csv,KFC - Bridgend McArthurGlen,1,bridgend mcarthurglen
bristol bradley stoke.csv,KFC - Bristol Bradley Stoke,1,bristol bradley stoke
bristol filton.csv,KFC - Bristol Filton,1,bristol filton
bristol fishponds.csv,KFC - Bristol Fishponds,1,bristol fishponds
bristol union street.csv,KFC - Bristol Union Street,1,bristol union street
burton.csv,KFC - Burton,1,burton
bury st edmunds.csv,KFC - Bury St Edmunds,1,bury st edmunds
caerphilly.csv,KFC - Caerphilly,1,caerphilly
camberwell.csv,KFC - Camberwell,1,camberwell
cardiff excelsior road.csv,KFC - Cardiff Excelsior Road,1,cardiff excelsior road
cardiff leckwith road.csv,KFC - Cardiff Leckwith,0,leckwith
cardiff newport road.csv,KFC - Cardiff Newport Road,1,cardiff newport road
cardiff queen street.csv,KFC - Cardiff Queen Street,1,cardiff queen street
cardiff st mary street.csv,KFC - Cardiff St Mary Street,1,cardiff st mary street
carmarthen.csv,KFC - Carmarthen,1,carmarthen
clapham.csv,KFC - Clapham,1,clapham
coalville.csv,KFC - Coalville,1,coalville
cobham.csv,KFC - Cobham,1,cobham
colindale.csv,KFC - Colindale,1,colindale
corby.csv,KFC - Corby,1,corby
cricklewood.csv,KFC - Cricklewood,1,cricklewood
cross hands.csv,KFC - Cross Hands,1,cross hands
croydon addiscombe.csv,KFC - Croydon Addiscombe,1,croydon addiscombe
croydon london road.csv,KFC - Croydon London Road,1,croydon london road
cwmbran.csv,KFC - Cwmbran,1,cwmbran
derby services.csv,KFC - Derby Services,1,derby services
dunstable express.csv,KFC - Dunstable Express,1,dunstable express
dunstable white lion.csv,KFC - Dunstable White Lion,1,dunstable white lion
earls court.csv,KFC - Earls Court Road,1,earls court
ebbw vale.csv,KFC - Ebbw Vale,1,ebbw vale
edmonton.csv,KFC - Edmonton,1,edmonton
finsbury park.csv,KFC - Finsbury Park,1,finsbury park
frome.csv,KFC - Frome,1,frome
glastonbury.csv,KFC - Glastonbury,1,glastonbury
gloucester road.csv,KFC - Gloucester Road,1,gloucester road
greenford.csv,KFC - Greenford,1,greenford
harlesden.csv,KFC - Harlesden,1,harlesden
harlow express.csv,KFC - Harlow Express,1,harlow express
harlow retail park.csv,KFC - Harlow Retail Park,1,harlow retail park
harrow road.csv,KFC - Harrow Road,1,harrow road
harrow weald.csv,KFC - Harrow Weald,1,harrow weald
heathrow.csv,KFC - Heathrow,1,heathrow
hendon.csv,KFC - Hendon,1,hendon
hornchurch.csv,KFC - Hornchurch,1,hornchurch
ipswich bury road.csv,KFC - Earls Court Road|KFC - Gloucester Road|KFC - Harrow Road|KFC - Croydon London Road|KFC - Cardiff Excelsior Road|KFC - Cardiff Newport Road|KFC - Porth - Cymer Road|KFC - Peterborough London Road|KFC - Ipswich - Bury Road,0,
ipswich cardinal park.csv,KFC - Ipswich - Cardinal Park,0,cardinal
ipswich felixstowe.csv,KFC - Ipswich - Felixstowe,0,felixstowe
ipswich martlesham.csv,KFC - Ipswich - Martlesham,0,martlesham
kings lynn.csv,KFC - Kings Lynn,1,kings lynn
leicester braunstone.csv,KFC - Leicester Braunstone,1,leicester braunstone
leicester fosse park.csv,KFC - Fosse Park,0,fosse
leicester hamilton.csv,KFC - Leicester Hamilton,1,leicester hamilton
leicester high street.csv,KFC - Leicester High Street,1,leicester high street
leicester last straw.csv,KFC - Leicester Last Straw,1,leicester last straw
leicester services.csv,KFC - Leicester Services,1,leicester services
leighton buzzard.csv,KFC - Leighton Buzzard,1,leighton buzzard
llanelli.csv,KFC - Llanelli,1,llanelli
long eaton.csv,KFC - Long Eaton,1,long eaton
loughborough.csv,KFC - Loughborough,1,loughborough
loughton.csv,KFC - Loughton,1,loughton
lowestoft.csv,KFC - Lowestoft,1,lowestoft
luton express.csv,KFC - Luton Express,1,luton express
luton hatters way.csv,KFC - Luton Hatters Way,1,luton hatters way
luton mall.csv,KFC - Luton Mall,1,luton mall
luton wigmore.csv,KFC - Luton Wigmore,1,luton wigmore
melton mowbray.csv,KFC - Melton Mowbray,1,melton mowbray
merthyr tydfil.csv,KFC - Merthyr Tydfil,1,merthyr tydfil
nantgarw.csv,KFC - Nantgarw,1,nantgarw
newport friars walk.csv,KFC - Newport Friars Walk,1,newport friars walk
newport pullman.csv,KFC - Newport Pullman,1,newport pullman
newport west.csv,KFC - Newport West,1,newport west
norwich chapelfield.csv,KFC - Norwich - Chapelfield,0,chapelfield
norwich longwater.csv,KFC - Norwich - Longwater,0,longwater
norwich mile cross.csv,KFC - Norwich - Mile Cross,0,mile
norwich sprowston.csv,KFC - Norwich - Sprowston,0,sprowston
peterborough ashbourne road.csv,KFC - Peterborough Ashbourne,0,ashbourne
peterborough london road.csv,KFC - Peterborough London Road,1,peterborough london road
peterborough paston parkway.csv,KFC - Peterborough Paston Parkway,1,peterborough paston parkway
pontypool.csv,KFC - Pontypool,1,pontypool
port talbot.csv,KFC - Port Talbot,1,port talbot
porth cymer road.csv,KFC - Porth - Cymer Road,0,porth
redhill.csv,KFC - Redhill,1,redhill
risca.csv,KFC - Newport Risca,1,risca
ruislip.csv,KFC - Ruislip,1,ruislip
stevenage leisure.csv,KFC - Stevenage Leisure,1,stevenage leisure
