,historicals,companies,#results,clientid,status
0,aberdare.csv,KFC - Aberdare,1,aberdare,"Jan 13, 2021	Grant Read	Aberdare.csv	Uploaded successfully"
1,alperton.csv,KFC - Alperton,1,alperton,"Jan 13, 2021	Grant Read	Alperton.csv	Uploaded successfully"
2,apex corner.csv,KFC - Apex Corner,1,apex corner,"Jan 13, 2021	Grant Read	Apex Corner.csv	Uploaded successfully"
3,archway.csv,KFC - Archway,1,archway,"Jan 13, 2021	Grant Read	Archway.csv	Uploaded successfully"
4,ashby de-la-zouch.csv,KFC - Ashby De-la-Zouch,1,ashby de-la-zouch,"Jan 13, 2021	Grant Read	Ashby De-La-Zouch.csv	Uploaded successfully"
5,aylesbury express.csv,KFC - Aylesbury Express,1,aylesbury express,"Jan 13, 2021	Grant Read	Aylesbury Express.csv	Uploaded successfully"
6,aylesbury retail park.csv,KFC - Aylesbury Retail Park,1,aylesbury retail park,"Jan 13, 2021	Grant Read	Aylesbury Retail Park.csv	Uploaded successfully"
7,baker street.csv,KFC - Baker Street,1,baker street,"Jan 13, 2021	Grant Read	Baker Street.csv	Uploaded successfully"
8,barry.csv,KFC - Barry,1,barry,"Jan 13, 2021	Grant Read	Barry.csv	Uploaded successfully"
9,bath.csv,KFC - Bath,1,bath,"Jan 13, 2021	Grant Read	Bath.csv	Uploaded successfully"
10,beaconsfield services.csv,KFC - Beaconsfield,0,beaconsfield,"Jan 13, 2021	Grant Read	Beaconsfield.csv	Uploaded successfully"
11,beeston.csv,KFC - Beeston,1,beeston,"Jan 13, 2021	Grant Read	Beeston.csv	Uploaded successfully"
12,blackwood.csv,KFC - Blackwood,1,blackwood,"Jan 13, 2021	Grant Read	Blackwood.csv	Uploaded successfully"
13,bridgend hernston.csv,KFC - Bridgend Hernston,1,bridgend hernston,"Jan 13, 2021	Grant Read	Bridgend Hernston.csv	Uploaded successfully"
14,bridgend mcarthurglen.csv,KFC - Bridgend McArthurGlen,1,bridgend mcarthurglen,"Jan 13, 2021	Grant Read	Bridgend McArthurGlen.csv	Uploaded successfully"
15,bristol bradley stoke.csv,KFC - Bristol Bradley Stoke,1,bristol bradley stoke,"Jan 13, 2021	Grant Read	Bristol Bradley Stoke.csv	Uploaded successfully"
16,bristol filton.csv,KFC - Bristol Filton,1,bristol filton,"Jan 13, 2021	Grant Read	Bristol Filton.csv	Uploaded successfully"
17,bristol fishponds.csv,KFC - Bristol Fishponds,1,bristol fishponds,"Jan 13, 2021	Grant Read	Bristol Fishponds.csv	Uploaded successfully"
