Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,85.13,13
2022-04-25 11:00:00,181.95,27
2022-04-25 12:00:00,328.4,52
2022-04-25 13:00:00,353.63,56
2022-04-25 14:00:00,329.65,56
2022-04-25 15:00:00,353.05,50
2022-04-25 16:00:00,329.45,42
2022-04-25 17:00:00,441.69,54
2022-04-25 18:00:00,361.91,40
2022-04-25 19:00:00,856.97,76
2022-04-25 20:00:00,640.22,72
2022-04-25 21:00:00,432.78,45
2022-04-25 22:00:00,225.72,32
2022-04-25 23:00:00,133.06,22
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,1
2022-04-26 10:00:00,67.92,13
2022-04-26 11:00:00,219.43,34
2022-04-26 12:00:00,500.71,66
2022-04-26 13:00:00,385.84,60
2022-04-26 14:00:00,458.84,67
2022-04-26 15:00:00,361.48,50
2022-04-26 16:00:00,454.28,59
2022-04-26 17:00:00,408.19,50
2022-04-26 18:00:00,532.76,66
2022-04-26 19:00:00,1057.14,92
2022-04-26 20:00:00,1195.6,93
2022-04-26 21:00:00,526.45,61
2022-04-26 22:00:00,252.69,37
2022-04-26 23:00:00,209.01,25
2022-04-27 0:00:00,2.91,1
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,74.73,15
2022-04-27 11:00:00,316.2,37
2022-04-27 12:00:00,470.68,64
2022-04-27 13:00:00,425.22,66
2022-04-27 14:00:00,424.69,74
2022-04-27 15:00:00,407.51,61
2022-04-27 16:00:00,338.91,50
2022-04-27 17:00:00,253.08,32
2022-04-27 18:00:00,560.87,56
2022-04-27 19:00:00,757.53,68
2022-04-27 20:00:00,907.63,78
2022-04-27 21:00:00,329.14,48
2022-04-27 22:00:00,335.58,37
2022-04-27 23:00:00,129.89,17
2022-04-28 0:00:00,8.89,7
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,100.12,11
2022-04-28 11:00:00,133.88,18
2022-04-28 12:00:00,339.05,54
2022-04-28 13:00:00,359.12,54
2022-04-28 14:00:00,350.13,56
2022-04-28 15:00:00,400.08,54
2022-04-28 16:00:00,415.64,54
2022-04-28 17:00:00,351.59,49
2022-04-28 18:00:00,429.86,47
2022-04-28 19:00:00,950.01,70
2022-04-28 20:00:00,1125.54,100
2022-04-28 21:00:00,439.1,53
2022-04-28 22:00:00,352.13,45
2022-04-28 23:00:00,176.39,20
2022-04-29 0:00:00,70.16,9
2022-04-29 1:00:00,8.09,2
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,159.94,18
2022-04-29 11:00:00,289.01,32
2022-04-29 12:00:00,570.34,66
2022-04-29 13:00:00,607.27,72
2022-04-29 14:00:00,311.78,46
2022-04-29 15:00:00,522.98,67
2022-04-29 16:00:00,333.01,48
2022-04-29 17:00:00,402.17,53
2022-04-29 18:00:00,754.13,68
2022-04-29 19:00:00,1477.33,117
2022-04-29 20:00:00,1246.55,91
2022-04-29 21:00:00,554.61,55
2022-04-29 22:00:00,304.37,32
2022-04-29 23:00:00,310.02,31
2022-04-30 0:00:00,81.36,9
2022-04-30 1:00:00,-0.14,3
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,78.79,11
2022-04-30 11:00:00,168.49,23
2022-04-30 12:00:00,491.66,47
2022-04-30 13:00:00,593.09,66
2022-04-30 14:00:00,570.58,68
2022-04-30 15:00:00,726.35,77
2022-04-30 16:00:00,638.77,67
2022-04-30 17:00:00,529.03,60
2022-04-30 18:00:00,559.2,67
2022-04-30 19:00:00,1294.78,101
2022-04-30 20:00:00,1341.09,105
2022-04-30 21:00:00,669.44,76
2022-04-30 22:00:00,548.78,61
2022-04-30 23:00:00,261.81,34
2022-05-01 0:00:00,13.15,3
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,105.94,11
2022-05-01 11:00:00,221.8,22
2022-05-01 12:00:00,400,40
2022-05-01 13:00:00,458.45,51
2022-05-01 14:00:00,645.94,68
2022-05-01 15:00:00,388.96,51
2022-05-01 16:00:00,496.95,65
