Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,57.56,10
2022-04-25 11:00:00,184.21,20
2022-04-25 12:00:00,302.76,48
2022-04-25 13:00:00,234.53,44
2022-04-25 14:00:00,171.18,30
2022-04-25 15:00:00,345.38,59
2022-04-25 16:00:00,261.52,30
2022-04-25 17:00:00,215.37,29
2022-04-25 18:00:00,216.45,23
2022-04-25 19:00:00,331.47,41
2022-04-25 20:00:00,324.95,37
2022-04-25 21:00:00,167.17,23
2022-04-25 22:00:00,136.6,17
2022-04-25 23:00:00,159.63,16
2022-04-26 0:00:00,18.18,4
2022-04-26 1:00:00,0.3,1
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,54.58,6
2022-04-26 11:00:00,73.68,16
2022-04-26 12:00:00,263.85,40
2022-04-26 13:00:00,445.36,57
2022-04-26 14:00:00,230.87,37
2022-04-26 15:00:00,160.06,24
2022-04-26 16:00:00,219.25,30
2022-04-26 17:00:00,209.19,31
2022-04-26 18:00:00,444.05,50
2022-04-26 19:00:00,387.23,53
2022-04-26 20:00:00,344.2,35
2022-04-26 21:00:00,332.63,43
2022-04-26 22:00:00,200.23,23
2022-04-26 23:00:00,190.92,25
2022-04-27 0:00:00,64.41,11
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,59.04,8
2022-04-27 11:00:00,128.35,20
2022-04-27 12:00:00,421.17,48
2022-04-27 13:00:00,277.66,48
2022-04-27 14:00:00,206.58,35
2022-04-27 15:00:00,227.31,31
2022-04-27 16:00:00,149.81,23
2022-04-27 17:00:00,301.07,34
2022-04-27 18:00:00,435.58,54
2022-04-27 19:00:00,458.94,44
2022-04-27 20:00:00,327.83,36
2022-04-27 21:00:00,246.27,27
2022-04-27 22:00:00,135.88,17
2022-04-27 23:00:00,96.81,12
2022-04-28 0:00:00,63.19,7
2022-04-28 1:00:00,-20.79,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,107.63,15
2022-04-28 11:00:00,212.03,31
2022-04-28 12:00:00,434.47,58
2022-04-28 13:00:00,325.79,50
2022-04-28 14:00:00,339.6,50
2022-04-28 15:00:00,275.41,41
2022-04-28 16:00:00,264.37,31
2022-04-28 17:00:00,219.07,27
2022-04-28 18:00:00,458.37,47
2022-04-28 19:00:00,339.25,47
2022-04-28 20:00:00,522.77,47
2022-04-28 21:00:00,266.49,33
2022-04-28 22:00:00,180.28,25
2022-04-28 23:00:00,209.15,28
2022-04-29 0:00:00,85.39,15
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,94.89,10
2022-04-29 11:00:00,175.15,25
2022-04-29 12:00:00,438.53,53
2022-04-29 13:00:00,375.35,61
2022-04-29 14:00:00,247.07,42
2022-04-29 15:00:00,241.62,40
2022-04-29 16:00:00,346.89,41
2022-04-29 17:00:00,280.05,36
2022-04-29 18:00:00,613.93,58
2022-04-29 19:00:00,533.01,53
2022-04-29 20:00:00,564.61,55
2022-04-29 21:00:00,389.56,38
2022-04-29 22:00:00,362.25,36
2022-04-29 23:00:00,88.87,14
2022-04-30 0:00:00,179.59,20
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,62.88,10
2022-04-30 11:00:00,168.11,16
2022-04-30 12:00:00,287.47,36
2022-04-30 13:00:00,471.88,60
2022-04-30 14:00:00,402.01,45
2022-04-30 15:00:00,337.41,46
2022-04-30 16:00:00,317.43,36
2022-04-30 17:00:00,331.19,33
2022-04-30 18:00:00,582.11,50
2022-04-30 19:00:00,391.3,42
2022-04-30 20:00:00,432.18,46
2022-04-30 21:00:00,355.29,39
2022-04-30 22:00:00,244.77,32
2022-04-30 23:00:00,136.17,17
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,75.22,10
2022-05-01 11:00:00,184.3,15
2022-05-01 12:00:00,269.5,28
2022-05-01 13:00:00,470.81,49
2022-05-01 14:00:00,511.9,50
2022-05-01 15:00:00,245.25,32
2022-05-01 16:00:00,298.99,38
