Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,23.96,7
2022-04-25 11:00:00,143.24,20
2022-04-25 12:00:00,262.75,39
2022-04-25 13:00:00,229.97,37
2022-04-25 14:00:00,169.14,28
2022-04-25 15:00:00,292.02,37
2022-04-25 16:00:00,143.05,28
2022-04-25 17:00:00,195.32,21
2022-04-25 18:00:00,251.42,29
2022-04-25 19:00:00,312.92,34
2022-04-25 20:00:00,244.32,32
2022-04-25 21:00:00,213.48,28
2022-04-25 22:00:00,230.51,26
2022-04-25 23:00:00,293.4,32
2022-04-26 0:00:00,153.61,22
2022-04-26 1:00:00,95.5,11
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,27,6
2022-04-26 11:00:00,172.07,23
2022-04-26 12:00:00,181.34,35
2022-04-26 13:00:00,273.35,44
2022-04-26 14:00:00,159.28,24
2022-04-26 15:00:00,178.01,24
2022-04-26 16:00:00,170.19,23
2022-04-26 17:00:00,339.66,43
2022-04-26 18:00:00,286.94,35
2022-04-26 19:00:00,272.09,38
2022-04-26 20:00:00,232.51,34
2022-04-26 21:00:00,194.43,28
2022-04-26 22:00:00,256.7,29
2022-04-26 23:00:00,334.77,38
2022-04-27 0:00:00,197.12,25
2022-04-27 1:00:00,26.91,6
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,10.38,2
2022-04-27 11:00:00,95.51,11
2022-04-27 12:00:00,223.41,32
2022-04-27 13:00:00,299.92,37
2022-04-27 14:00:00,293.22,35
2022-04-27 15:00:00,206.68,35
2022-04-27 16:00:00,172.11,32
2022-04-27 17:00:00,140.62,21
2022-04-27 18:00:00,268.17,34
2022-04-27 19:00:00,314.9,36
2022-04-27 20:00:00,292.38,38
2022-04-27 21:00:00,342.79,39
2022-04-27 22:00:00,377.25,36
2022-04-27 23:00:00,498.33,57
2022-04-28 0:00:00,417.79,39
2022-04-28 1:00:00,197.17,25
2022-04-28 2:00:00,11.23,1
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,44.49,6
2022-04-28 11:00:00,168.45,27
2022-04-28 12:00:00,219.18,40
2022-04-28 13:00:00,226.74,39
2022-04-28 14:00:00,223.77,29
2022-04-28 15:00:00,168.02,30
2022-04-28 16:00:00,193.06,41
2022-04-28 17:00:00,163.57,30
2022-04-28 18:00:00,404.54,47
2022-04-28 19:00:00,247.8,26
2022-04-28 20:00:00,320.98,37
2022-04-28 21:00:00,281.11,38
2022-04-28 22:00:00,344.64,39
2022-04-28 23:00:00,594.59,55
2022-04-29 0:00:00,439.72,41
2022-04-29 1:00:00,161.12,25
2022-04-29 2:00:00,-2.66,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,64.82,9
2022-04-29 11:00:00,182.28,26
2022-04-29 12:00:00,373.13,42
2022-04-29 13:00:00,264.44,36
2022-04-29 14:00:00,220.78,34
2022-04-29 15:00:00,207.21,33
2022-04-29 16:00:00,275.65,42
2022-04-29 17:00:00,212.92,34
2022-04-29 18:00:00,338.11,39
2022-04-29 19:00:00,510.53,49
2022-04-29 20:00:00,362.63,38
2022-04-29 21:00:00,362.01,36
2022-04-29 22:00:00,370.9,36
2022-04-29 23:00:00,457.08,47
2022-04-30 0:00:00,128.59,23
2022-04-30 1:00:00,54.76,16
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,27.66,6
2022-04-30 11:00:00,89.72,13
2022-04-30 12:00:00,302.56,28
2022-04-30 13:00:00,137.29,18
2022-04-30 14:00:00,196.64,26
2022-04-30 15:00:00,266.71,32
2022-04-30 16:00:00,239.39,21
2022-04-30 17:00:00,239.77,29
2022-04-30 18:00:00,328.26,35
2022-04-30 19:00:00,440.15,39
2022-04-30 20:00:00,548.26,49
2022-04-30 21:00:00,373.1,36
2022-04-30 22:00:00,297.05,35
2022-04-30 23:00:00,395.57,44
2022-05-01 0:00:00,7.91,1
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,7.3,2
2022-05-01 11:00:00,145.98,15
2022-05-01 12:00:00,196.92,23
2022-05-01 13:00:00,351.18,38
2022-05-01 14:00:00,256.8,25
2022-05-01 15:00:00,315.95,36
