Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,20.19,4
2022-04-25 11:00:00,95.8,10
2022-04-25 12:00:00,311.9,35
2022-04-25 13:00:00,190.85,23
2022-04-25 14:00:00,153.58,20
2022-04-25 15:00:00,258.65,26
2022-04-25 16:00:00,259.65,24
2022-04-25 17:00:00,407.37,46
2022-04-25 18:00:00,424.83,38
2022-04-25 19:00:00,434.7,34
2022-04-25 20:00:00,257.8,28
2022-04-25 21:00:00,199.33,24
2022-04-25 22:00:00,78.1,10
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,12.22,3
2022-04-26 11:00:00,122.76,15
2022-04-26 12:00:00,300.92,36
2022-04-26 13:00:00,253.12,33
2022-04-26 14:00:00,152.16,21
2022-04-26 15:00:00,221.55,22
2022-04-26 16:00:00,267.76,30
2022-04-26 17:00:00,516.21,46
2022-04-26 18:00:00,631.9,54
2022-04-26 19:00:00,594.8,59
2022-04-26 20:00:00,366.54,34
2022-04-26 21:00:00,240.32,23
2022-04-26 22:00:00,55.56,7
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,29.12,5
2022-04-27 11:00:00,138.89,14
2022-04-27 12:00:00,422.63,48
2022-04-27 13:00:00,250.22,32
2022-04-27 14:00:00,135.43,19
2022-04-27 15:00:00,195.19,27
2022-04-27 16:00:00,356.56,34
2022-04-27 17:00:00,349.36,30
2022-04-27 18:00:00,563.17,51
2022-04-27 19:00:00,679.68,59
2022-04-27 20:00:00,295.93,36
2022-04-27 21:00:00,193.02,21
2022-04-27 22:00:00,100.14,11
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,32.57,5
2022-04-28 11:00:00,230.11,23
2022-04-28 12:00:00,397.64,47
2022-04-28 13:00:00,322.47,42
2022-04-28 14:00:00,170.56,22
2022-04-28 15:00:00,199.48,21
2022-04-28 16:00:00,313.58,28
2022-04-28 17:00:00,538.5,45
2022-04-28 18:00:00,671.98,62
2022-04-28 19:00:00,676.43,60
2022-04-28 20:00:00,447.59,39
2022-04-28 21:00:00,192.89,20
2022-04-28 22:00:00,25.57,4
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,91.59,12
2022-04-29 11:00:00,122.45,15
2022-04-29 12:00:00,614.89,49
2022-04-29 13:00:00,470.12,46
2022-04-29 14:00:00,200.9,23
2022-04-29 15:00:00,364.08,30
2022-04-29 16:00:00,556.27,48
2022-04-29 17:00:00,682.16,61
2022-04-29 18:00:00,1062.63,80
2022-04-29 19:00:00,927.79,77
2022-04-29 20:00:00,796.69,58
2022-04-29 21:00:00,431.14,38
2022-04-29 22:00:00,133.85,15
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,34.5,4
2022-04-30 11:00:00,339.4,28
2022-04-30 12:00:00,560.73,41
2022-04-30 13:00:00,404.37,42
2022-04-30 14:00:00,361.94,36
2022-04-30 15:00:00,471.94,39
2022-04-30 16:00:00,469.92,45
2022-04-30 17:00:00,695.64,60
2022-04-30 18:00:00,950.43,68
2022-04-30 19:00:00,732.4,46
2022-04-30 20:00:00,438.48,39
2022-04-30 21:00:00,290.28,25
2022-04-30 22:00:00,81.27,8
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,19.32,2
2022-05-01 11:00:00,233.43,22
2022-05-01 12:00:00,485.82,43
2022-05-01 13:00:00,562.45,58
2022-05-01 14:00:00,509.75,39
2022-05-01 15:00:00,532.75,42
2022-05-01 16:00:00,374.34,39
2022-05-01 17:00:00,478.03,41
