Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,0
2022-04-25 11:00:00,97.64,13
2022-04-25 12:00:00,86.41,13
2022-04-25 13:00:00,74,14
2022-04-25 14:00:00,97.59,16
2022-04-25 15:00:00,74.73,13
2022-04-25 16:00:00,158.58,13
2022-04-25 17:00:00,128.68,15
2022-04-25 18:00:00,172.01,15
2022-04-25 19:00:00,314.93,23
2022-04-25 20:00:00,124.38,11
2022-04-25 21:00:00,111.41,15
2022-04-25 22:00:00,63.07,8
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,0
2022-04-26 11:00:00,70.96,8
2022-04-26 12:00:00,183.98,21
2022-04-26 13:00:00,51.68,11
2022-04-26 14:00:00,91.94,12
2022-04-26 15:00:00,58.23,12
2022-04-26 16:00:00,108.63,8
2022-04-26 17:00:00,306.38,25
2022-04-26 18:00:00,242.57,16
2022-04-26 19:00:00,237.67,22
2022-04-26 20:00:00,168.59,14
2022-04-26 21:00:00,25.35,5
2022-04-26 22:00:00,55.97,7
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,0
2022-04-27 11:00:00,67.15,9
2022-04-27 12:00:00,123.75,15
2022-04-27 13:00:00,63.48,9
2022-04-27 14:00:00,67.99,11
2022-04-27 15:00:00,41.32,11
2022-04-27 16:00:00,105.04,10
2022-04-27 17:00:00,175.58,19
2022-04-27 18:00:00,257.47,21
2022-04-27 19:00:00,188.48,16
2022-04-27 20:00:00,148.16,16
2022-04-27 21:00:00,123.31,12
2022-04-27 22:00:00,60.79,6
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,0,0
2022-04-28 11:00:00,79.75,9
2022-04-28 12:00:00,81.74,10
2022-04-28 13:00:00,68.69,15
2022-04-28 14:00:00,172.98,18
2022-04-28 15:00:00,122.31,16
2022-04-28 16:00:00,147.95,14
2022-04-28 17:00:00,262.14,19
2022-04-28 18:00:00,219.73,19
2022-04-28 19:00:00,222.87,17
2022-04-28 20:00:00,174.26,14
2022-04-28 21:00:00,143.99,10
2022-04-28 22:00:00,90.2,14
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,0,0
2022-04-29 11:00:00,54.39,6
2022-04-29 12:00:00,264.23,26
2022-04-29 13:00:00,182.27,26
2022-04-29 14:00:00,140.11,15
2022-04-29 15:00:00,66.94,10
2022-04-29 16:00:00,182.04,25
2022-04-29 17:00:00,361.43,30
2022-04-29 18:00:00,489,39
2022-04-29 19:00:00,709.83,53
2022-04-29 20:00:00,488.83,34
2022-04-29 21:00:00,255.98,21
2022-04-29 22:00:00,121.91,15
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,0,0
2022-04-30 11:00:00,82.48,12
2022-04-30 12:00:00,197.68,17
2022-04-30 13:00:00,196.93,17
2022-04-30 14:00:00,137.42,13
2022-04-30 15:00:00,75.41,12
2022-04-30 16:00:00,211.76,18
2022-04-30 17:00:00,432.38,31
2022-04-30 18:00:00,380.06,27
2022-04-30 19:00:00,198.65,22
2022-04-30 20:00:00,197.28,17
2022-04-30 21:00:00,129.91,14
2022-04-30 22:00:00,94.03,9
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,97.68,12
2022-05-01 12:00:00,163.48,12
2022-05-01 13:00:00,151.62,17
2022-05-01 14:00:00,90.67,11
2022-05-01 15:00:00,162.56,15
2022-05-01 16:00:00,322.48,23
2022-05-01 17:00:00,258.76,19
2022-05-01 18:00:00,279.96,20
