Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,178.83,19
2022-04-25 11:00:00,203.1,24
2022-04-25 12:00:00,444.1,59
2022-04-25 13:00:00,270.53,39
2022-04-25 14:00:00,296.28,38
2022-04-25 15:00:00,287.53,28
2022-04-25 16:00:00,366.74,35
2022-04-25 17:00:00,528.9,47
2022-04-25 18:00:00,683.5,62
2022-04-25 19:00:00,681.15,61
2022-04-25 20:00:00,350.68,33
2022-04-25 21:00:00,147.47,16
2022-04-25 22:00:00,119.24,8
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,199.48,25
2022-04-26 11:00:00,294.14,34
2022-04-26 12:00:00,364.52,47
2022-04-26 13:00:00,395.15,53
2022-04-26 14:00:00,268.8,38
2022-04-26 15:00:00,244.29,36
2022-04-26 16:00:00,550.11,52
2022-04-26 17:00:00,680.84,72
2022-04-26 18:00:00,881.83,73
2022-04-26 19:00:00,732.94,64
2022-04-26 20:00:00,586.91,52
2022-04-26 21:00:00,268.46,28
2022-04-26 22:00:00,104.79,11
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,76.8,9
2022-04-27 11:00:00,336.97,43
2022-04-27 12:00:00,327.19,48
2022-04-27 13:00:00,274.43,39
2022-04-27 14:00:00,263.12,35
2022-04-27 15:00:00,317.78,34
2022-04-27 16:00:00,380.5,34
2022-04-27 17:00:00,792.86,65
2022-04-27 18:00:00,913.59,78
2022-04-27 19:00:00,776.74,66
2022-04-27 20:00:00,518.66,39
2022-04-27 21:00:00,309.5,30
2022-04-27 22:00:00,127.12,14
2022-04-27 23:00:00,14.14,1
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,157.66,18
2022-04-28 11:00:00,312.26,35
2022-04-28 12:00:00,400.18,57
2022-04-28 13:00:00,417.21,50
2022-04-28 14:00:00,377.01,40
2022-04-28 15:00:00,230.16,32
2022-04-28 16:00:00,343.28,41
2022-04-28 17:00:00,866.43,65
2022-04-28 18:00:00,1230.5,92
2022-04-28 19:00:00,1048.29,86
2022-04-28 20:00:00,727.19,61
2022-04-28 21:00:00,435.99,42
2022-04-28 22:00:00,134.67,15
2022-04-28 23:00:00,13.32,1
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,146.88,22
2022-04-29 11:00:00,307.69,38
2022-04-29 12:00:00,708.88,75
2022-04-29 13:00:00,524.82,71
2022-04-29 14:00:00,375.81,51
2022-04-29 15:00:00,486.14,48
2022-04-29 16:00:00,603.88,53
2022-04-29 17:00:00,1258.76,89
2022-04-29 18:00:00,1563.16,119
2022-04-29 19:00:00,1333.78,92
2022-04-29 20:00:00,896.8,68
2022-04-29 21:00:00,814.46,73
2022-04-29 22:00:00,259.05,24
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,151.49,17
2022-04-30 11:00:00,372.56,29
2022-04-30 12:00:00,650.86,61
2022-04-30 13:00:00,622.7,67
2022-04-30 14:00:00,560.21,52
2022-04-30 15:00:00,583,59
2022-04-30 16:00:00,727.69,71
2022-04-30 17:00:00,1222.97,85
2022-04-30 18:00:00,1118.63,84
2022-04-30 19:00:00,1343.38,92
2022-04-30 20:00:00,928.06,75
2022-04-30 21:00:00,551.92,50
2022-04-30 22:00:00,151.79,14
2022-04-30 23:00:00,0.25,1
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,120.18,14
2022-05-01 11:00:00,278.27,26
2022-05-01 12:00:00,603.95,50
2022-05-01 13:00:00,891.93,88
2022-05-01 14:00:00,712.72,60
2022-05-01 15:00:00,459.94,49
2022-05-01 16:00:00,684.06,58
2022-05-01 17:00:00,831.74,55
