Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,56.76,7
2022-04-25 11:00:00,124.6,22
2022-04-25 12:00:00,307.03,50
2022-04-25 13:00:00,262.8,34
2022-04-25 14:00:00,247.46,34
2022-04-25 15:00:00,368.64,51
2022-04-25 16:00:00,301.77,36
2022-04-25 17:00:00,398.97,46
2022-04-25 18:00:00,413.08,44
2022-04-25 19:00:00,454.62,47
2022-04-25 20:00:00,396.72,43
2022-04-25 21:00:00,317.47,29
2022-04-25 22:00:00,74.09,11
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,54.18,11
2022-04-26 11:00:00,71.9,16
2022-04-26 12:00:00,371.08,58
2022-04-26 13:00:00,294.18,52
2022-04-26 14:00:00,235.36,35
2022-04-26 15:00:00,333.42,37
2022-04-26 16:00:00,310.8,38
2022-04-26 17:00:00,771.68,71
2022-04-26 18:00:00,649.7,66
2022-04-26 19:00:00,690.19,71
2022-04-26 20:00:00,448.37,48
2022-04-26 21:00:00,233.44,28
2022-04-26 22:00:00,81.07,6
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,34.14,3
2022-04-27 11:00:00,150.97,24
2022-04-27 12:00:00,304.25,40
2022-04-27 13:00:00,437.96,53
2022-04-27 14:00:00,302.4,42
2022-04-27 15:00:00,231.11,34
2022-04-27 16:00:00,355.31,34
2022-04-27 17:00:00,472.17,56
2022-04-27 18:00:00,674.01,60
2022-04-27 19:00:00,321.25,35
2022-04-27 20:00:00,147.67,13
2022-04-27 21:00:00,270.45,22
2022-04-27 22:00:00,48.26,6
2022-04-27 23:00:00,0.3,1
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,1
2022-04-28 10:00:00,39.44,7
2022-04-28 11:00:00,172.3,27
2022-04-28 12:00:00,341.62,42
2022-04-28 13:00:00,394.34,43
2022-04-28 14:00:00,237,35
2022-04-28 15:00:00,302.06,34
2022-04-28 16:00:00,356.26,39
2022-04-28 17:00:00,593.16,59
2022-04-28 18:00:00,595.17,55
2022-04-28 19:00:00,590.82,61
2022-04-28 20:00:00,387.63,37
2022-04-28 21:00:00,357.93,40
2022-04-28 22:00:00,118.83,16
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,40.42,6
2022-04-29 11:00:00,181.35,26
2022-04-29 12:00:00,492.22,65
2022-04-29 13:00:00,512.45,68
2022-04-29 14:00:00,328.17,35
2022-04-29 15:00:00,328.22,39
2022-04-29 16:00:00,516.1,53
2022-04-29 17:00:00,653.7,63
2022-04-29 18:00:00,794.1,72
2022-04-29 19:00:00,853.27,71
2022-04-29 20:00:00,756.39,71
2022-04-29 21:00:00,341.55,30
2022-04-29 22:00:00,254.05,22
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,56.29,8
2022-04-30 11:00:00,214.16,22
2022-04-30 12:00:00,546.25,48
2022-04-30 13:00:00,553.21,65
2022-04-30 14:00:00,588.35,58
2022-04-30 15:00:00,585.94,62
2022-04-30 16:00:00,604.63,59
2022-04-30 17:00:00,682.49,57
2022-04-30 18:00:00,714.08,68
2022-04-30 19:00:00,617.08,55
2022-04-30 20:00:00,618.14,54
2022-04-30 21:00:00,416.6,40
2022-04-30 22:00:00,141.91,18
2022-04-30 23:00:00,-10.29,1
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,2
2022-05-01 10:00:00,28.82,4
2022-05-01 11:00:00,290.85,22
2022-05-01 12:00:00,462.3,46
2022-05-01 13:00:00,469.19,48
2022-05-01 14:00:00,604.19,49
2022-05-01 15:00:00,562.2,56
2022-05-01 16:00:00,516.6,45
2022-05-01 17:00:00,737.54,59
