Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,132.36,19
2022-04-25 11:00:00,227.41,23
2022-04-25 12:00:00,382.11,56
2022-04-25 13:00:00,293.65,47
2022-04-25 14:00:00,374.48,64
2022-04-25 15:00:00,294.42,44
2022-04-25 16:00:00,251.19,36
2022-04-25 17:00:00,304.4,36
2022-04-25 18:00:00,611.45,56
2022-04-25 19:00:00,551.81,81
2022-04-25 20:00:00,397.79,52
2022-04-25 21:00:00,284.7,30
2022-04-25 22:00:00,164.21,18
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,149.2,23
2022-04-26 11:00:00,167.28,26
2022-04-26 12:00:00,512.48,92
2022-04-26 13:00:00,383.09,66
2022-04-26 14:00:00,297.07,40
2022-04-26 15:00:00,358.08,48
2022-04-26 16:00:00,314.06,45
2022-04-26 17:00:00,341.82,48
2022-04-26 18:00:00,781.9,72
2022-04-26 19:00:00,475.46,54
2022-04-26 20:00:00,420.85,45
2022-04-26 21:00:00,340.52,38
2022-04-26 22:00:00,199.79,23
2022-04-26 23:00:00,0,1
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,86.73,14
2022-04-27 11:00:00,169.46,32
2022-04-27 12:00:00,437.82,62
2022-04-27 13:00:00,410.85,63
2022-04-27 14:00:00,187.71,180
2022-04-27 15:00:00,273.76,36
2022-04-27 16:00:00,214.03,54
2022-04-27 17:00:00,367.02,60
2022-04-27 18:00:00,632.11,66
2022-04-27 19:00:00,668.65,57
2022-04-27 20:00:00,416.28,76
2022-04-27 21:00:00,498.32,56
2022-04-27 22:00:00,183.41,29
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,1.24,3
2022-04-28 10:00:00,124.94,48
2022-04-28 11:00:00,207.26,26
2022-04-28 12:00:00,561.81,70
2022-04-28 13:00:00,556.53,159
2022-04-28 14:00:00,370.02,51
2022-04-28 15:00:00,330.87,47
2022-04-28 16:00:00,365.5,39
2022-04-28 17:00:00,397.28,39
2022-04-28 18:00:00,575.47,104
2022-04-28 19:00:00,607.79,53
2022-04-28 20:00:00,683.13,57
2022-04-28 21:00:00,501.55,46
2022-04-28 22:00:00,289.43,25
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,152.03,23
2022-04-29 11:00:00,291.06,81
2022-04-29 12:00:00,641.85,80
2022-04-29 13:00:00,635.14,84
2022-04-29 14:00:00,262.24,113
2022-04-29 15:00:00,549.3,52
2022-04-29 16:00:00,485.13,57
2022-04-29 17:00:00,591.37,67
2022-04-29 18:00:00,738.88,78
2022-04-29 19:00:00,499.35,47
2022-04-29 20:00:00,332.22,42
2022-04-29 21:00:00,542.96,57
2022-04-29 22:00:00,476.26,43
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,72.48,10
2022-04-30 11:00:00,394.15,103
2022-04-30 12:00:00,760.6,108
2022-04-30 13:00:00,808.19,84
2022-04-30 14:00:00,633.27,76
2022-04-30 15:00:00,604.63,68
2022-04-30 16:00:00,594.59,61
2022-04-30 17:00:00,673.83,84
2022-04-30 18:00:00,1063.21,147
2022-04-30 19:00:00,720.69,276
2022-04-30 20:00:00,726.7,89
2022-04-30 21:00:00,523.53,48
2022-04-30 22:00:00,358.39,41
2022-04-30 23:00:00,23.74,1
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,173.18,22
2022-05-01 11:00:00,232.17,23
2022-05-01 12:00:00,576.91,96
2022-05-01 13:00:00,705.1,71
2022-05-01 14:00:00,574.68,184
2022-05-01 15:00:00,752.82,64
2022-05-01 16:00:00,473.53,212
2022-05-01 17:00:00,755.58,69
