Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,5.4,1
2022-04-25 11:00:00,187.86,19
2022-04-25 12:00:00,209.47,33
2022-04-25 13:00:00,231.04,20
2022-04-25 14:00:00,71.63,11
2022-04-25 15:00:00,106.62,17
2022-04-25 16:00:00,164.92,15
2022-04-25 17:00:00,233.64,22
2022-04-25 18:00:00,264.29,29
2022-04-25 19:00:00,161.27,19
2022-04-25 20:00:00,219.52,24
2022-04-25 21:00:00,244.9,28
2022-04-25 22:00:00,151.78,17
2022-04-25 23:00:00,5.82,1
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,93.73,7
2022-04-26 11:00:00,163.64,18
2022-04-26 12:00:00,243.72,37
2022-04-26 13:00:00,159.29,30
2022-04-26 14:00:00,134.28,20
2022-04-26 15:00:00,107.86,15
2022-04-26 16:00:00,314.23,33
2022-04-26 17:00:00,313.72,33
2022-04-26 18:00:00,258.02,38
2022-04-26 19:00:00,515.49,53
2022-04-26 20:00:00,414.84,40
2022-04-26 21:00:00,172.61,21
2022-04-26 22:00:00,118.62,17
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,42.85,4
2022-04-27 11:00:00,179.32,15
2022-04-27 12:00:00,237.24,32
2022-04-27 13:00:00,238.5,30
2022-04-27 14:00:00,129.34,15
2022-04-27 15:00:00,140.58,20
2022-04-27 16:00:00,166.53,21
2022-04-27 17:00:00,338.61,29
2022-04-27 18:00:00,277.53,32
2022-04-27 19:00:00,425.19,34
2022-04-27 20:00:00,308.62,25
2022-04-27 21:00:00,306.7,31
2022-04-27 22:00:00,94.63,13
2022-04-27 23:00:00,0,1
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,34.81,5
2022-04-28 11:00:00,249.49,27
2022-04-28 12:00:00,257.99,40
2022-04-28 13:00:00,305.77,41
2022-04-28 14:00:00,155.63,22
2022-04-28 15:00:00,234.37,23
2022-04-28 16:00:00,286.39,28
2022-04-28 17:00:00,479.86,38
2022-04-28 18:00:00,405.36,40
2022-04-28 19:00:00,519.75,47
2022-04-28 20:00:00,343.4,27
2022-04-28 21:00:00,388.57,38
2022-04-28 22:00:00,173.96,22
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,57.68,7
2022-04-29 11:00:00,179.99,18
2022-04-29 12:00:00,215.3,33
2022-04-29 13:00:00,315.34,41
2022-04-29 14:00:00,251.43,28
2022-04-29 15:00:00,218.4,22
2022-04-29 16:00:00,310.74,32
2022-04-29 17:00:00,465.92,46
2022-04-29 18:00:00,632.7,48
2022-04-29 19:00:00,575.96,51
2022-04-29 20:00:00,520.62,42
2022-04-29 21:00:00,548.83,47
2022-04-29 22:00:00,232.49,24
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,29.56,8
2022-04-30 11:00:00,185.05,16
2022-04-30 12:00:00,201.8,24
2022-04-30 13:00:00,387.09,43
2022-04-30 14:00:00,262.55,27
2022-04-30 15:00:00,288.96,32
2022-04-30 16:00:00,130.35,13
2022-04-30 17:00:00,493.78,44
2022-04-30 18:00:00,576.71,43
2022-04-30 19:00:00,490.24,41
2022-04-30 20:00:00,459.34,39
2022-04-30 21:00:00,350.17,36
2022-04-30 22:00:00,218.14,28
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,38.86,4
2022-05-01 11:00:00,160.68,17
2022-05-01 12:00:00,253.94,25
2022-05-01 13:00:00,358.47,34
2022-05-01 14:00:00,359.29,36
2022-05-01 15:00:00,277.4,29
2022-05-01 16:00:00,335.65,29
2022-05-01 17:00:00,585.08,49
