Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,53.6,4
2022-04-25 11:00:00,264.42,24
2022-04-25 12:00:00,630.46,70
2022-04-25 13:00:00,516.53,56
2022-04-25 14:00:00,316.3,36
2022-04-25 15:00:00,457.81,48
2022-04-25 16:00:00,587.58,54
2022-04-25 17:00:00,710.18,55
2022-04-25 18:00:00,818.9,70
2022-04-25 19:00:00,973.62,80
2022-04-25 20:00:00,795.13,75
2022-04-25 21:00:00,523.37,45
2022-04-25 22:00:00,149.72,18
2022-04-25 23:00:00,-6.36,2
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,78.68,10
2022-04-26 11:00:00,233.6,26
2022-04-26 12:00:00,454.07,56
2022-04-26 13:00:00,380.99,51
2022-04-26 14:00:00,303.84,41
2022-04-26 15:00:00,284.82,40
2022-04-26 16:00:00,561.44,51
2022-04-26 17:00:00,883.03,80
2022-04-26 18:00:00,1126.05,97
2022-04-26 19:00:00,925.85,74
2022-04-26 20:00:00,1096.69,94
2022-04-26 21:00:00,629.66,56
2022-04-26 22:00:00,380.51,34
2022-04-26 23:00:00,2.49,1
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0.3,1
2022-04-27 10:00:00,64.46,8
2022-04-27 11:00:00,165.4,24
2022-04-27 12:00:00,511.29,60
2022-04-27 13:00:00,397.9,55
2022-04-27 14:00:00,326.62,39
2022-04-27 15:00:00,453.26,46
2022-04-27 16:00:00,543.73,49
2022-04-27 17:00:00,451.93,48
2022-04-27 18:00:00,1067.09,90
2022-04-27 19:00:00,907.97,73
2022-04-27 20:00:00,499.66,43
2022-04-27 21:00:00,506.86,43
2022-04-27 22:00:00,128.7,12
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0.3,1
2022-04-28 10:00:00,78.09,10
2022-04-28 11:00:00,254.88,32
2022-04-28 12:00:00,681.23,57
2022-04-28 13:00:00,754.58,66
2022-04-28 14:00:00,445.01,53
2022-04-28 15:00:00,422.57,44
2022-04-28 16:00:00,539.6,52
2022-04-28 17:00:00,1064.72,86
2022-04-28 18:00:00,1325.03,98
2022-04-28 19:00:00,1165.42,89
2022-04-28 20:00:00,976.27,83
2022-04-28 21:00:00,614.72,58
2022-04-28 22:00:00,238.3,34
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,58.07,10
2022-04-29 11:00:00,357.62,41
2022-04-29 12:00:00,1016.56,92
2022-04-29 13:00:00,636.41,78
2022-04-29 14:00:00,472.83,49
2022-04-29 15:00:00,507.1,53
2022-04-29 16:00:00,515.09,57
2022-04-29 17:00:00,1205.48,99
2022-04-29 18:00:00,1342.24,95
2022-04-29 19:00:00,1424,104
2022-04-29 20:00:00,1159.61,95
2022-04-29 21:00:00,1139.61,95
2022-04-29 22:00:00,473.6,49
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,117.99,8
2022-04-30 11:00:00,370.16,40
2022-04-30 12:00:00,973.9,74
2022-04-30 13:00:00,857.37,77
2022-04-30 14:00:00,799.71,83
2022-04-30 15:00:00,672.87,73
2022-04-30 16:00:00,827.27,75
2022-04-30 17:00:00,1399.88,103
2022-04-30 18:00:00,1133.71,81
2022-04-30 19:00:00,1340.4,99
2022-04-30 20:00:00,1085.36,87
2022-04-30 21:00:00,840.2,72
2022-04-30 22:00:00,263.65,24
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,90.83,10
2022-05-01 11:00:00,459.3,38
2022-05-01 12:00:00,847.28,69
2022-05-01 13:00:00,1173.5,91
2022-05-01 14:00:00,971.01,83
2022-05-01 15:00:00,913.8,65
2022-05-01 16:00:00,709.84,59
