Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,0
2022-04-25 10:00:00,0,0
2022-04-25 11:00:00,63.51,11
2022-04-25 12:00:00,370.1,45
2022-04-25 13:00:00,290.23,39
2022-04-25 14:00:00,182.36,28
2022-04-25 15:00:00,111.7,22
2022-04-25 16:00:00,222.32,26
2022-04-25 17:00:00,403.6,40
2022-04-25 18:00:00,412.05,39
2022-04-25 19:00:00,390.87,40
2022-04-25 20:00:00,258.91,19
2022-04-25 21:00:00,31.66,2
2022-04-25 22:00:00,0,0
2022-04-25 23:00:00,0,0
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,0
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,0,0
2022-04-26 11:00:00,169.9,19
2022-04-26 12:00:00,345.08,57
2022-04-26 13:00:00,287.76,38
2022-04-26 14:00:00,134.67,21
2022-04-26 15:00:00,125.11,24
2022-04-26 16:00:00,265.76,27
2022-04-26 17:00:00,384.61,37
2022-04-26 18:00:00,440.85,40
2022-04-26 19:00:00,384.99,38
2022-04-26 20:00:00,323.68,33
2022-04-26 21:00:00,0,0
2022-04-26 22:00:00,0,0
2022-04-26 23:00:00,0,0
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,0,1
2022-04-27 11:00:00,111.09,12
2022-04-27 12:00:00,337.16,41
2022-04-27 13:00:00,250.01,43
2022-04-27 14:00:00,183.44,28
2022-04-27 15:00:00,136.5,25
2022-04-27 16:00:00,181.82,29
2022-04-27 17:00:00,442.77,41
2022-04-27 18:00:00,411.93,35
2022-04-27 19:00:00,378.2,37
2022-04-27 20:00:00,295.31,29
2022-04-27 21:00:00,30.77,3
2022-04-27 22:00:00,0,0
2022-04-27 23:00:00,0,0
2022-04-28 0:00:00,0,0
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,8.3,1
2022-04-28 11:00:00,210.24,29
2022-04-28 12:00:00,472.75,51
2022-04-28 13:00:00,290.71,36
2022-04-28 14:00:00,169.48,29
2022-04-28 15:00:00,139.76,23
2022-04-28 16:00:00,243.64,32
2022-04-28 17:00:00,399.55,34
2022-04-28 18:00:00,523.49,42
2022-04-28 19:00:00,478.96,40
2022-04-28 20:00:00,347.58,31
2022-04-28 21:00:00,0,0
2022-04-28 22:00:00,0,0
2022-04-28 23:00:00,0,0
2022-04-29 0:00:00,0,0
2022-04-29 1:00:00,0,0
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,188.22,1
2022-04-29 11:00:00,310.87,27
2022-04-29 12:00:00,580.7,58
2022-04-29 13:00:00,457.06,44
2022-04-29 14:00:00,224.5,33
2022-04-29 15:00:00,207.67,33
2022-04-29 16:00:00,443.54,49
2022-04-29 17:00:00,640.54,60
2022-04-29 18:00:00,964.5,72
2022-04-29 19:00:00,923.68,64
2022-04-29 20:00:00,683.18,52
2022-04-29 21:00:00,50.84,4
2022-04-29 22:00:00,0,0
2022-04-29 23:00:00,0,0
2022-04-30 0:00:00,0,0
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,204.45,1
2022-04-30 10:00:00,0,0
2022-04-30 11:00:00,212.88,20
2022-04-30 12:00:00,362.46,46
2022-04-30 13:00:00,453.76,48
2022-04-30 14:00:00,425.15,38
2022-04-30 15:00:00,253.51,36
2022-04-30 16:00:00,268.54,30
2022-04-30 17:00:00,545.32,48
2022-04-30 18:00:00,808.67,59
2022-04-30 19:00:00,828.31,58
2022-04-30 20:00:00,681.41,53
2022-04-30 21:00:00,12.55,3
2022-04-30 22:00:00,0,0
2022-04-30 23:00:00,0,0
2022-05-01 0:00:00,0,0
2022-05-01 1:00:00,0,0
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,0
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,0,0
2022-05-01 11:00:00,173.25,14
2022-05-01 12:00:00,458.71,40
2022-05-01 13:00:00,388.51,39
2022-05-01 14:00:00,359.15,28
2022-05-01 15:00:00,327.66,31
2022-05-01 16:00:00,380.52,35
2022-05-01 17:00:00,464.61,37
2022-05-01 18:00:00,680.44,56
2022-05-01 19:00:00,544.05,34
