Time,Sale,Guest
2022-04-25 6:00:00,0,0
2022-04-25 7:00:00,0,0
2022-04-25 8:00:00,0,0
2022-04-25 9:00:00,0,1
2022-04-25 10:00:00,126.87,17
2022-04-25 11:00:00,376.76,38
2022-04-25 12:00:00,591.51,80
2022-04-25 13:00:00,552.16,72
2022-04-25 14:00:00,326.48,45
2022-04-25 15:00:00,441.56,47
2022-04-25 16:00:00,463.76,50
2022-04-25 17:00:00,585.14,65
2022-04-25 18:00:00,772.09,80
2022-04-25 19:00:00,714.71,71
2022-04-25 20:00:00,652.56,62
2022-04-25 21:00:00,387.3,44
2022-04-25 22:00:00,481.6,42
2022-04-25 23:00:00,209.21,18
2022-04-26 0:00:00,0,0
2022-04-26 1:00:00,0,1
2022-04-26 2:00:00,0,0
2022-04-26 3:00:00,0,0
2022-04-26 4:00:00,0,0
2022-04-26 5:00:00,0,0
2022-04-26 6:00:00,0,0
2022-04-26 7:00:00,0,0
2022-04-26 8:00:00,0,0
2022-04-26 9:00:00,0,0
2022-04-26 10:00:00,184.62,22
2022-04-26 11:00:00,311.18,42
2022-04-26 12:00:00,731.85,105
2022-04-26 13:00:00,548.96,82
2022-04-26 14:00:00,391.29,51
2022-04-26 15:00:00,394.82,48
2022-04-26 16:00:00,551.44,57
2022-04-26 17:00:00,521.37,53
2022-04-26 18:00:00,945.27,102
2022-04-26 19:00:00,790.38,76
2022-04-26 20:00:00,877.85,76
2022-04-26 21:00:00,803.3,77
2022-04-26 22:00:00,514.89,54
2022-04-26 23:00:00,236.4,24
2022-04-27 0:00:00,0,0
2022-04-27 1:00:00,0,0
2022-04-27 2:00:00,0,0
2022-04-27 3:00:00,0,0
2022-04-27 4:00:00,0,0
2022-04-27 5:00:00,0,0
2022-04-27 6:00:00,0,0
2022-04-27 7:00:00,0,0
2022-04-27 8:00:00,0,0
2022-04-27 9:00:00,0,0
2022-04-27 10:00:00,103.01,10
2022-04-27 11:00:00,370.48,39
2022-04-27 12:00:00,720.46,99
2022-04-27 13:00:00,657.45,88
2022-04-27 14:00:00,331.93,45
2022-04-27 15:00:00,236.41,29
2022-04-27 16:00:00,728.02,66
2022-04-27 17:00:00,684.1,72
2022-04-27 18:00:00,873.07,78
2022-04-27 19:00:00,777.49,84
2022-04-27 20:00:00,863.23,95
2022-04-27 21:00:00,553.25,51
2022-04-27 22:00:00,419.78,34
2022-04-27 23:00:00,276.59,25
2022-04-28 0:00:00,10.37,2
2022-04-28 1:00:00,0,0
2022-04-28 2:00:00,0,0
2022-04-28 3:00:00,0,0
2022-04-28 4:00:00,0,0
2022-04-28 5:00:00,0,0
2022-04-28 6:00:00,0,0
2022-04-28 7:00:00,0,0
2022-04-28 8:00:00,0,0
2022-04-28 9:00:00,0,0
2022-04-28 10:00:00,226.7,30
2022-04-28 11:00:00,384.43,47
2022-04-28 12:00:00,870.43,117
2022-04-28 13:00:00,719.42,92
2022-04-28 14:00:00,376.23,49
2022-04-28 15:00:00,427.24,63
2022-04-28 16:00:00,613.7,61
2022-04-28 17:00:00,757.29,77
2022-04-28 18:00:00,1077.3,102
2022-04-28 19:00:00,895.7,87
2022-04-28 20:00:00,868.24,80
2022-04-28 21:00:00,578.06,64
2022-04-28 22:00:00,435.98,51
2022-04-28 23:00:00,255.33,24
2022-04-29 0:00:00,1.43,1
2022-04-29 1:00:00,24.15,1
2022-04-29 2:00:00,0,0
2022-04-29 3:00:00,0,0
2022-04-29 4:00:00,0,0
2022-04-29 5:00:00,0,0
2022-04-29 6:00:00,0,0
2022-04-29 7:00:00,0,0
2022-04-29 8:00:00,0,0
2022-04-29 9:00:00,0,0
2022-04-29 10:00:00,241.93,27
2022-04-29 11:00:00,458.69,52
2022-04-29 12:00:00,956.34,123
2022-04-29 13:00:00,609.66,72
2022-04-29 14:00:00,524.74,64
2022-04-29 15:00:00,542.81,67
2022-04-29 16:00:00,765.6,70
2022-04-29 17:00:00,776.17,79
2022-04-29 18:00:00,1294.16,110
2022-04-29 19:00:00,1458.94,119
2022-04-29 20:00:00,1377.97,124
2022-04-29 21:00:00,937.57,92
2022-04-29 22:00:00,774.46,75
2022-04-29 23:00:00,325.36,30
2022-04-30 0:00:00,93.65,4
2022-04-30 1:00:00,0,0
2022-04-30 2:00:00,0,0
2022-04-30 3:00:00,0,0
2022-04-30 4:00:00,0,0
2022-04-30 5:00:00,0,0
2022-04-30 6:00:00,0,0
2022-04-30 7:00:00,0,0
2022-04-30 8:00:00,0,0
2022-04-30 9:00:00,0,0
2022-04-30 10:00:00,161.97,18
2022-04-30 11:00:00,584.43,55
2022-04-30 12:00:00,858.38,83
2022-04-30 13:00:00,949.11,94
2022-04-30 14:00:00,936.79,89
2022-04-30 15:00:00,587.56,60
2022-04-30 16:00:00,794.79,74
2022-04-30 17:00:00,917.44,70
2022-04-30 18:00:00,1108.85,93
2022-04-30 19:00:00,1185.86,98
2022-04-30 20:00:00,1144.19,87
2022-04-30 21:00:00,1005.08,81
2022-04-30 22:00:00,446.28,40
2022-04-30 23:00:00,228.46,23
2022-05-01 0:00:00,7.48,1
2022-05-01 1:00:00,21.93,2
2022-05-01 2:00:00,0,0
2022-05-01 3:00:00,0,0
2022-05-01 4:00:00,0,0
2022-05-01 5:00:00,0,0
2022-05-01 6:00:00,0,0
2022-05-01 7:00:00,0,0
2022-05-01 8:00:00,0,1
2022-05-01 9:00:00,0,0
2022-05-01 10:00:00,261.36,22
2022-05-01 11:00:00,580.57,45
2022-05-01 12:00:00,841,80
2022-05-01 13:00:00,870.93,75
2022-05-01 14:00:00,956.72,89
2022-05-01 15:00:00,769.54,71
2022-05-01 16:00:00,833.66,75
